epoch_ms,utime_ticks,stime_ticks,rss_kb,vmsize_kb,threads,vmhwm_kb,smaps_rss_kb,cgroup_mem_kb
1780824009609807193,1166,439,161412,3357460,24,162336,162336,144608
1780824010651520365,1238,467,161668,3357460,24,162492,162492,145396
1780824011747267638,1301,500,161924,3357460,24,162760,162760,146260
1780824012846006528,1363,534,162052,3357460,24,162872,162872,146508
1780824013872463393,1410,575,162052,3357460,24,162872,162872,146168
1780824014899352800,1454,619,162052,3357460,24,162880,162880,145888
1780824015954564177,1501,662,162052,3357460,24,162880,162880,146112
1780824016984507068,1547,704,162052,3357460,24,162884,162884,146016
178082401852945833,1589,745,162052,3357460,24,162900,162900,146288
178082401979988879,1632,790,162052,3357460,24,162904,162904,146260
1780824020146925974,1676,837,162052,3357460,24,162904,162904,146560
1780824021176322809,1721,880,162052,3357460,24,162904,162904,147020
1780824022247022399,1767,925,162052,3357460,24,162912,162912,146948
1780824023274648880,1815,965,162052,3357460,24,162916,162916,146564
1780824024302537363,1859,1009,162052,3357460,24,162920,162920,146932
1780824025361909834,1903,1054,162052,3357460,24,162920,162920,146792
1780824026388906773,1945,1101,162052,3357460,24,162920,162920,146676
1780824027452835229,1991,1145,162052,3357460,24,162920,162920,146940
1780824028480678557,2034,1190,162052,3357460,24,162920,162920,146272
1780824029549371119,2080,1234,162052,3357460,24,162920,162920,146996
1780824030576159606,2121,1280,162052,3357460,24,162920,162920,146552
1780824031646410304,2163,1330,162052,3357460,24,162920,162920,146404
1780824032673504355,2209,1372,162052,3357460,24,162920,162920,146960
1780824033701943241,2252,1416,162052,3357460,24,162924,162928,146532
1780824034757188913,2295,1462,162052,3357460,24,162928,162928,146124
1780824035787845043,2337,1508,162052,3357460,24,162928,162928,145872
1780824036853512034,2382,1553,162052,3357460,24,162932,162932,146660
1780824037880001259,2424,1599,162052,3357460,24,162936,162936,146964
1780824038948403335,2468,1646,162052,3357460,24,162936,162936,146276
