"memory_max_mb","vcpu","axis","arm","repeat","outcome","memory_failure_kind","phase_reached","xmx_mb","heap_fraction_of_budget","xmx_source","exeris_subsystems","exeris_telemetry_subsystem_enabled","rps","total_requests","error_rate_pct","cpu_time_seconds","cpu_per_req_ms","peak_rss_kb","cgroup_memory_peak_kb","latency_p99_us","latency_label","throttled_periods","nr_periods","cpu_throttle_ratio","oom_kill_delta","hs_err_present","pg_rss_kb","jit_representativeness","run_dir"
128,4,"memory","exeris-community",1,"unknown",,,32,0.2500,"fraction:0.25","http,persistence",false,,,,,,,,,"wrk-closed-loop-coordinated-omission",,,,,,64942,,"/home/bench/exeris-benchmarks/results/constrained/entity-read-by-id/20260723T045841Z-memory-cpu-matrix/point-128m-4vcpu/exeris-community/repeat-1"
128,4,"memory","quarkus-tuned",1,"unknown",,,96,0.7500,"fraction:0.75",,,,,,,,,,,"wrk-closed-loop-coordinated-omission",,,,,,65188,,"/home/bench/exeris-benchmarks/results/constrained/entity-read-by-id/20260723T045841Z-memory-cpu-matrix/point-128m-4vcpu/quarkus-tuned/repeat-1"
256,4,"memory","exeris-community",1,"ok","none","measure_complete",64,0.2500,"fraction:0.25","http,persistence",false,13408.04,4022998,0.000000,859.240000,0.21358201023217016,185428,180528,207810.000000,"wrk-closed-loop-coordinated-omission",27,4270,0.006323185011709602,0,,65034,"representative","/home/bench/exeris-benchmarks/results/constrained/entity-read-by-id/20260723T045841Z-memory-cpu-matrix/point-256m-4vcpu/exeris-community/repeat-1"
256,4,"memory","quarkus-tuned",1,"unknown",,,192,0.7500,"fraction:0.75",,,,,,,,,,,"wrk-closed-loop-coordinated-omission",,,,,,65137,,"/home/bench/exeris-benchmarks/results/constrained/entity-read-by-id/20260723T045841Z-memory-cpu-matrix/point-256m-4vcpu/quarkus-tuned/repeat-1"
512,4,"memory","exeris-community",1,"ok","none","measure_complete",128,0.2500,"fraction:0.25","http,persistence",false,13603.73,4081666,0.000000,868.190000,0.21270481220168433,235920,231392,202620.000000,"wrk-closed-loop-coordinated-omission",48,4270,0.011241217798594848,0,,66109,"representative","/home/bench/exeris-benchmarks/results/constrained/entity-read-by-id/20260723T045841Z-memory-cpu-matrix/point-512m-4vcpu/exeris-community/repeat-1"
512,4,"memory","quarkus-tuned",1,"ok","none","measure_complete",384,0.7500,"fraction:0.75",,,13537.92,4062084,0.000000,952.480000,0.23448062620073834,347032,342752,10850.000000,"wrk-closed-loop-coordinated-omission",80,4271,0.018730976352142357,0,,65444,"representative","/home/bench/exeris-benchmarks/results/constrained/entity-read-by-id/20260723T045841Z-memory-cpu-matrix/point-512m-4vcpu/quarkus-tuned/repeat-1"
1024,4,"shared","exeris-community",1,"ok","none","measure_complete",256,0.2500,"fraction:0.25","http,persistence",false,13687.54,4106864,0.000000,871.460000,0.2121959724013262,291404,287292,169520.000000,"wrk-closed-loop-coordinated-omission",34,4269,0.007964394471773249,0,,65649,"representative","/home/bench/exeris-benchmarks/results/constrained/entity-read-by-id/20260723T045841Z-memory-cpu-matrix/point-1024m-4vcpu/exeris-community/repeat-1"
1024,4,"shared","quarkus-tuned",1,"ok","none","measure_complete",768,0.7500,"fraction:0.75",,,13324.64,3998114,0.000000,943.300000,0.23593624393901724,481684,478428,11090.000000,"wrk-closed-loop-coordinated-omission",43,4270,0.010070257611241218,0,,65536,"representative","/home/bench/exeris-benchmarks/results/constrained/entity-read-by-id/20260723T045841Z-memory-cpu-matrix/point-1024m-4vcpu/quarkus-tuned/repeat-1"
1024,4,"shared","quarkus-hibernate",1,"ok","none","measure_complete",768,0.7500,"fraction:0.75",,,11519.03,3456404,0.000000,1085.270000,0.31398817962252096,574180,570304,13280.000000,"wrk-closed-loop-coordinated-omission",401,4279,0.09371348445898574,0,,65649,"representative","/home/bench/exeris-benchmarks/results/constrained/entity-read-by-id/20260723T045841Z-memory-cpu-matrix/point-1024m-4vcpu/quarkus-hibernate/repeat-1"
2048,4,"memory","exeris-community",1,"ok","none","measure_complete",512,0.2500,"fraction:0.25","http,persistence",false,13805.25,4142203,0.000000,857.260000,0.20695750546267289,330364,326048,199330.000000,"wrk-closed-loop-coordinated-omission",29,4269,0.006793159990630124,0,,65741,"representative","/home/bench/exeris-benchmarks/results/constrained/entity-read-by-id/20260723T045841Z-memory-cpu-matrix/point-2048m-4vcpu/exeris-community/repeat-1"
