Linux 6.8.0-134-generic (exeris-perfbox) 	07/24/26 	_x86_64_	(16 CPU)

20:09:50     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:10:20     all   15.00    0.00   17.97    0.03    0.00    6.87    0.00    0.00    0.00   60.12
20:10:20       0   25.81    0.00   37.36    0.00    0.00   13.59    0.00    0.00    0.00   23.23
20:10:20       1   25.67    0.00   37.37    0.03    0.00   13.67    0.00    0.00    0.00   23.26
20:10:20       2    5.04    0.00   10.09    0.04    0.00    5.97    0.00    0.00    0.00   78.86
20:10:20       3    4.99    0.00    9.95    0.04    0.00    6.06    0.00    0.00    0.00   78.95
20:10:20       4   14.38    0.00   11.72    0.04    0.00    3.50    0.00    0.00    0.00   70.37
20:10:20       5   14.39    0.00   11.61    0.04    0.00    3.65    0.00    0.00    0.00   70.32
20:10:20       6   14.27    0.00   12.01    0.04    0.00    3.69    0.00    0.00    0.00   70.00
20:10:20       7   14.00    0.00   11.52    0.00    0.00    3.73    0.00    0.00    0.00   70.75
20:10:20       8   25.67    0.00   37.28    0.00    0.00   13.62    0.00    0.00    0.00   23.43
20:10:20       9   25.61    0.00   37.09    0.00    0.00   13.83    0.00    0.00    0.00   23.47
20:10:20      10    4.77    0.00   10.14    0.04    0.00    5.91    0.00    0.00    0.00   79.15
20:10:20      11    4.85    0.00   10.24    0.11    0.00    5.99    0.00    0.00    0.00   78.81
20:10:20      12   14.33    0.00   11.70    0.00    0.00    3.64    0.00    0.00    0.00   70.33
20:10:20      13   14.46    0.00   11.38    0.07    0.00    3.59    0.00    0.00    0.00   70.50
20:10:20      14   14.42    0.00   11.43    0.00    0.00    3.75    0.00    0.00    0.00   70.39
20:10:20      15   14.41    0.00   11.03    0.00    0.00    3.74    0.00    0.00    0.00   70.82

Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   15.00    0.00   17.97    0.03    0.00    6.87    0.00    0.00    0.00   60.12
Average:       0   25.81    0.00   37.36    0.00    0.00   13.59    0.00    0.00    0.00   23.23
Average:       1   25.67    0.00   37.37    0.03    0.00   13.67    0.00    0.00    0.00   23.26
Average:       2    5.04    0.00   10.09    0.04    0.00    5.97    0.00    0.00    0.00   78.86
Average:       3    4.99    0.00    9.95    0.04    0.00    6.06    0.00    0.00    0.00   78.95
Average:       4   14.38    0.00   11.72    0.04    0.00    3.50    0.00    0.00    0.00   70.37
Average:       5   14.39    0.00   11.61    0.04    0.00    3.65    0.00    0.00    0.00   70.32
Average:       6   14.27    0.00   12.01    0.04    0.00    3.69    0.00    0.00    0.00   70.00
Average:       7   14.00    0.00   11.52    0.00    0.00    3.73    0.00    0.00    0.00   70.75
Average:       8   25.67    0.00   37.28    0.00    0.00   13.62    0.00    0.00    0.00   23.43
Average:       9   25.61    0.00   37.09    0.00    0.00   13.83    0.00    0.00    0.00   23.47
Average:      10    4.77    0.00   10.14    0.04    0.00    5.91    0.00    0.00    0.00   79.15
Average:      11    4.85    0.00   10.24    0.11    0.00    5.99    0.00    0.00    0.00   78.81
Average:      12   14.33    0.00   11.70    0.00    0.00    3.64    0.00    0.00    0.00   70.33
Average:      13   14.46    0.00   11.38    0.07    0.00    3.59    0.00    0.00    0.00   70.50
Average:      14   14.42    0.00   11.43    0.00    0.00    3.75    0.00    0.00    0.00   70.39
Average:      15   14.41    0.00   11.03    0.00    0.00    3.74    0.00    0.00    0.00   70.82
