Linux 6.8.0-134-generic (exeris-perfbox) 	07/24/26 	_x86_64_	(16 CPU)

20:24:09     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:24:39     all   16.81    0.00   15.34    0.03    0.00    6.89    0.00    0.00    0.00   60.93
20:24:39       0   37.77    0.00   29.40    0.00    0.00   15.88    0.00    0.00    0.00   16.95
20:24:39       1   37.88    0.00   29.95    0.00    0.00   15.25    0.00    0.00    0.00   16.92
20:24:39       2    3.52    0.00    7.96    0.07    0.00    3.17    0.00    0.00    0.00   85.28
20:24:39       3    3.28    0.00    8.07    0.00    0.00    3.00    0.00    0.00    0.00   85.65
20:24:39       4   12.80    0.00   11.23    0.00    0.00    4.34    0.00    0.00    0.00   71.63
20:24:39       5   12.59    0.00   11.41    0.04    0.00    4.45    0.00    0.00    0.00   71.52
20:24:39       6   12.85    0.00   11.25    0.04    0.00    4.26    0.00    0.00    0.00   71.61
20:24:39       7   11.85    0.00   10.85    0.04    0.00    4.40    0.00    0.00    0.00   72.86
20:24:39       8   37.24    0.00   30.29    0.03    0.00   15.58    0.00    0.00    0.00   16.86
20:24:39       9   37.97    0.00   29.94    0.00    0.00   15.31    0.00    0.00    0.00   16.78
20:24:39      10    3.45    0.00    8.38    0.14    0.00    2.75    0.00    0.00    0.00   85.28
20:24:39      11    3.41    0.00    8.30    0.04    0.00    2.85    0.00    0.00    0.00   85.40
20:24:39      12   12.80    0.00   11.55    0.00    0.00    4.09    0.00    0.00    0.00   71.56
20:24:39      13   12.58    0.00   11.34    0.04    0.00    4.39    0.00    0.00    0.00   71.66
20:24:39      14   12.46    0.00   11.40    0.04    0.00    4.49    0.00    0.00    0.00   71.62
20:24:39      15   12.03    0.00   11.00    0.04    0.00    4.18    0.00    0.00    0.00   72.76

Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   16.81    0.00   15.34    0.03    0.00    6.89    0.00    0.00    0.00   60.93
Average:       0   37.77    0.00   29.40    0.00    0.00   15.88    0.00    0.00    0.00   16.95
Average:       1   37.88    0.00   29.95    0.00    0.00   15.25    0.00    0.00    0.00   16.92
Average:       2    3.52    0.00    7.96    0.07    0.00    3.17    0.00    0.00    0.00   85.28
Average:       3    3.28    0.00    8.07    0.00    0.00    3.00    0.00    0.00    0.00   85.65
Average:       4   12.80    0.00   11.23    0.00    0.00    4.34    0.00    0.00    0.00   71.63
Average:       5   12.59    0.00   11.41    0.04    0.00    4.45    0.00    0.00    0.00   71.52
Average:       6   12.85    0.00   11.25    0.04    0.00    4.26    0.00    0.00    0.00   71.61
Average:       7   11.85    0.00   10.85    0.04    0.00    4.40    0.00    0.00    0.00   72.86
Average:       8   37.24    0.00   30.29    0.03    0.00   15.58    0.00    0.00    0.00   16.86
Average:       9   37.97    0.00   29.94    0.00    0.00   15.31    0.00    0.00    0.00   16.78
Average:      10    3.45    0.00    8.38    0.14    0.00    2.75    0.00    0.00    0.00   85.28
Average:      11    3.41    0.00    8.30    0.04    0.00    2.85    0.00    0.00    0.00   85.40
Average:      12   12.80    0.00   11.55    0.00    0.00    4.09    0.00    0.00    0.00   71.56
Average:      13   12.58    0.00   11.34    0.04    0.00    4.39    0.00    0.00    0.00   71.66
Average:      14   12.46    0.00   11.40    0.04    0.00    4.49    0.00    0.00    0.00   71.62
Average:      15   12.03    0.00   11.00    0.04    0.00    4.18    0.00    0.00    0.00   72.76
