Linux 6.8.0-134-generic (exeris-perfbox) 	07/24/26 	_x86_64_	(16 CPU)

20:17:00     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
20:17:30     all   16.36    0.00   16.90    0.03    0.00    7.61    0.00    0.00    0.00   59.10
20:17:30       0   32.03    0.00   32.39    0.00    0.00   17.40    0.00    0.00    0.00   18.18
20:17:30       1   32.41    0.00   31.94    0.00    0.00   17.11    0.00    0.00    0.00   18.55
20:17:30       2    3.98    0.00    9.15    0.07    0.00    3.24    0.00    0.00    0.00   83.57
20:17:30       3    3.90    0.00    9.21    0.14    0.00    3.16    0.00    0.00    0.00   83.59
20:17:30       4   14.59    0.00   12.50    0.07    0.00    4.68    0.00    0.00    0.00   68.14
20:17:30       5   14.33    0.00   12.92    0.04    0.00    4.66    0.00    0.00    0.00   68.05
20:17:30       6   14.30    0.00   12.83    0.04    0.00    4.75    0.00    0.00    0.00   68.08
20:17:30       7   13.02    0.00   12.52    0.00    0.00    4.90    0.00    0.00    0.00   69.56
20:17:30       8   32.61    0.00   31.80    0.00    0.00   17.27    0.00    0.00    0.00   18.31
20:17:30       9   32.23    0.00   32.43    0.00    0.00   16.83    0.00    0.00    0.00   18.51
20:17:30      10    3.90    0.00    9.24    0.07    0.00    3.20    0.00    0.00    0.00   83.59
20:17:30      11    3.95    0.00    8.79    0.04    0.00    3.21    0.00    0.00    0.00   84.02
20:17:30      12   14.51    0.00   12.90    0.04    0.00    4.53    0.00    0.00    0.00   68.03
20:17:30      13   14.86    0.00   12.66    0.00    0.00    4.78    0.00    0.00    0.00   67.70
20:17:30      14   14.03    0.00   12.51    0.00    0.00    4.80    0.00    0.00    0.00   68.66
20:17:30      15   13.60    0.00   12.78    0.00    0.00    4.81    0.00    0.00    0.00   68.81

Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   16.36    0.00   16.90    0.03    0.00    7.61    0.00    0.00    0.00   59.10
Average:       0   32.03    0.00   32.39    0.00    0.00   17.40    0.00    0.00    0.00   18.18
Average:       1   32.41    0.00   31.94    0.00    0.00   17.11    0.00    0.00    0.00   18.55
Average:       2    3.98    0.00    9.15    0.07    0.00    3.24    0.00    0.00    0.00   83.57
Average:       3    3.90    0.00    9.21    0.14    0.00    3.16    0.00    0.00    0.00   83.59
Average:       4   14.59    0.00   12.50    0.07    0.00    4.68    0.00    0.00    0.00   68.14
Average:       5   14.33    0.00   12.92    0.04    0.00    4.66    0.00    0.00    0.00   68.05
Average:       6   14.30    0.00   12.83    0.04    0.00    4.75    0.00    0.00    0.00   68.08
Average:       7   13.02    0.00   12.52    0.00    0.00    4.90    0.00    0.00    0.00   69.56
Average:       8   32.61    0.00   31.80    0.00    0.00   17.27    0.00    0.00    0.00   18.31
Average:       9   32.23    0.00   32.43    0.00    0.00   16.83    0.00    0.00    0.00   18.51
Average:      10    3.90    0.00    9.24    0.07    0.00    3.20    0.00    0.00    0.00   83.59
Average:      11    3.95    0.00    8.79    0.04    0.00    3.21    0.00    0.00    0.00   84.02
Average:      12   14.51    0.00   12.90    0.04    0.00    4.53    0.00    0.00    0.00   68.03
Average:      13   14.86    0.00   12.66    0.00    0.00    4.78    0.00    0.00    0.00   67.70
Average:      14   14.03    0.00   12.51    0.00    0.00    4.80    0.00    0.00    0.00   68.66
Average:      15   13.60    0.00   12.78    0.00    0.00    4.81    0.00    0.00    0.00   68.81
