Linux 6.8.0-134-generic (exeris-perfbox) 	07/28/26 	_x86_64_	(16 CPU)

10:22:00     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:22:30     all   15.32    0.00   17.30    0.03    0.00    6.77    0.00    0.00    0.00   60.59
10:22:30       0   27.91    0.00   35.93    0.00    0.00   13.32    0.00    0.00    0.00   22.84
10:22:30       1   28.22    0.00   35.42    0.00    0.00   14.13    0.00    0.00    0.00   22.23
10:22:30       2    4.72    0.00    9.73    0.04    0.00    6.29    0.00    0.00    0.00   79.22
10:22:30       3    4.60    0.00    9.63    0.00    0.00    5.96    0.00    0.00    0.00   79.81
10:22:30       4   14.00    0.00   11.08    0.04    0.00    3.49    0.00    0.00    0.00   71.39
10:22:30       5   13.71    0.00   11.22    0.00    0.00    3.40    0.00    0.00    0.00   71.67
10:22:30       6   13.79    0.00   10.98    0.04    0.00    3.75    0.00    0.00    0.00   71.44
10:22:30       7   13.67    0.00   10.90    0.07    0.00    3.55    0.00    0.00    0.00   71.81
10:22:30       8   28.27    0.00   35.80    0.00    0.00   13.42    0.00    0.00    0.00   22.52
10:22:30       9   27.25    0.00   36.39    0.00    0.00   13.37    0.00    0.00    0.00   22.98
10:22:30      10    4.97    0.00    9.58    0.04    0.00    5.72    0.00    0.00    0.00   79.70
10:22:30      11    4.68    0.00    9.96    0.04    0.00    5.92    0.00    0.00    0.00   79.41
10:22:30      12   14.14    0.00   11.22    0.04    0.00    3.49    0.00    0.00    0.00   71.12
10:22:30      13   14.05    0.00   11.14    0.00    0.00    3.63    0.00    0.00    0.00   71.18
10:22:30      14   13.93    0.00   11.38    0.14    0.00    3.48    0.00    0.00    0.00   71.07
10:22:30      15   13.90    0.00   11.14    0.00    0.00    3.37    0.00    0.00    0.00   71.60

Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   15.32    0.00   17.30    0.03    0.00    6.77    0.00    0.00    0.00   60.59
Average:       0   27.91    0.00   35.93    0.00    0.00   13.32    0.00    0.00    0.00   22.84
Average:       1   28.22    0.00   35.42    0.00    0.00   14.13    0.00    0.00    0.00   22.23
Average:       2    4.72    0.00    9.73    0.04    0.00    6.29    0.00    0.00    0.00   79.22
Average:       3    4.60    0.00    9.63    0.00    0.00    5.96    0.00    0.00    0.00   79.81
Average:       4   14.00    0.00   11.08    0.04    0.00    3.49    0.00    0.00    0.00   71.39
Average:       5   13.71    0.00   11.22    0.00    0.00    3.40    0.00    0.00    0.00   71.67
Average:       6   13.79    0.00   10.98    0.04    0.00    3.75    0.00    0.00    0.00   71.44
Average:       7   13.67    0.00   10.90    0.07    0.00    3.55    0.00    0.00    0.00   71.81
Average:       8   28.27    0.00   35.80    0.00    0.00   13.42    0.00    0.00    0.00   22.52
Average:       9   27.25    0.00   36.39    0.00    0.00   13.37    0.00    0.00    0.00   22.98
Average:      10    4.97    0.00    9.58    0.04    0.00    5.72    0.00    0.00    0.00   79.70
Average:      11    4.68    0.00    9.96    0.04    0.00    5.92    0.00    0.00    0.00   79.41
Average:      12   14.14    0.00   11.22    0.04    0.00    3.49    0.00    0.00    0.00   71.12
Average:      13   14.05    0.00   11.14    0.00    0.00    3.63    0.00    0.00    0.00   71.18
Average:      14   13.93    0.00   11.38    0.14    0.00    3.48    0.00    0.00    0.00   71.07
Average:      15   13.90    0.00   11.14    0.00    0.00    3.37    0.00    0.00    0.00   71.60
