Linux 6.8.0-134-generic (exeris-perfbox) 	07/28/26 	_x86_64_	(16 CPU)

10:07:39     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:08:09     all   16.80    0.00   14.96    0.03    0.00    6.80    0.00    0.00    0.00   61.41
10:08:09       0   38.96    0.00   29.26    0.00    0.00   15.25    0.00    0.00    0.00   16.53
10:08:09       1   38.33    0.00   29.66    0.00    0.00   15.37    0.00    0.00    0.00   16.64
10:08:09       2    3.55    0.00    8.08    0.04    0.00    2.99    0.00    0.00    0.00   85.35
10:08:09       3    3.59    0.00    7.94    0.07    0.00    2.81    0.00    0.00    0.00   85.59
10:08:09       4   12.17    0.00   11.06    0.00    0.00    4.18    0.00    0.00    0.00   72.59
10:08:09       5   11.87    0.00   11.08    0.04    0.00    4.36    0.00    0.00    0.00   72.65
10:08:09       6   11.98    0.00   11.02    0.04    0.00    4.14    0.00    0.00    0.00   72.83
10:08:09       7   11.35    0.00   10.71    0.04    0.00    4.22    0.00    0.00    0.00   73.69
10:08:09       8   39.28    0.00   28.74    0.00    0.00   15.58    0.00    0.00    0.00   16.39
10:08:09       9   39.31    0.00   28.93    0.00    0.00   15.26    0.00    0.00    0.00   16.50
10:08:09      10    3.33    0.00    8.28    0.11    0.00    2.95    0.00    0.00    0.00   85.34
10:08:09      11    3.47    0.00    8.06    0.07    0.00    3.02    0.00    0.00    0.00   85.38
10:08:09      12   11.88    0.00   10.95    0.04    0.00    4.21    0.00    0.00    0.00   72.93
10:08:09      13   12.28    0.00   11.03    0.04    0.00    4.34    0.00    0.00    0.00   72.31
10:08:09      14   11.64    0.00   11.04    0.04    0.00    4.17    0.00    0.00    0.00   73.12
10:08:09      15   11.47    0.00   10.52    0.04    0.00    4.18    0.00    0.00    0.00   73.80

Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   16.80    0.00   14.96    0.03    0.00    6.80    0.00    0.00    0.00   61.41
Average:       0   38.96    0.00   29.26    0.00    0.00   15.25    0.00    0.00    0.00   16.53
Average:       1   38.33    0.00   29.66    0.00    0.00   15.37    0.00    0.00    0.00   16.64
Average:       2    3.55    0.00    8.08    0.04    0.00    2.99    0.00    0.00    0.00   85.35
Average:       3    3.59    0.00    7.94    0.07    0.00    2.81    0.00    0.00    0.00   85.59
Average:       4   12.17    0.00   11.06    0.00    0.00    4.18    0.00    0.00    0.00   72.59
Average:       5   11.87    0.00   11.08    0.04    0.00    4.36    0.00    0.00    0.00   72.65
Average:       6   11.98    0.00   11.02    0.04    0.00    4.14    0.00    0.00    0.00   72.83
Average:       7   11.35    0.00   10.71    0.04    0.00    4.22    0.00    0.00    0.00   73.69
Average:       8   39.28    0.00   28.74    0.00    0.00   15.58    0.00    0.00    0.00   16.39
Average:       9   39.31    0.00   28.93    0.00    0.00   15.26    0.00    0.00    0.00   16.50
Average:      10    3.33    0.00    8.28    0.11    0.00    2.95    0.00    0.00    0.00   85.34
Average:      11    3.47    0.00    8.06    0.07    0.00    3.02    0.00    0.00    0.00   85.38
Average:      12   11.88    0.00   10.95    0.04    0.00    4.21    0.00    0.00    0.00   72.93
Average:      13   12.28    0.00   11.03    0.04    0.00    4.34    0.00    0.00    0.00   72.31
Average:      14   11.64    0.00   11.04    0.04    0.00    4.17    0.00    0.00    0.00   73.12
Average:      15   11.47    0.00   10.52    0.04    0.00    4.18    0.00    0.00    0.00   73.80
