Linux 6.8.0-134-generic (exeris-perfbox) 	07/28/26 	_x86_64_	(16 CPU)

10:14:50     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:15:20     all   16.37    0.00   16.62    0.04    0.00    7.61    0.00    0.00    0.00   59.36
10:15:20       0   32.84    0.00   31.49    0.00    0.00   17.33    0.00    0.00    0.00   18.34
10:15:20       1   32.81    0.00   31.93    0.00    0.00   16.77    0.00    0.00    0.00   18.49
10:15:20       2    3.91    0.00    8.95    0.18    0.00    3.28    0.00    0.00    0.00   83.68
10:15:20       3    3.85    0.00    8.58    0.07    0.00    3.29    0.00    0.00    0.00   84.21
10:15:20       4   14.14    0.00   12.19    0.07    0.00    4.91    0.00    0.00    0.00   68.69
10:15:20       5   14.51    0.00   12.83    0.04    0.00    4.68    0.00    0.00    0.00   67.94
10:15:20       6   13.76    0.00   12.94    0.04    0.00    4.72    0.00    0.00    0.00   68.54
10:15:20       7   13.08    0.00   12.40    0.00    0.00    4.70    0.00    0.00    0.00   69.82
10:15:20       8   33.08    0.00   31.63    0.00    0.00   17.08    0.00    0.00    0.00   18.22
10:15:20       9   33.22    0.00   31.34    0.00    0.00   17.06    0.00    0.00    0.00   18.38
10:15:20      10    3.71    0.00    9.00    0.11    0.00    3.07    0.00    0.00    0.00   84.12
10:15:20      11    3.84    0.00    8.77    0.04    0.00    3.35    0.00    0.00    0.00   84.01
10:15:20      12   14.13    0.00   12.74    0.07    0.00    4.83    0.00    0.00    0.00   68.23
10:15:20      13   13.93    0.00   12.90    0.00    0.00    5.07    0.00    0.00    0.00   68.10
10:15:20      14   14.13    0.00   12.27    0.00    0.00    4.84    0.00    0.00    0.00   68.76
10:15:20      15   13.54    0.00   12.57    0.00    0.00    4.61    0.00    0.00    0.00   69.29

Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   16.37    0.00   16.62    0.04    0.00    7.61    0.00    0.00    0.00   59.36
Average:       0   32.84    0.00   31.49    0.00    0.00   17.33    0.00    0.00    0.00   18.34
Average:       1   32.81    0.00   31.93    0.00    0.00   16.77    0.00    0.00    0.00   18.49
Average:       2    3.91    0.00    8.95    0.18    0.00    3.28    0.00    0.00    0.00   83.68
Average:       3    3.85    0.00    8.58    0.07    0.00    3.29    0.00    0.00    0.00   84.21
Average:       4   14.14    0.00   12.19    0.07    0.00    4.91    0.00    0.00    0.00   68.69
Average:       5   14.51    0.00   12.83    0.04    0.00    4.68    0.00    0.00    0.00   67.94
Average:       6   13.76    0.00   12.94    0.04    0.00    4.72    0.00    0.00    0.00   68.54
Average:       7   13.08    0.00   12.40    0.00    0.00    4.70    0.00    0.00    0.00   69.82
Average:       8   33.08    0.00   31.63    0.00    0.00   17.08    0.00    0.00    0.00   18.22
Average:       9   33.22    0.00   31.34    0.00    0.00   17.06    0.00    0.00    0.00   18.38
Average:      10    3.71    0.00    9.00    0.11    0.00    3.07    0.00    0.00    0.00   84.12
Average:      11    3.84    0.00    8.77    0.04    0.00    3.35    0.00    0.00    0.00   84.01
Average:      12   14.13    0.00   12.74    0.07    0.00    4.83    0.00    0.00    0.00   68.23
Average:      13   13.93    0.00   12.90    0.00    0.00    5.07    0.00    0.00    0.00   68.10
Average:      14   14.13    0.00   12.27    0.00    0.00    4.84    0.00    0.00    0.00   68.76
Average:      15   13.54    0.00   12.57    0.00    0.00    4.61    0.00    0.00    0.00   69.29
