target               pair   rung   n  p99_mean  p99.9_mean  p99.9_max
exeris-community        1   2000   2      4.29        5.08       5.54
exeris-community        1   4000   2      2.63        7.30       7.96
exeris-community        1   6000   2      4.38       12.34      16.86
exeris-community        1   8000   2      3.46       24.70      28.21
exeris-community        1  10000   2     13.22       37.26      39.23
exeris-community        2   2000   2      2.48        2.73       2.76
exeris-community        2   4000   2      2.66        6.68      10.14
exeris-community        2   6000   2      2.96       14.60      18.22
exeris-community        2   8000   2      3.26       11.88      13.69
exeris-community        2  10000   2     19.38       40.38      44.22
quarkus-hibernate       2   2000   2      2.56        3.03       3.09
quarkus-hibernate       2   4000   2      2.73        6.83       7.31
quarkus-hibernate       2   6000   2      4.58        7.38       8.73
quarkus-hibernate       2   8000   2      5.24       12.87      16.75
quarkus-hibernate       2  10000   2     10.89       31.27      38.97
quarkus-hibernate       3   2000   2      2.55        3.12       3.14
quarkus-hibernate       3   4000   2      2.73        3.94       4.14
quarkus-hibernate       3   6000   2      4.54       13.62      18.61
quarkus-hibernate       3   8000   2      4.10       23.35      28.38
quarkus-hibernate       3  10000   2     27.02       99.65     122.69
quarkus-tuned           1   2000   2      2.37        4.85       7.01
quarkus-tuned           1   4000   2      3.35        6.46       7.43
quarkus-tuned           1   6000   2      2.59        4.17       4.33
quarkus-tuned           1   8000   2      2.97       11.99      18.13
quarkus-tuned           1  10000   2      3.79       13.77      20.66
quarkus-tuned           3   2000   2      3.31        3.72       4.73
quarkus-tuned           3   4000   2      2.39        3.01       3.09
quarkus-tuned           3   6000   2      3.65        6.14       6.30
quarkus-tuned           3   8000   2      2.89        4.90       5.03
quarkus-tuned           3  10000   2      5.22       12.42      16.38
