target               pair   rung   n  p99_mean  p99.9_mean  p99.9_max
exeris-community        1   6000   2      1.81        1.96       1.97
exeris-community        1  12000   2      1.77        1.98       1.99
exeris-community        1  18000   2      1.54        1.94       1.96
exeris-community        1  24000   2      1.96        2.52       2.63
exeris-community        1  30000   2      2.16        2.60       2.63
exeris-community        2   6000   2      1.77        1.94       1.95
exeris-community        2  12000   2      1.75        2.00       2.06
exeris-community        2  18000   2      1.70        2.02       2.14
exeris-community        2  24000   2      1.93        2.29       2.29
exeris-community        2  30000   2      2.18        3.23       3.71
quarkus-hibernate       2   6000   2      2.02        5.81       6.90
quarkus-hibernate       2  12000   2      2.04        9.86       9.90
quarkus-hibernate       2  18000   2      2.39        9.93      10.19
quarkus-hibernate       2  24000   2      3.20       11.05      11.44
quarkus-hibernate       2  30000   2      7.31       19.91      28.24
quarkus-hibernate       3   6000   2      2.01        5.19       5.65
quarkus-hibernate       3  12000   2      2.15        8.66       8.98
quarkus-hibernate       3  18000   2      2.38        9.28       9.46
quarkus-hibernate       3  24000   2      3.13       10.50      10.81
quarkus-hibernate       3  30000   2      8.13       22.75      24.33
quarkus-tuned           1   6000   2      1.88        6.38       7.01
quarkus-tuned           1  12000   2      1.96        8.34       8.57
quarkus-tuned           1  18000   2      2.29       10.96      11.00
quarkus-tuned           1  24000   2      2.78       10.61      11.21
quarkus-tuned           1  30000   2      5.21       12.22      12.52
quarkus-tuned           3   6000   2      1.88        4.83       5.47
quarkus-tuned           3  12000   2   5460.00     5720.00    8760.00
quarkus-tuned           3  18000   2  25045.00    25335.00   27720.00
quarkus-tuned           3  24000   2      2.92       12.11      13.12
quarkus-tuned           3  30000   2      3.57       10.73      10.82
