cell	repeat	stack	contract	rps	total_rss_kb	heap_res_kb	heap_committed_kb	heap_residency	nonheap_res_kb	nonheap_net_of_nmt_kb	nmt_cost_kb
light-community	1	community	light	57523.90	242004	101452	262144	0.387	140552	138728	1824
light-qtuned	1	qtuned	light	48653.17	282920	110952	262144	0.423	171968	168932	3036
light-qhib	1	qhib	light	44572.27	349612	125596	262144	0.479	224016	219243	4773
heavy-community	1	community	heavy	14506.75	254784	106792	262144	0.407	147992	146155	1837
heavy-qtuned	1	qtuned	heavy	13849.24	319876	142056	262144	0.542	177820	174737	3083
heavy-qhib	1	qhib	heavy	11593.73	443796	187916	262144	0.717	255880	250665	5215
light-community	2	community	light	57285.24	239048	101408	262144	0.387	137640	135810	1830
light-qtuned	2	qtuned	light	48448.65	282248	112948	262144	0.431	169300	166263	3037
light-qhib	2	qhib	light	44341.51	362044	125496	262144	0.479	236548	231803	4745
heavy-community	2	community	heavy	14428.90	257904	105108	262144	0.401	152796	150943	1853
heavy-qtuned	2	qtuned	heavy	13880.56	327264	145044	262144	0.553	182220	179127	3093
heavy-qhib	2	qhib	heavy	11618.60	464368	184572	262144	0.704	279796	274602	5194
light-community	3	community	light	57153.83	235720	101244	262144	0.386	134476	132660	1816
light-qtuned	3	qtuned	light	48133.48	278876	111820	262144	0.427	167056	164011	3045
light-qhib	3	qhib	light	43340.79	359976	125936	262144	0.48	234040	229314	4726
heavy-community	3	community	heavy	14367.60	265888	106540	262144	0.406	159348	157458	1890
heavy-qtuned	3	qtuned	heavy	13847.97	324256	144160	262144	0.55	180096	177015	3081
heavy-qhib	3	qhib	heavy	11657.17	464608	186040	262144	0.71	278568	273321	5247
