cell	repeat	stack	contract	nonheap_committed_kb	class_metadata_total_kb	class_kb	metaspace_kb	shared_class_space_kb	code_kb	gc_kb	thread_kb	compiler_kb	symbol_kb	internal_kb	other_kb	nmt_instrument_kb	nonheap_res_kb	nonheap_anon_kb	nonheap_file_kb	loaded_classes	platform_threads	nmt_coverage_of_res	nmt_coverage_of_anon
light-community	1	community	light	85716	32890	2776	16106	14008	18121	17317	1170	377	3485	1391	6414	1824	140552	112692	27860	4674	34	0.61	0.761
light-qtuned	1	qtuned	light	108013	50529	4794	31727	14008	22429	17291	1427	375	6822	1388	3483	3036	171968	142784	29184	7545	34	0.628	0.756
light-qhib	1	qhib	light	146632	73103	8479	50616	14008	29381	17291	1103	375	12215	1422	5293	4773	224016	197224	26792	11658	34	0.655	0.743
heavy-community	1	community	heavy	87119	33253	2879	16366	14008	19265	17285	1123	407	3492	1397	6586	1837	147992	120092	27900	4723	33	0.589	0.725
heavy-qtuned	1	qtuned	heavy	109125	50104	4754	31342	14008	24069	17291	1331	361	6738	1390	3499	3083	177820	148636	29184	7446	34	0.614	0.734
heavy-qhib	1	qhib	heavy	161293	78272	9544	54720	14008	33850	17291	1183	376	13359	1439	5293	5215	255880	229128	26752	12349	34	0.63	0.704
light-community	2	community	light	87661	32969	2789	16172	14008	18482	17285	1138	378	3485	1393	6402	1830	137640	109776	27864	4673	34	0.637	0.799
light-qtuned	2	qtuned	light	108618	50522	4787	31727	14008	22128	17291	1460	360	6822	1387	3481	3037	169300	140152	29148	7552	34	0.642	0.775
light-qhib	2	qhib	light	146344	73110	8486	50616	14008	29020	17291	1096	376	12217	1422	5293	4745	236548	209756	26792	11653	34	0.619	0.698
heavy-community	2	community	heavy	87048	33258	2886	16364	14008	19284	17285	1267	375	3494	1397	6558	1853	152796	124932	27864	4723	33	0.57	0.697
heavy-qtuned	2	qtuned	heavy	117622	50100	4750	31342	14008	23968	17291	1494	362	6737	1390	3499	3093	182220	153072	29148	7444	35	0.645	0.768
heavy-qhib	2	qhib	heavy	158601	78390	9598	54784	14008	33500	17291	1227	376	13360	1440	5293	5194	279796	253004	26792	12350	34	0.567	0.627
light-community	3	community	light	85540	32886	2774	16104	14008	18158	17285	1131	375	3485	1389	6402	1816	134476	106576	27900	4665	33	0.636	0.803
light-qtuned	3	qtuned	light	108230	50466	4795	31663	14008	22663	17291	1388	390	6822	1388	3483	3045	167056	137912	29144	7544	34	0.648	0.785
light-qhib	3	qhib	light	145762	73105	8481	50616	14008	28642	17291	1096	361	12210	1422	5295	4726	234040	207312	26728	11653	34	0.623	0.703
heavy-community	3	community	heavy	87849	33265	2892	16365	14008	20357	17285	1223	376	3493	1396	6282	1890	159348	131448	27900	4724	33	0.551	0.668
heavy-qtuned	3	qtuned	heavy	124500	50105	4755	31342	14008	23745	17291	1427	360	6737	1388	3499	3081	180096	150948	29148	7444	34	0.691	0.825
heavy-qhib	3	qhib	heavy	161880	78526	9605	54913	14008	34284	17291	1035	377	13374	1438	5291	5247	278568	251828	26740	12365	34	0.581	0.643
