epoch_ms,cpu_pct,mem_usage_mb,mem_limit_mb,net_in_mb,net_out_mb,block_in_mb,block_out_mb,pids
1785428001489,7.65,102.7,63508.5,628,513,22.4,16691.2,22
1785428003514,12.01,109.2,63508.5,628,514,22.4,16691.2,23
1785428006519,20.86,124.3,63508.5,629,515,22.4,16793.6,25
1785428009525,29.11,138.9,63508.5,631,516,22.4,16793.6,29
1785428012531,19.09,146.9,63508.5,633,517,22.4,16793.6,29
1785428015537,21.32,149.1,63508.5,634,519,22.4,16793.6,29
1785428018542,22.80,150.1,63508.5,636,520,22.4,16896.0,29
1785428021548,23.68,150.7,63508.5,638,522,22.4,16896.0,29
1785428024554,26.32,151.2,63508.5,640,523,22.4,16896.0,29
1785428027560,24.73,151.4,63508.5,642,525,22.4,16998.4,29
1785428030565,26.50,155,63508.5,644,526,22.4,16998.4,31
1785428033571,22.44,155.1,63508.5,646,528,22.4,16998.4,31
1785428036577,24.25,155.3,63508.5,647,529,22.4,16998.4,31
1785428039583,23.87,155.4,63508.5,649,530,22.4,17100.8,31
1785428042590,24.71,155.7,63508.5,651,532,22.4,17100.8,31
1785428045597,26.98,157.6,63508.5,653,533,22.4,17100.8,32
1785428048601,25.27,156.4,63508.5,655,535,22.4,17203.2,31
1785428051606,22.15,156.8,63508.5,657,536,22.4,17203.2,31
1785428054613,29.44,157.1,63508.5,659,538,22.4,17203.2,31
1785428057619,24.83,160,63508.5,661,539,22.4,17305.6,33
1785428060625,24.41,160.6,63508.5,663,541,22.4,17305.6,33
1785428063630,20.88,160.8,63508.5,665,542,22.4,17305.6,33
1785428066637,20.01,160.6,63508.5,666,544,22.4,17305.6,33
1785428069642,28.64,161.2,63508.5,668,545,22.4,17408.0,33
1785428072648,23.60,162.6,63508.5,670,547,22.4,17408.0,34
1785428075654,22.40,162.7,63508.5,672,548,22.4,17408.0,34
1785428078659,20.18,162.5,63508.5,674,550,22.4,17510.4,34
1785428081668,21.18,165.7,63508.5,676,551,22.4,17510.4,35
1785428084672,27.04,167.1,63508.5,678,553,22.4,17510.4,35
1785428087678,23.14,167.8,63508.5,680,554,22.4,17612.8,35
1785428090684,26.79,167.9,63508.5,682,556,22.4,17612.8,35
1785428093689,23.18,168.6,63508.5,684,557,22.4,17612.8,35
1785428096695,23.20,168.1,63508.5,686,559,22.4,17612.8,35
1785428099701,21.89,167.9,63508.5,687,560,22.4,17715.2,35
1785428102708,23.47,168.5,63508.5,689,561,22.4,17715.2,35
1785428105714,32.65,174.1,63508.5,691,563,22.4,17715.2,38
1785428108721,22.79,168.7,63508.5,693,564,22.4,17817.6,35
1785428111727,21.35,169.5,63508.5,695,566,22.4,17817.6,35
1785428114733,21.92,169.5,63508.5,697,567,22.4,17817.6,35
1785428117740,22.01,169.1,63508.5,699,569,22.4,17817.6,35
1785428120744,25.92,169.7,63508.5,701,570,22.4,17920.0,35
1785428123750,21.59,169.2,63508.5,703,572,22.4,17920.0,35
1785428126757,21.41,169,63508.5,705,573,22.4,17920.0,35
1785428129763,19.11,169.7,63508.5,707,575,22.4,18022.4,35
1785428132770,19.07,172.1,63508.5,708,576,22.4,18022.4,41
1785428135775,25.50,170.3,63508.5,710,578,22.4,18022.4,35
1785428138783,22.71,170.8,63508.5,712,579,22.4,18124.8,35
