epoch_s,total_backends,active,idle,idle_in_txn,max_connections
1785428428,16,0,16,0,300
1785428429,16,0,16,0,300
1785428430,16,1,15,0,300
1785428431,16,0,15,1,300
1785428432,16,0,16,0,300
1785428433,16,0,15,1,300
1785428434,16,1,12,3,300
1785428435,16,1,14,1,300
1785428437,16,0,15,1,300
1785428438,17,3,10,4,300
1785428439,17,3,9,5,300
1785428440,21,0,21,0,300
1785428441,22,0,21,1,300
1785428442,22,0,22,0,300
1785428443,22,2,17,3,300
1785428444,22,1,18,3,300
1785428445,22,0,22,0,300
1785428446,22,3,16,3,300
1785428447,22,3,16,3,300
1785428448,22,3,17,2,300
1785428450,23,1,21,1,300
1785428451,23,0,22,1,300
1785428452,23,4,15,4,300
1785428453,23,4,15,4,300
1785428454,23,2,16,5,300
1785428455,23,1,21,1,300
1785428456,23,1,21,1,300
1785428457,23,1,20,2,300
1785428458,23,2,19,2,300
1785428459,24,1,22,1,300
1785428460,24,0,24,0,300
1785428461,24,3,18,3,300
1785428463,24,1,20,3,300
1785428464,24,2,20,2,300
1785428465,24,2,20,2,300
1785428466,24,3,17,4,300
1785428467,25,0,24,1,300
1785428468,25,1,21,3,300
1785428469,25,0,25,0,300
1785428470,25,0,23,2,300
1785428471,25,4,15,6,300
1785428472,25,1,22,2,300
1785428473,26,1,24,1,300
1785428474,26,2,21,3,300
1785428476,26,1,22,3,300
1785428477,26,0,25,1,300
1785428478,26,3,20,3,300
1785428479,26,3,20,3,300
1785428480,26,0,26,0,300
1785428481,26,1,22,3,300
1785428482,26,3,19,4,300
1785428483,26,2,21,3,300
1785428484,26,1,23,2,300
1785428485,26,0,25,1,300
1785428486,26,1,23,2,300
1785428487,26,0,25,1,300
1785428489,26,0,25,1,300
1785428490,26,3,19,4,300
1785428491,26,1,24,1,300
1785428492,26,1,25,0,300
1785428493,26,0,25,1,300
1785428494,26,0,26,0,300
1785428495,26,3,20,3,300
1785428496,26,0,26,0,300
1785428497,26,3,21,2,300
1785428498,26,1,24,1,300
1785428499,26,9,6,11,300
1785428500,26,1,24,1,300
1785428501,26,0,23,3,300
1785428503,26,1,24,1,300
1785428504,26,6,13,7,300
1785428505,26,2,21,3,300
1785428506,26,1,24,1,300
1785428507,26,0,23,3,300
1785428508,26,1,21,4,300
1785428509,26,1,23,2,300
1785428510,26,0,23,3,300
1785428511,26,0,26,0,300
1785428512,27,5,18,4,300
1785428513,27,1,25,1,300
1785428514,27,0,27,0,300
1785428516,27,2,22,3,300
1785428517,27,0,27,0,300
1785428518,27,1,25,1,300
1785428519,27,1,25,1,300
1785428520,27,1,24,2,300
1785428521,27,2,23,2,300
1785428522,27,0,26,1,300
1785428523,27,0,26,1,300
1785428524,27,2,22,3,300
1785428525,27,3,21,3,300
1785428526,27,1,25,1,300
1785428527,27,2,23,2,300
