epoch_ms,cpu_pct,mem_usage_mb,mem_limit_mb,net_in_mb,net_out_mb,block_in_mb,block_out_mb,pids
1785428858791,2.16,2946.0,63508.5,133,144,370,2785.3,136
1785428861822,11.06,2946.0,63508.5,133,145,370,2785.3,137
1785428864827,17.42,2946.0,63508.5,133,145,370,2785.3,137
1785428867832,16.67,2946.0,63508.5,134,145,370,2785.3,137
1785428870838,20.17,2946.0,63508.5,134,145,370,2795.5,137
1785428873845,17.02,2946.0,63508.5,134,145,370,2795.5,136
1785428876850,17.38,2946.0,63508.5,134,146,370,2795.5,136
1785428879857,18.05,2946.0,63508.5,134,146,370,2795.5,136
1785428882862,19.86,2946.0,63508.5,135,146,370,2795.5,136
1785428885868,20.70,2946.0,63508.5,135,146,370,2805.8,136
1785428888875,17.65,2946.0,63508.5,135,147,370,2805.8,136
1785428891881,25.27,2946.0,63508.5,135,147,370,2805.8,136
1785428894886,29.29,2946.0,63508.5,135,147,370,2805.8,136
1785428897892,21.39,2946.0,63508.5,136,147,370,2805.8,136
1785428900899,27.57,2946.0,63508.5,136,148,370,2816.0,137
1785428903904,17.42,2946.0,63508.5,136,148,370,2816.0,137
1785428906910,22.49,2946.0,63508.5,136,148,370,2816.0,137
1785428909915,20.33,2946.0,63508.5,136,148,370,2816.0,137
1785428912922,20.07,2946.0,63508.5,137,148,370,2826.2,137
1785428915928,24.48,2946.0,63508.5,137,149,370,2826.2,137
1785428918934,19.19,2946.0,63508.5,137,149,370,2826.2,137
1785428921938,21.16,2946.0,63508.5,137,149,370,2826.2,137
1785428924944,26.11,2946.0,63508.5,137,149,370,2826.2,137
1785428927950,23.11,2946.0,63508.5,138,150,370,2836.5,137
1785428930956,22.24,2946.0,63508.5,138,150,370,2836.5,137
1785428933962,22.77,2946.0,63508.5,138,150,370,2836.5,137
1785428936967,23.70,2946.0,63508.5,138,150,370,2836.5,137
1785428939974,24.34,2946.0,63508.5,138,151,370,2846.7,137
1785428942980,29.13,2947.1,63508.5,139,151,370,2846.7,137
1785428945986,22.96,2946.0,63508.5,139,151,370,2846.7,137
1785428948992,25.41,2946.0,63508.5,139,151,370,2846.7,137
1785428951998,26.34,2947.1,63508.5,139,151,370,2846.7,137
1785428955004,29.91,2947.1,63508.5,140,152,370,2857.0,137
1785428958010,26.84,2946.0,63508.5,140,152,370,2857.0,137
1785428961015,27.27,2946.0,63508.5,140,152,370,2857.0,137
1785428964022,30.50,2946.0,63508.5,140,152,370,2857.0,137
1785428967028,27.07,2946.0,63508.5,140,153,370,2867.2,137
1785428970034,27.41,2946.0,63508.5,141,153,370,2867.2,137
1785428973041,30.35,2946.0,63508.5,141,153,370,2867.2,137
1785428976047,33.78,2946.0,63508.5,141,153,370,2867.2,137
1785428979054,32.15,2946.0,63508.5,141,154,370,2867.2,137
1785428982060,29.58,2946.0,63508.5,141,154,370,2877.4,137
1785428985067,28.02,2946.0,63508.5,142,154,370,2877.4,137
1785428988072,28.59,2946.0,63508.5,142,154,370,2877.4,137
1785428991079,33.84,2946.0,63508.5,142,154,370,2877.4,137
1785428994085,34.14,2946.0,63508.5,142,155,370,2887.7,137
1785428997092,34.98,2946.0,63508.5,142,155,370,2887.7,137
1785429000098,34.50,2946.0,63508.5,143,155,370,2887.7,137
1785429003104,31.90,2946.0,63508.5,143,155,370,2887.7,137
1785429006110,38.10,2946.0,63508.5,143,156,370,2887.7,137
1785429009116,37.63,2946.0,63508.5,143,156,370,2897.9,137
1785429012122,37.82,2947.1,63508.5,143,156,370,2897.9,143
1785429015128,35.57,2947.1,63508.5,144,156,370,2897.9,143
1785429018134,37.00,2947.1,63508.5,144,156,370,2897.9,143
1785429021140,36.82,2947.1,63508.5,144,157,370,2897.9,143
1785429024147,33.65,2947.1,63508.5,144,157,370,2908.2,143
1785429027152,42.67,2947.1,63508.5,144,157,370,2908.2,143
1785429030157,39.93,2947.1,63508.5,145,157,370,2908.2,143
1785429033164,44.65,2947.1,63508.5,145,158,370,2908.2,143
1785429036170,38.50,2947.1,63508.5,145,158,370,2918.4,143
1785429039177,42.25,2947.1,63508.5,145,158,370,2918.4,143
1785429042183,46.57,2947.1,63508.5,145,158,370,2918.4,143
1785429045190,44.61,2947.1,63508.5,146,159,370,2918.4,143
1785429048197,45.21,2947.1,63508.5,146,159,370,2918.4,143
1785429051202,45.48,2947.1,63508.5,146,159,370,2928.6,143
1785429054208,46.80,2947.1,63508.5,146,159,370,2928.6,143
1785429057213,46.95,2947.1,63508.5,146,159,370,2928.6,143
1785429060219,42.12,2947.1,63508.5,147,160,370,2928.6,143
1785429063225,43.79,2947.1,63508.5,147,160,370,2938.9,143
1785429066231,46.81,2947.1,63508.5,147,160,370,2938.9,143
1785429069238,52.55,2947.1,63508.5,147,160,370,2938.9,143
1785429072245,40.10,2947.1,63508.5,147,161,370,2938.9,142
1785429075252,56.80,2947.1,63508.5,148,161,370,2938.9,142
1785429078258,46.21,2947.1,63508.5,148,161,370,2949.1,142
1785429081264,47.02,2947.1,63508.5,148,161,370,2949.1,142
1785429084269,46.39,2947.1,63508.5,148,162,370,2949.1,142
1785429087276,49.82,2947.1,63508.5,148,162,370,2949.1,142
1785429090283,49.29,2947.1,63508.5,149,162,370,2959.4,142
1785429093289,59.87,2947.1,63508.5,149,162,370,2959.4,142
1785429096295,53.06,2947.1,63508.5,149,162,370,2959.4,142
1785429099301,49.46,2947.1,63508.5,149,163,370,2959.4,142
