epoch_ms,cpu_pct,mem_usage_mb,mem_limit_mb,net_in_mb,net_out_mb,block_in_mb,block_out_mb,pids
1785429300852,6.03,873.7,63508.5,0.003,0.002,0.008,4.76,133
1785429303884,5.81,876,63508.5,0.003,0.003,0.008,4.79,133
1785429306892,19.14,882.4,63508.5,0.066,0.064,0.008,4.79,135
1785429309900,17.56,886.3,63508.5,0.181,0.180,0.008,4.83,136
1785429312907,9.48,887.7,63508.5,0.296,0.294,0.008,4.83,135
1785429315915,16.73,889.1,63508.5,0.415,0.413,0.008,4.88,135
1785429318924,27.35,897.8,63508.5,0.532,0.530,0.008,4.88,136
1785429321932,11.52,898,63508.5,0.654,0.652,0.008,4.93,136
1785429324938,26.80,892.6,63508.5,0.769,0.766,0.008,4.97,134
1785429327946,10.53,892.8,63508.5,0.896,0.894,0.008,4.97,133
1785429330955,4.14,893.1,63508.5,1.04,1.04,0.008,5.02,133
1785429333962,28.56,893.5,63508.5,1.16,1.16,0.008,5.02,134
1785429336970,5.17,893.3,63508.5,1.29,1.29,0.008,5.06,128
1785429339978,8.29,894.4,63508.5,1.41,1.41,0.008,5.1,131
1785429342985,21.14,894.7,63508.5,1.55,1.54,0.008,5.1,128
1785429345993,3.86,895,63508.5,1.67,1.67,0.008,5.15,127
1785429349002,11.39,895.4,63508.5,1.8,1.79,0.008,5.15,128
1785429352010,5.35,895.8,63508.5,1.92,1.92,0.008,5.19,127
1785429355018,8.03,896.3,63508.5,2.06,2.06,0.008,5.19,128
1785429358026,8.33,896.5,63508.5,2.18,2.18,0.008,5.23,127
1785429361033,28.91,896.8,63508.5,2.31,2.3,0.008,5.28,127
1785429364040,2.96,897.1,63508.5,2.43,2.43,0.008,5.28,127
1785429367048,3.11,897.4,63508.5,2.55,2.54,0.008,5.31,127
1785429370056,18.15,897.6,63508.5,2.68,2.68,0.008,5.31,127
1785429373068,5.79,902,63508.5,2.81,2.81,0.008,5.35,129
1785429376071,3.57,902.4,63508.5,2.93,2.93,0.008,5.4,128
1785429379080,3.15,902.4,63508.5,3.06,3.06,0.008,5.4,127
1785429382088,2.79,902.5,63508.5,3.18,3.18,0.008,5.44,127
1785429385094,6.96,902.6,63508.5,3.31,3.31,0.008,5.44,127
1785429388102,2.29,902.6,63508.5,3.44,3.44,0.008,5.47,127
1785429391109,2.17,902.7,63508.5,3.56,3.56,0.008,5.52,128
1785429394117,2.91,902.7,63508.5,3.7,3.69,0.008,5.52,127
1785429397125,3.56,902.8,63508.5,3.83,3.83,0.008,5.56,129
1785429400133,7.24,902.8,63508.5,3.95,3.95,0.008,5.56,127
1785429403141,2.38,902.8,63508.5,4.07,4.07,0.008,5.6,127
1785429406149,2.50,902.9,63508.5,4.2,4.2,0.008,5.6,128
1785429409156,2.13,902.9,63508.5,4.33,4.33,0.008,5.63,127
1785429412164,10.51,903,63508.5,4.46,4.46,0.008,5.67,127
1785429415173,31.74,910.9,63508.5,4.58,4.58,0.008,5.67,127
1785429418180,2.17,901.8,63508.5,4.72,4.72,0.008,5.72,127
1785429421187,3.50,908.1,63508.5,4.84,4.84,0.008,5.72,127
1785429424195,2.16,908.1,63508.5,4.97,4.96,0.008,5.76,127
1785429427203,3.00,908.2,63508.5,5.1,5.09,0.008,5.81,127
1785429430210,6.19,908.3,63508.5,5.22,5.22,0.008,5.81,127
1785429433216,1.57,908.3,63508.5,5.34,5.34,0.008,5.84,127
1785429436225,4.01,914.7,63508.5,5.46,5.46,0.040,5.84,129
1785429439233,4.19,915.2,63508.5,5.59,5.59,0.040,5.89,128
1785429442239,2.23,915.5,63508.5,5.71,5.71,0.040,5.94,128
1785429445248,6.37,915.6,63508.5,5.84,5.84,0.040,5.94,127
1785429448254,2.15,915.6,63508.5,5.97,5.96,0.040,5.98,127
1785429451262,1.63,915.7,63508.5,6.09,6.09,0.040,5.98,127
1785429454269,2.00,915.7,63508.5,6.23,6.22,0.040,6.01,127
1785429457276,3.06,916,63508.5,6.35,6.34,0.040,6.01,127
1785429460283,8.44,916.1,63508.5,6.48,6.48,0.040,6.05,127
1785429463291,2.52,916.1,63508.5,6.61,6.61,0.040,6.09,127
1785429466297,1.64,916.1,63508.5,6.73,6.73,0.040,6.09,127
1785429469304,1.79,916.1,63508.5,6.86,6.86,0.040,6.14,127
1785429472311,1.96,916.1,63508.5,6.99,6.99,0.040,6.14,127
1785429475319,6.07,916.1,63508.5,7.13,7.13,0.040,6.16,127
1785429478328,1.53,916.1,63508.5,7.25,7.25,0.040,6.2,127
1785429481336,1.96,916.2,63508.5,7.38,7.38,0.040,6.2,127
1785429484343,1.73,916.2,63508.5,7.5,7.5,0.040,6.25,127
1785429487350,3.70,916.2,63508.5,7.65,7.65,0.040,6.25,127
1785429490357,6.44,916.8,63508.5,7.77,7.76,0.040,6.28,127
1785429493364,1.60,916.5,63508.5,7.89,7.89,0.040,6.32,127
1785429496371,5.18,916.6,63508.5,8.03,8.03,0.040,6.32,128
1785429499379,2.01,916.9,63508.5,8.16,8.16,0.040,6.36,130
1785429502386,2.54,917.1,63508.5,8.3,8.29,0.040,6.36,129
1785429505394,4.34,917.2,63508.5,8.42,8.42,0.040,6.39,128
1785429508402,2.38,917.2,63508.5,8.56,8.56,0.040,6.39,127
1785429511409,4.66,917.3,63508.5,8.68,8.68,0.040,6.43,127
1785429514416,1.85,917.4,63508.5,8.82,8.82,0.040,6.47,127
1785429517424,5.66,917.9,63508.5,8.94,8.94,0.040,6.47,129
1785429520432,2.19,917.9,63508.5,9.07,9.07,0.040,6.51,128
1785429523439,1.59,917.8,63508.5,9.19,9.19,0.040,6.51,127
1785429526447,7.39,918,63508.5,9.34,9.34,0.040,6.54,127
1785429529454,1.99,918,63508.5,9.47,9.47,0.040,6.58,127
1785429532462,2.12,918.1,63508.5,9.59,9.59,0.040,6.58,127
1785429535469,2.70,918.1,63508.5,9.71,9.71,0.040,6.62,127
1785429538476,1.85,918.2,63508.5,9.85,9.84,0.040,6.62,127
1785429541484,7.40,918.3,63508.5,9.97,9.97,0.040,6.65,127
1785429544492,1.92,918.3,63508.5,10.1,10.1,0.040,6.67,128
1785429547499,1.92,918.4,63508.5,10.2,10.2,0.040,6.69,127
1785429550507,2.64,918.4,63508.5,10.4,10.4,0.040,6.73,127
1785429553514,1.81,918.5,63508.5,10.5,10.5,0.040,6.73,127
