epoch_s,total_backends,active,idle,idle_in_txn,max_connections
1785430162,8,0,8,0,300
1785430163,16,0,16,0,300
1785430164,16,0,16,0,300
1785430165,16,0,16,0,300
1785430166,16,0,16,0,300
1785430167,16,0,16,0,300
1785430168,16,0,16,0,300
1785430169,16,3,13,0,300
1785430170,16,1,15,0,300
1785430171,16,0,16,0,300
1785430173,16,2,14,0,300
1785430174,16,2,14,0,300
1785430175,16,4,12,0,300
1785430176,16,4,12,0,300
1785430177,16,1,15,0,300
1785430178,16,4,12,0,300
1785430179,16,0,16,0,300
1785430180,16,6,10,0,300
1785430181,16,3,13,0,300
1785430182,16,0,16,0,300
1785430183,16,1,15,0,300
1785430184,16,0,16,0,300
1785430185,16,4,12,0,300
1785430187,16,3,13,0,300
1785430188,16,1,15,0,300
1785430189,16,1,15,0,300
1785430190,16,3,13,0,300
1785430191,16,3,13,0,300
1785430192,16,2,14,0,300
1785430193,16,1,15,0,300
1785430194,16,7,9,0,300
1785430195,16,3,13,0,300
1785430196,16,1,15,0,300
1785430197,16,1,15,0,300
1785430199,16,4,12,0,300
1785430200,16,3,13,0,300
1785430201,16,4,12,0,300
1785430202,16,1,15,0,300
1785430203,16,0,16,0,300
1785430204,16,0,16,0,300
1785430205,16,0,16,0,300
1785430206,16,2,14,0,300
1785430207,16,1,15,0,300
1785430208,16,2,14,0,300
1785430209,16,1,15,0,300
1785430210,16,2,14,0,300
1785430212,16,2,14,0,300
1785430213,16,4,12,0,300
1785430214,16,3,13,0,300
1785430215,16,4,12,0,300
1785430216,16,2,14,0,300
1785430217,16,0,16,0,300
1785430218,16,0,16,0,300
1785430219,16,2,14,0,300
1785430220,16,5,11,0,300
1785430221,16,2,14,0,300
1785430222,16,2,14,0,300
1785430223,16,1,15,0,300
1785430225,16,5,11,0,300
1785430226,16,2,14,0,300
1785430227,16,2,14,0,300
1785430228,16,0,16,0,300
1785430229,16,2,14,0,300
1785430230,16,2,14,0,300
1785430231,16,2,14,0,300
1785430232,16,4,12,0,300
1785430233,16,3,13,0,300
1785430234,16,1,15,0,300
1785430235,16,0,16,0,300
1785430236,16,2,14,0,300
1785430238,16,3,13,0,300
1785430239,16,1,15,0,300
1785430240,16,0,16,0,300
1785430241,16,2,14,0,300
1785430242,16,5,11,0,300
1785430243,16,1,15,0,300
1785430244,16,1,15,0,300
1785430245,16,3,13,0,300
1785430246,16,2,14,0,300
1785430247,16,0,16,0,300
1785430248,16,5,11,0,300
1785430249,16,2,14,0,300
1785430251,16,1,15,0,300
1785430252,16,5,11,0,300
1785430253,16,3,13,0,300
1785430254,16,2,14,0,300
1785430255,16,3,13,0,300
1785430256,16,1,15,0,300
1785430257,16,2,14,0,300
1785430258,16,4,12,0,300
1785430259,16,0,16,0,300
1785430260,16,0,16,0,300
1785430261,16,4,12,0,300
1785430262,16,1,15,0,300
1785430264,16,1,15,0,300
1785430265,16,2,14,0,300
1785430266,16,3,13,0,300
1785430267,16,4,12,0,300
1785430268,16,1,15,0,300
1785430269,16,2,14,0,300
1785430270,16,7,9,0,300
1785430271,16,4,12,0,300
1785430272,16,3,13,0,300
1785430273,16,3,13,0,300
1785430274,16,1,15,0,300
1785430275,16,0,16,0,300
1785430277,16,0,16,0,300
1785430278,16,3,13,0,300
1785430279,16,2,14,0,300
1785430280,16,2,14,0,300
1785430281,16,5,11,0,300
1785430282,16,4,12,0,300
1785430283,16,2,14,0,300
1785430284,16,0,16,0,300
1785430285,16,2,14,0,300
1785430286,16,1,15,0,300
1785430287,16,0,16,0,300
1785430288,16,1,15,0,300
1785430290,16,3,13,0,300
1785430291,16,0,16,0,300
1785430292,16,3,13,0,300
1785430293,16,2,14,0,300
1785430294,16,3,13,0,300
1785430295,16,1,15,0,300
1785430296,16,0,16,0,300
1785430297,16,5,11,0,300
1785430298,16,3,13,0,300
1785430299,16,6,10,0,300
1785430300,16,0,16,0,300
1785430301,16,1,15,0,300
1785430303,16,3,13,0,300
1785430304,16,3,13,0,300
1785430305,16,1,15,0,300
1785430306,16,0,16,0,300
1785430307,16,3,13,0,300
1785430308,16,1,15,0,300
1785430309,16,3,13,0,300
1785430310,16,0,16,0,300
1785430311,16,1,15,0,300
1785430312,16,2,14,0,300
1785430313,16,3,13,0,300
1785430314,16,4,12,0,300
1785430316,16,4,12,0,300
1785430317,16,2,14,0,300
1785430318,16,3,13,0,300
1785430319,16,0,16,0,300
1785430320,16,7,9,0,300
1785430321,16,5,11,0,300
1785430322,16,4,12,0,300
1785430323,16,2,14,0,300
1785430324,16,4,12,0,300
1785430325,16,6,10,0,300
1785430326,16,1,15,0,300
1785430327,16,3,13,0,300
1785430329,16,3,13,0,300
1785430330,16,1,15,0,300
1785430331,16,3,13,0,300
1785430332,16,1,15,0,300
1785430333,16,1,15,0,300
1785430334,16,0,16,0,300
1785430335,16,5,11,0,300
1785430336,16,0,16,0,300
1785430337,16,0,16,0,300
1785430338,16,3,13,0,300
1785430339,16,1,15,0,300
1785430340,16,3,13,0,300
1785430342,16,2,14,0,300
1785430343,16,0,16,0,300
1785430344,16,2,14,0,300
1785430345,16,2,14,0,300
1785430346,16,3,13,0,300
1785430347,16,1,15,0,300
1785430348,16,3,13,0,300
1785430349,16,1,15,0,300
1785430350,16,0,16,0,300
1785430351,16,0,16,0,300
1785430352,16,2,14,0,300
1785430353,16,0,16,0,300
1785430355,16,1,15,0,300
1785430356,16,4,12,0,300
1785430357,16,1,15,0,300
1785430358,16,4,12,0,300
1785430359,16,1,15,0,300
1785430360,16,3,13,0,300
1785430361,16,1,15,0,300
1785430362,16,1,15,0,300
