epoch_ms,cpu_pct,mem_usage_mb,mem_limit_mb,net_in_mb,net_out_mb,block_in_mb,block_out_mb,pids
1785430599103,5.17,799.8,63508.5,0.015,0.006,0,4.74,165
1785430601134,3.06,800,63508.5,0.017,0.006,0,4.78,165
1785430604169,128.51,854.7,63508.5,0.277,1.33,0.016,5.06,175
1785430607177,119.46,895.5,63508.5,1.3,6.57,0.024,6.78,176
1785430610185,72.12,907.8,63508.5,2.45,12.5,0.024,8.74,175
1785430613192,45.01,916.5,63508.5,3.45,17.6,0.024,10.4,173
1785430616200,79.67,955.1,63508.5,4.64,23.7,0.024,12.4,172
1785430619209,49.06,956.5,63508.5,5.74,29.4,0.024,14.3,172
1785430622218,51.31,967.6,63508.5,7,35.9,0.024,16.3,172
1785430625226,20.22,965.9,63508.5,8.01,41.1,0.024,18.7,172
1785430628234,17.64,967,63508.5,9.19,47.2,0.024,20.7,172
1785430631242,109.29,1004,63508.5,10.3,53,0.024,22.9,174
1785430634251,22.77,1004,63508.5,11.5,59.1,0.024,24.8,167
1785430637259,19.87,1005,63508.5,12.6,64.8,0.056,26.9,167
1785430640266,16.59,1006,63508.5,13.7,70.7,0.056,28.9,167
1785430643274,19.45,1007,63508.5,15,77,0.056,30.9,170
1785430646283,16.70,1008,63508.5,16.1,83.1,0.056,32.9,170
1785430649289,23.79,1009,63508.5,17.3,89,0.056,34.9,167
1785430652297,18.04,1009,63508.5,18.5,95.1,0.056,36.9,161
1785430655306,16.95,1010,63508.5,19.6,101,0.056,38.8,164
1785430658314,16.27,1011,63508.5,20.7,107,0.056,40.8,161
1785430661322,18.32,1012,63508.5,21.9,113,0.056,42.8,162
1785430664328,14.42,1012,63508.5,23.1,119,0.056,44.8,163
1785430667336,20.25,1013,63508.5,24.3,125,0.056,47.9,160
1785430670343,16.91,1013,63508.5,25.4,131,0.056,49.8,160
1785430673351,14.72,1014,63508.5,26.6,137,0.056,51.7,160
1785430676358,14.60,1015,63508.5,27.7,143,0.056,53.6,162
1785430679366,15.82,1016,63508.5,28.9,149,0.056,55.6,160
1785430682373,26.65,1017,63508.5,30,155,0.056,58,160
1785430685380,19.20,1018,63508.5,31.2,161,0.056,60.1,163
1785430688388,14.20,1018,63508.5,32.4,167,0.056,62.2,162
1785430691395,17.53,1019,63508.5,33.6,173,0.056,64.3,161
1785430694402,13.87,1020,63508.5,34.7,179,0.056,66.2,160
1785430697411,17.92,1020,63508.5,35.8,185,0.056,68.6,160
1785430700418,29.14,1021,63508.5,37,191,0.056,70.1,162
1785430703426,14.26,1022,63508.5,38.1,197,0.056,72.5,161
1785430706434,26.93,1023,63508.5,39.4,203,0.056,74.5,161
1785430709442,14.10,1024.0,63508.5,40.5,209,0.056,76.9,160
1785430712448,22.62,1026.0,63508.5,41.7,215,0.056,78.7,163
1785430715456,27.57,1027.1,63508.5,42.9,221,0.056,80.7,163
1785430718463,11.74,1028.1,63508.5,44,227,0.056,83.3,162
1785430721470,14.49,1029.1,63508.5,45.1,233,0.056,85,161
1785430724477,14.98,1029.1,63508.5,46.4,240,0.056,87.4,160
1785430727485,20.04,1030.1,63508.5,47.5,246,0.056,89.9,159
1785430730493,24.05,1031.2,63508.5,48.7,252,0.056,91.6,159
1785430733500,19.98,1032.2,63508.5,49.8,257,0.056,93.8,160
1785430736509,19.98,1033.2,63508.5,50.8,263,0.056,95.6,159
1785430739516,15.78,1033.2,63508.5,52,269,0.056,97.8,159
1785430742523,13.31,1034.2,63508.5,53.1,275,0.056,99.8,159
1785430745531,23.38,1035.3,63508.5,54.3,281,0.056,102,162
1785430748540,16.51,1036.3,63508.5,55.4,287,0.056,104,160
1785430751548,20.12,1037.3,63508.5,56.6,293,0.056,106,159
1785430754556,12.98,1037.3,63508.5,57.7,299,0.056,108,159
1785430757563,15.82,1038.3,63508.5,58.9,305,0.056,110,159
1785430760570,29.73,1040.4,63508.5,60,311,0.056,113,160
1785430763579,15.48,1040.4,63508.5,61.2,317,0.056,115,160
1785430766587,28.68,1041.4,63508.5,62.5,324,0.056,117,160
1785430769594,15.72,1041.4,63508.5,63.6,330,0.056,119,162
1785430772601,13.67,1042.4,63508.5,64.7,335,0.056,121,160
1785430775608,18.99,1043.5,63508.5,65.9,342,0.056,123,160
1785430778615,18.06,1044.5,63508.5,67.1,348,0.056,125,163
1785430781623,20.86,1045.5,63508.5,68.3,354,0.056,127,160
1785430784631,18.68,1045.5,63508.5,69.5,360,0.056,129,160
1785430787639,13.73,1046.5,63508.5,70.6,366,0.056,131,160
1785430790646,20.91,1048.6,63508.5,71.7,372,0.056,133,162
1785430793652,15.01,1047.6,63508.5,72.9,378,0.056,135,160
1785430796660,14.68,1048.6,63508.5,74.1,384,0.056,138,160
1785430799668,16.04,1049.6,63508.5,75.2,390,0.056,140,160
1785430802676,18.47,1050.6,63508.5,76.4,397,0.056,142,162
1785430805684,16.82,1051.6,63508.5,77.6,403,0.056,144,161
1785430808692,13.39,1051.6,63508.5,78.8,409,0.056,146,160
1785430811699,17.77,1052.7,63508.5,79.9,415,0.056,149,161
1785430814707,14.37,1053.7,63508.5,81.1,421,0.056,151,160
1785430817715,19.24,1053.7,63508.5,82.3,427,0.056,153,160
1785430820722,15.22,1054.7,63508.5,83.4,433,0.056,155,160
1785430823730,15.88,1055.7,63508.5,84.6,440,0.056,157,160
1785430826738,14.99,1056.8,63508.5,85.8,446,0.056,159,160
1785430829746,14.88,1056.8,63508.5,86.9,451,0.056,161,160
1785430832754,15.99,1057.8,63508.5,88.1,458,0.056,163,160
1785430835762,15.93,1058.8,63508.5,89.2,464,0.056,165,161
1785430838770,13.04,1058.8,63508.5,90.5,470,0.056,168,160
1785430841778,16.33,1059.8,63508.5,91.6,476,0.056,170,161
1785430844785,16.28,1060.9,63508.5,92.8,482,0.056,172,160
1785430847792,15.25,1061.9,63508.5,94,489,0.056,174,160
1785430850800,14.86,1062.9,63508.5,95.1,494,0.056,176,160
1785430853808,16.39,1063.9,63508.5,96.3,501,0.056,178,160
1785430856816,19.64,1065.0,63508.5,97.5,507,0.056,180,160
1785430859824,12.31,1066.0,63508.5,98.6,513,0.056,182,161
1785430862831,17.25,1067.0,63508.5,100,520,0.056,185,160
1785430865838,18.10,1068.0,63508.5,101,525,0.056,187,160
1785430868846,19.90,1069.1,63508.5,102,532,0.056,189,160
1785430871853,20.24,1070.1,63508.5,103,538,0.056,191,160
1785430874860,12.61,1071.1,63508.5,105,544,0.056,193,160
1785430877867,13.52,1072.1,63508.5,106,550,0.056,196,160
1785430880873,14.53,1073.2,63508.5,107,556,0.056,198,160
1785430883881,13.79,1073.2,63508.5,108,562,0.056,200,160
1785430886888,21.45,1075.2,63508.5,109,569,0.056,202,161
1785430889896,15.66,1075.2,63508.5,110,575,0.056,204,160
1785430892904,17.99,1076.2,63508.5,112,580,0.056,206,161
1785430895912,22.18,1077.2,63508.5,113,587,0.056,208,160
