epoch_s,total_backends,active,idle,idle_in_txn,max_connections
1785430597,16,0,16,0,300
1785430598,16,1,15,0,300
1785430599,16,0,16,0,300
1785430600,17,0,17,0,300
1785430601,19,1,18,0,300
1785430602,19,0,19,0,300
1785430603,20,0,20,0,300
1785430604,21,1,20,0,300
1785430605,23,3,20,0,300
1785430606,23,5,18,0,300
1785430608,23,2,21,0,300
1785430609,23,4,19,0,300
1785430610,24,3,21,0,300
1785430611,24,4,20,0,300
1785430612,24,0,24,0,300
1785430613,24,3,21,0,300
1785430614,25,1,24,0,300
1785430615,25,5,20,0,300
1785430616,25,2,23,0,300
1785430617,25,0,25,0,300
1785430618,25,0,25,0,300
1785430620,25,2,23,0,300
1785430621,25,0,25,0,300
1785430622,25,2,23,0,300
1785430623,25,6,19,0,300
1785430624,25,0,25,0,300
1785430625,25,2,23,0,300
1785430626,25,3,22,0,300
1785430627,25,3,22,0,300
1785430628,25,0,25,0,300
1785430629,25,2,23,0,300
1785430630,25,2,23,0,300
1785430631,25,2,23,0,300
1785430633,25,3,22,0,300
1785430634,25,2,23,0,300
1785430635,25,5,20,0,300
1785430636,25,1,24,0,300
1785430637,25,2,23,0,300
1785430638,25,2,23,0,300
1785430639,25,3,22,0,300
1785430640,25,1,24,0,300
1785430641,25,1,24,0,300
1785430642,25,3,22,0,300
1785430643,25,2,23,0,300
1785430644,25,2,23,0,300
1785430646,25,4,21,0,300
1785430647,25,0,25,0,300
1785430648,25,1,24,0,300
1785430649,25,4,21,0,300
1785430650,25,2,23,0,300
1785430651,25,2,23,0,300
1785430652,25,0,25,0,300
1785430653,25,1,24,0,300
1785430654,25,5,20,0,300
1785430655,25,4,21,0,300
1785430656,25,2,23,0,300
1785430657,25,1,24,0,300
1785430659,25,3,22,0,300
1785430660,25,3,22,0,300
1785430661,25,2,23,0,300
1785430662,25,2,23,0,300
1785430663,25,5,20,0,300
1785430664,25,0,25,0,300
1785430665,25,4,21,0,300
1785430666,25,0,25,0,300
1785430667,25,2,23,0,300
1785430668,25,2,23,0,300
1785430669,25,2,23,0,300
1785430670,25,2,23,0,300
1785430672,25,1,24,0,300
1785430673,25,3,22,0,300
1785430674,25,3,22,0,300
1785430675,25,0,25,0,300
1785430676,25,1,24,0,300
1785430677,25,1,24,0,300
1785430678,25,3,22,0,300
1785430679,25,3,22,0,300
1785430680,25,3,22,0,300
1785430681,25,2,23,0,300
1785430682,25,1,24,0,300
1785430683,25,0,25,0,300
1785430685,25,4,21,0,300
1785430686,25,5,20,0,300
1785430687,25,1,24,0,300
1785430688,25,0,25,0,300
1785430689,25,1,24,0,300
1785430690,25,1,24,0,300
1785430691,25,4,21,0,300
1785430692,25,3,22,0,300
1785430693,25,2,23,0,300
1785430694,25,2,23,0,300
1785430695,25,1,24,0,300
1785430697,25,3,22,0,300
1785430698,25,3,22,0,300
1785430699,25,2,23,0,300
1785430700,25,6,19,0,300
1785430701,25,0,25,0,300
1785430702,25,3,22,0,300
1785430703,25,0,25,0,300
1785430704,25,0,25,0,300
1785430705,25,1,24,0,300
1785430706,25,5,20,0,300
1785430707,25,0,25,0,300
1785430708,25,2,23,0,300
1785430709,25,1,24,0,300
1785430711,25,0,25,0,300
1785430712,26,3,23,0,300
1785430713,26,0,26,0,300
1785430714,26,0,26,0,300
1785430715,26,0,26,0,300
1785430716,26,2,24,0,300
1785430717,26,3,23,0,300
1785430718,26,1,25,0,300
1785430719,26,0,26,0,300
1785430720,26,2,24,0,300
1785430721,26,1,25,0,300
1785430722,26,0,26,0,300
1785430724,26,2,24,0,300
1785430725,26,4,22,0,300
1785430726,26,2,24,0,300
1785430727,26,2,24,0,300
1785430728,26,2,24,0,300
1785430729,26,0,26,0,300
1785430730,26,3,23,0,300
1785430731,26,3,23,0,300
1785430732,26,2,24,0,300
1785430733,26,1,25,0,300
1785430734,26,0,26,0,300
1785430735,26,3,23,0,300
1785430737,26,0,26,0,300
1785430738,26,1,25,0,300
