epoch_ms,cpu_pct,mem_usage_mb,mem_limit_mb,net_in_mb,net_out_mb,block_in_mb,block_out_mb,pids
1785438918405,1.13,1391.6,63508.5,18.9,18.6,3.44,686,126
1785438921432,4.89,1391.6,63508.5,19,18.6,3.44,687,128
1785438924443,14.05,1391.6,63508.5,19.2,18.8,3.44,690,127
1785438927450,8.24,1391.6,63508.5,19.3,18.9,3.44,691,127
1785438930458,15.58,1392.6,63508.5,19.5,19.1,3.44,694,128
1785438933467,6.99,1392.6,63508.5,19.6,19.3,3.44,696,128
1785438936476,7.65,1392.6,63508.5,19.8,19.4,3.44,698,127
1785438939485,8.00,1392.6,63508.5,19.9,19.6,3.44,700,127
1785438942497,7.22,1392.6,63508.5,20.1,19.7,3.44,702,127
1785438945501,7.21,1392.6,63508.5,20.2,19.9,3.44,704,127
1785438948509,6.66,1392.6,63508.5,20.4,20,3.44,706,127
1785438951516,6.69,1392.6,63508.5,20.6,20.2,3.44,709,127
1785438954524,7.89,1392.6,63508.5,20.7,20.3,3.44,710,127
1785438957533,8.11,1392.6,63508.5,20.9,20.5,3.44,713,127
1785438960542,8.55,1392.6,63508.5,21,20.7,3.44,715,127
1785438963550,6.33,1392.6,63508.5,21.2,20.8,3.44,717,127
1785438966557,6.02,1392.6,63508.5,21.4,21,3.44,719,127
1785438969567,5.66,1392.6,63508.5,21.5,21.1,3.44,721,127
1785438972576,5.69,1392.6,63508.5,21.7,21.3,3.44,723,127
1785438975583,8.74,1392.6,63508.5,21.9,21.4,3.44,725,127
1785438978591,6.28,1392.6,63508.5,22,21.6,3.44,727,127
1785438981598,6.14,1393.7,63508.5,22.2,21.8,3.44,730,128
1785438984606,8.16,1393.7,63508.5,22.3,21.9,3.44,732,127
1785438987614,5.67,1393.7,63508.5,22.5,22.1,3.44,734,127
1785438990621,5.58,1393.7,63508.5,22.6,22.2,3.44,736,127
1785438993627,6.04,1393.7,63508.5,22.8,22.4,3.44,738,127
1785438996636,5.67,1393.7,63508.5,23,22.6,3.44,740,127
1785438999643,5.77,1393.7,63508.5,23.1,22.7,3.44,743,127
1785439002651,5.48,1393.7,63508.5,23.3,22.9,3.44,745,127
1785439005659,5.75,1393.7,63508.5,23.5,23,3.44,747,127
1785439008667,5.96,1393.7,63508.5,23.6,23.2,3.44,749,127
1785439011676,5.44,1393.7,63508.5,23.8,23.3,3.44,751,127
1785439014684,8.32,1393.7,63508.5,23.9,23.5,3.44,753,127
1785439017691,5.61,1393.7,63508.5,24.1,23.7,3.44,755,127
1785439020699,5.76,1394.7,63508.5,24.3,23.8,3.44,757,127
1785439023707,5.66,1393.7,63508.5,24.4,24,3.44,759,127
1785439026715,5.83,1393.7,63508.5,24.6,24.1,3.44,762,127
1785439029723,5.71,1394.7,63508.5,24.8,24.3,3.44,764,127
1785439032732,6.02,1394.7,63508.5,24.9,24.5,3.44,766,127
1785439035739,5.68,1394.7,63508.5,25.1,24.6,3.44,768,127
1785439038748,5.84,1394.7,63508.5,25.2,24.8,3.44,770,127
1785439041755,5.76,1394.7,63508.5,25.4,24.9,3.44,772,125
1785439044764,8.26,1394.7,63508.5,25.5,25.1,3.44,774,125
1785439047772,5.45,1394.7,63508.5,25.7,25.2,3.44,776,125
1785439050780,5.28,1394.7,63508.5,25.9,25.4,3.44,778,125
1785439053788,5.81,1394.7,63508.5,26,25.5,3.44,781,125
1785439056796,6.15,1394.7,63508.5,26.2,25.7,3.44,783,125
1785439059803,5.99,1394.7,63508.5,26.3,25.8,3.44,785,125
1785439062811,5.28,1394.7,63508.5,26.5,26,3.44,787,125
1785439065819,5.73,1394.7,63508.5,26.6,26.2,3.44,789,125
1785439068827,5.83,1394.7,63508.5,26.8,26.3,3.44,791,125
1785439071834,5.35,1403.9,63508.5,27,26.5,3.44,793,125
1785439074841,7.72,1403.9,63508.5,27.1,26.6,3.44,795,125
1785439077849,5.51,1403.9,63508.5,27.3,26.8,3.44,797,125
1785439080856,5.43,1403.9,63508.5,27.4,26.9,3.44,799,125
1785439083865,6.24,1403.9,63508.5,27.6,27.1,3.44,802,125
1785439086872,6.45,1403.9,63508.5,27.8,27.3,3.44,804,125
1785439089880,5.40,1403.9,63508.5,27.9,27.4,3.44,806,125
1785439092888,5.88,1403.9,63508.5,28.1,27.6,3.44,808,125
1785439095896,6.84,1404.9,63508.5,28.2,27.7,3.44,810,125
1785439098904,9.03,1403.9,63508.5,28.4,27.9,3.44,812,125
1785439101912,5.36,1403.9,63508.5,28.6,28,3.44,815,125
1785439104920,5.57,1403.9,63508.5,28.7,28.2,3.44,817,125
1785439107928,5.31,1404.9,63508.5,28.9,28.4,3.44,819,125
1785439110936,10.73,1404.9,63508.5,29,28.5,3.44,821,128
1785439113943,5.66,1404.9,63508.5,29.2,28.7,3.44,823,128
1785439116951,6.12,1404.9,63508.5,29.4,28.8,3.44,825,126
1785439119958,5.77,1404.9,63508.5,29.5,29,3.44,827,126
1785439122965,5.26,1404.9,63508.5,29.7,29.2,3.44,830,125
1785439125973,7.77,1404.9,63508.5,29.8,29.3,3.44,832,125
1785439128981,5.76,1404.9,63508.5,30,29.5,3.44,834,125
1785439131988,5.39,1404.9,63508.5,30.2,29.6,3.44,836,125
1785439134997,5.96,1404.9,63508.5,30.3,29.8,3.44,838,125
1785439138006,5.58,1404.9,63508.5,30.5,29.9,3.44,840,125
1785439141014,5.50,1404.9,63508.5,30.6,30.1,3.44,842,125
1785439144022,5.97,1404.9,63508.5,30.8,30.3,3.44,844,125
1785439147028,5.49,1404.9,63508.5,31,30.4,3.44,847,125
1785439150038,5.58,1404.9,63508.5,31.1,30.6,3.44,849,125
1785439153045,5.43,1404.9,63508.5,31.3,30.7,3.44,851,125
1785439156052,7.59,1406.0,63508.5,31.5,30.9,3.44,853,125
1785439159061,5.74,1406.0,63508.5,31.6,31.1,3.44,855,125
1785439162069,5.12,1406.0,63508.5,31.8,31.2,3.44,857,125
1785439165077,5.59,1406.0,63508.5,31.9,31.4,3.44,860,125
1785439168084,5.10,1406.0,63508.5,32.1,31.5,3.44,862,125
1785439171092,5.38,1406.0,63508.5,32.3,31.7,3.44,864,123
1785439174099,5.48,1406.0,63508.5,32.4,31.8,3.44,866,123
1785439177108,5.41,1406.0,63508.5,32.6,32,3.44,868,123
1785439180116,5.68,1406.0,63508.5,32.7,32.2,3.44,870,123
1785439183124,5.68,1406.0,63508.5,32.9,32.3,3.44,873,123
1785439186132,7.82,1406.0,63508.5,33.1,32.5,3.44,875,123
1785439189140,8.65,1406.0,63508.5,33.2,32.6,3.44,877,123
1785439192149,5.14,1406.0,63508.5,33.4,32.8,3.44,879,124
1785439195155,5.29,1406.0,63508.5,33.5,33,3.44,881,124
1785439198164,5.16,1406.0,63508.5,33.7,33.1,3.44,883,124
1785439201171,5.60,1406.0,63508.5,33.9,33.3,3.44,885,123
1785439204179,5.33,1406.0,63508.5,34,33.4,3.44,888,123
1785439207187,5.67,1406.0,63508.5,34.2,33.6,3.44,890,123
1785439210195,6.01,1406.0,63508.5,34.4,33.7,3.44,892,123
1785439213203,5.60,1406.0,63508.5,34.5,33.9,3.44,894,123
1785439216210,8.00,1406.0,63508.5,34.7,34.1,3.44,896,123
1785439219218,5.91,1406.0,63508.5,34.8,34.2,3.44,898,123
1785439222226,5.21,1406.0,63508.5,35,34.4,3.44,900,123
1785439225232,5.36,1406.0,63508.5,35.1,34.5,3.44,903,123
1785439228240,4.80,1406.0,63508.5,35.3,34.7,3.44,905,123
1785439231247,4.91,1406.0,63508.5,35.4,34.8,3.44,907,123
1785439234255,5.37,1406.0,63508.5,35.6,35,3.44,909,123
1785439237263,5.29,1406.0,63508.5,35.8,35.1,3.44,911,123
1785439240270,5.31,1406.0,63508.5,35.9,35.3,3.44,913,123
1785439243277,5.35,1406.0,63508.5,36.1,35.5,3.44,915,123
1785439246285,7.61,1406.0,63508.5,36.2,35.6,3.44,917,123
1785439249294,6.15,1406.0,63508.5,36.4,35.7,3.44,919,123
1785439252301,0.91,1406.0,63508.5,36.4,35.8,3.44,920,121
1785439255309,0.14,1406.0,63508.5,36.4,35.8,3.44,920,121
