epoch_ms,cpu_pct,mem_usage_mb,mem_limit_mb,net_in_mb,net_out_mb,block_in_mb,block_out_mb,pids
1785438918404,6.20,123.5,63508.5,66,59.3,0,214,38
1785438920430,10.23,131,63508.5,66.1,59.4,0,214,41
1785438923437,22.46,141.8,63508.5,66.4,59.8,0,216,45
1785438926446,18.60,142.6,63508.5,66.9,60.3,0,216,45
1785438929454,13.23,145.1,63508.5,67.5,60.7,0,218,46
1785438932463,22.86,147.2,63508.5,68,61.2,0,218,47
1785438935471,17.68,148.1,63508.5,68.5,61.7,0,219,47
1785438938482,18.34,148.1,63508.5,69.1,62.2,0,219,47
1785438941491,15.84,147.8,63508.5,69.6,62.6,0,221,47
1785438944498,17.91,149.6,63508.5,70.1,63.1,0,222,47
1785438947504,21.61,149.7,63508.5,70.7,63.6,0,222,47
1785438950512,17.15,150.1,63508.5,71.2,64.1,0,224,47
1785438953521,15.68,149.6,63508.5,71.8,64.6,0,225,47
1785438956530,15.78,150.2,63508.5,72.3,65.1,0,226,47
1785438959537,18.84,150.2,63508.5,72.9,65.6,0,226,47
1785438962547,20.86,149.9,63508.5,73.4,66.1,0,227,47
1785438965554,17.34,150.1,63508.5,74,66.6,0,229,47
1785438968563,13.90,151.4,63508.5,74.6,67.1,0,229,53
1785438971572,17.14,150.2,63508.5,75.1,67.6,0,230,47
1785438974580,15.34,150.9,63508.5,75.7,68.1,0,230,47
1785438977587,20.74,150.2,63508.5,76.2,68.6,0,232,47
1785438980595,17.39,150.5,63508.5,76.8,69.1,0,232,47
1785438983602,25.97,155.2,63508.5,77.4,69.6,0,233,49
1785438986609,14.73,154.6,63508.5,77.9,70.1,0,235,48
1785438989617,15.83,155.2,63508.5,78.5,70.6,0,235,48
1785438992626,20.54,155,63508.5,79,71,0,237,48
1785438995632,13.11,154.9,63508.5,79.6,71.5,0,237,48
1785438998640,19.22,154.7,63508.5,80.1,72,0,240,48
1785439001648,15.34,154.8,63508.5,80.7,72.5,0,242,48
1785439004655,14.83,155.3,63508.5,81.2,73,0,242,48
1785439007663,14.52,155.5,63508.5,81.8,73.5,0,245,49
1785439010672,17.47,154.8,63508.5,82.4,74,0,245,48
1785439013681,20.11,154.9,63508.5,82.9,74.5,0,248,48
1785439016687,15.94,154.9,63508.5,83.5,75,0,251,48
1785439019695,15.53,154.9,63508.5,84,75.5,0,251,48
1785439022703,16.97,155.4,63508.5,84.6,76,0,253,48
1785439025712,15.00,155.4,63508.5,85.1,76.5,0,254,48
1785439028719,20.96,155.2,63508.5,85.7,77,0,256,48
1785439031727,15.84,155,63508.5,86.3,77.5,0,257,48
1785439034735,10.61,155,63508.5,86.8,78,0,259,48
1785439037746,14.88,155,63508.5,87.4,78.5,0,261,48
1785439040752,16.14,155.3,63508.5,87.9,79,0,262,48
1785439043760,34.18,155.7,63508.5,88.5,79.5,0,264,48
1785439046768,14.70,155.2,63508.5,89,79.9,0,265,48
1785439049775,15.15,155.2,63508.5,89.6,80.4,0,267,48
1785439052784,15.42,155.7,63508.5,90.1,80.9,0,268,48
1785439055791,14.60,155.4,63508.5,90.6,81.4,0,269,48
1785439058799,19.82,155.5,63508.5,91.2,81.9,0,271,48
1785439061809,11.52,155.7,63508.5,91.8,82.3,0,272,48
1785439064815,14.94,155.5,63508.5,92.3,82.8,0,274,48
1785439067823,16.75,155.5,63508.5,92.8,83.3,0,277,48
1785439070830,16.17,155.8,63508.5,93.4,83.8,0,277,48
1785439073837,22.07,155.8,63508.5,94,84.3,0,279,48
1785439076845,15.99,155.6,63508.5,94.5,84.8,0,281,48
1785439079852,16.15,155.6,63508.5,95.1,85.3,0,282,48
1785439082860,14.46,155.9,63508.5,95.6,85.8,0,284,48
1785439085868,14.81,155.7,63508.5,96.2,86.3,0,286,48
1785439088875,17.72,155.9,63508.5,96.7,86.8,0,287,48
1785439091883,16.97,155.7,63508.5,97.3,87.3,0,289,48
1785439094892,20.75,156.2,63508.5,97.9,87.8,0,290,48
1785439097900,14.56,155.9,63508.5,98.4,88.2,0,292,48
1785439100908,14.76,156.3,63508.5,98.9,88.7,0,292,48
1785439103917,31.16,155.8,63508.5,99.5,89.2,0,294,48
1785439106924,15.76,155.8,63508.5,100,89.7,0,297,48
1785439109931,20.44,156.1,63508.5,101,90.2,0,297,48
1785439112940,15.06,155.9,63508.5,101,90.7,0,299,48
1785439115948,14.97,155.9,63508.5,102,91.2,0,300,48
1785439118955,16.39,155.7,63508.5,102,91.7,0,302,48
1785439121962,16.05,156,63508.5,103,92.2,0,303,48
1785439124970,20.22,155.8,63508.5,103,92.7,0,303,48
1785439127978,13.85,157.4,63508.5,104,93.2,0,305,49
1785439130985,16.11,155.8,63508.5,105,93.7,0,305,48
1785439133993,15.98,155.8,63508.5,105,94.2,0,306,48
1785439137002,15.63,155.9,63508.5,106,94.7,0,308,48
1785439140010,19.92,156.1,63508.5,106,95.2,0,308,48
1785439143017,15.57,155.9,63508.5,107,95.7,0,309,48
1785439146025,14.58,155.9,63508.5,107,96.2,0,309,48
1785439149034,16.01,155.9,63508.5,108,96.7,0,310,48
1785439152041,15.39,156.2,63508.5,108,97.2,0,310,48
1785439155051,16.34,155.9,63508.5,109,97.7,0,312,48
1785439158057,13.78,156,63508.5,110,98.2,0,314,48
1785439161065,16.26,156,63508.5,110,98.7,0,314,48
1785439164074,37.34,156.4,63508.5,111,99.2,0,315,48
1785439167082,16.89,156,63508.5,111,99.7,0,315,48
1785439170090,21.50,156,63508.5,112,100,0,316,48
1785439173095,15.31,156.3,63508.5,112,101,0,316,48
1785439176103,15.58,156.1,63508.5,113,101,0,317,48
1785439179112,15.90,156.1,63508.5,113,102,0,319,48
1785439182120,10.69,156.3,63508.5,114,102,0,319,48
1785439185128,21.01,156.4,63508.5,115,103,0,320,48
1785439188136,15.18,156.3,63508.5,115,103,0,320,48
1785439191146,18.48,156.1,63508.5,116,104,0,322,48
1785439194152,15.81,156.2,63508.5,116,104,0,323,48
1785439197160,13.92,156.2,63508.5,117,105,0,323,48
1785439200167,17.32,156.2,63508.5,117,105,0,324,48
1785439203175,13.15,156.4,63508.5,118,106,0,324,48
1785439206184,19.20,156.2,63508.5,118,106,0,326,48
1785439209193,13.92,156.5,63508.5,119,107,0,326,48
1785439212199,15.52,156.2,63508.5,120,107,0,327,48
1785439215207,15.58,156.5,63508.5,120,108,0,329,48
1785439218214,14.69,156.5,63508.5,121,108,0,329,48
1785439221222,18.12,158.2,63508.5,121,109,0,330,54
1785439224229,43.08,156.2,63508.5,122,109,0,330,48
1785439227236,15.48,156.3,63508.5,122,110,0,331,48
1785439230244,14.44,156.5,63508.5,123,110,0,331,48
1785439233251,16.21,156.6,63508.5,123,110,0,333,48
1785439236260,18.99,156.4,63508.5,124,111,0,334,48
1785439239268,15.34,156.4,63508.5,124,111,0,334,48
1785439242275,14.56,156.4,63508.5,125,112,0,336,48
1785439245283,14.99,156.4,63508.5,126,112,0,336,48
1785439248291,12.90,156.4,63508.5,126,113,0,337,48
1785439251298,16.92,156.4,63508.5,126,113,0,337,48
1785439254307,6.73,156.4,63508.5,127,113,0,338,48
