epoch_ms,component,cpu_pct,mem_mb
1787386426000,exeris-e2e-saga-postgres,4.42,140.10
1787386426000,exeris-e2e-saga-payment-gateway,0.01,14.79
1787386426000,target-jvm,3.33,
1787386431000,exeris-e2e-saga-postgres,4.49,140.20
1787386431000,exeris-e2e-saga-payment-gateway,0.01,14.79
1787386431000,target-jvm,3.33,
1787386436000,exeris-e2e-saga-postgres,0.02,140.30
1787386436000,exeris-e2e-saga-payment-gateway,0.01,14.79
1787386436000,target-jvm,3.33,
1787386441000,exeris-e2e-saga-postgres,0.01,140.10
1787386441000,exeris-e2e-saga-payment-gateway,0.01,14.79
1787386441000,target-jvm,3.67,
1787386446000,exeris-e2e-saga-postgres,0.01,140.10
1787386446000,exeris-e2e-saga-payment-gateway,0.01,14.79
1787386446000,target-jvm,3.67,
1787386451000,exeris-e2e-saga-postgres,4.38,140.20
1787386451000,exeris-e2e-saga-payment-gateway,0.01,14.79
1787386451000,target-jvm,3.67,
1787386456000,exeris-e2e-saga-postgres,0.01,140.30
1787386456000,exeris-e2e-saga-payment-gateway,0.01,14.53
1787386456000,target-jvm,3.00,
1787386461000,exeris-e2e-saga-postgres,4.38,140.70
1787386461000,exeris-e2e-saga-payment-gateway,0.01,14.53
1787386461000,target-jvm,3.67,
1787386466000,exeris-e2e-saga-postgres,3.41,140.30
1787386466000,exeris-e2e-saga-payment-gateway,0.01,14.52
1787386466000,target-jvm,3.00,
1787386471000,exeris-e2e-saga-postgres,0.00,140.10
1787386471000,exeris-e2e-saga-payment-gateway,0.01,14.53
1787386471000,target-jvm,3.33,
1787386476000,exeris-e2e-saga-postgres,4.41,140.40
1787386476000,exeris-e2e-saga-payment-gateway,0.01,14.53
1787386476000,target-jvm,3.67,
1787386481000,exeris-e2e-saga-postgres,0.00,140.30
1787386481000,exeris-e2e-saga-payment-gateway,0.01,14.53
1787386481000,target-jvm,3.33,
1787386486000,exeris-e2e-saga-postgres,4.34,140.10
1787386486000,exeris-e2e-saga-payment-gateway,0.01,14.53
1787386486000,target-jvm,3.33,
1787386491000,exeris-e2e-saga-postgres,4.54,140.20
1787386491000,exeris-e2e-saga-payment-gateway,0.01,14.53
1787386491000,target-jvm,3.67,
1787386496000,exeris-e2e-saga-postgres,0.03,140.10
1787386496000,exeris-e2e-saga-payment-gateway,0.01,14.53
1787386496000,target-jvm,3.00,
1787386501000,exeris-e2e-saga-postgres,6.49,141.80
1787386501000,exeris-e2e-saga-payment-gateway,0.01,14.52
1787386501000,target-jvm,4.00,
1787386506000,exeris-e2e-saga-postgres,0.02,140.30
1787386506000,exeris-e2e-saga-payment-gateway,0.01,14.53
1787386506000,target-jvm,3.67,
1787386511000,exeris-e2e-saga-postgres,4.38,140.20
1787386511000,exeris-e2e-saga-payment-gateway,0.00,14.53
1787386511000,target-jvm,3.33,
1787386516000,exeris-e2e-saga-postgres,0.02,140.10
1787386516000,exeris-e2e-saga-payment-gateway,0.01,14.52
1787386516000,target-jvm,3.33,
1787386521000,exeris-e2e-saga-postgres,4.40,140.10
1787386521000,exeris-e2e-saga-payment-gateway,0.01,14.52
1787386521000,target-jvm,3.00,
1787386526000,exeris-e2e-saga-postgres,3.38,140.10
1787386526000,exeris-e2e-saga-payment-gateway,0.01,14.53
