epoch_ms,component,cpu_pct,mem_mb
1787387241000,exeris-e2e-saga-lra-coordinator,163.40,299.10
1787387241000,exeris-e2e-saga-postgres,4.73,118.90
1787387241000,exeris-e2e-saga-payment-gateway,0.01,14.83
1787387241000,target-jvm,17.33,
1787387246000,exeris-e2e-saga-lra-coordinator,169.54,301.80
1787387246000,exeris-e2e-saga-postgres,0.29,118.50
1787387246000,exeris-e2e-saga-payment-gateway,0.01,14.83
1787387246000,target-jvm,57.67,
1787387251000,exeris-e2e-saga-lra-coordinator,107.18,321.50
1787387251000,exeris-e2e-saga-postgres,4.77,118.80
1787387251000,exeris-e2e-saga-payment-gateway,0.01,14.83
1787387251000,target-jvm,50.67,
1787387256000,exeris-e2e-saga-lra-coordinator,103.70,343.90
1787387256000,exeris-e2e-saga-postgres,0.20,118.50
1787387256000,exeris-e2e-saga-payment-gateway,0.01,14.83
1787387256000,target-jvm,50.67,
1787387261000,exeris-e2e-saga-lra-coordinator,105.93,364.70
1787387261000,exeris-e2e-saga-postgres,0.24,118.80
1787387261000,exeris-e2e-saga-payment-gateway,0.01,14.83
1787387261000,target-jvm,48.00,
1787387266000,exeris-e2e-saga-lra-coordinator,106.88,378.80
1787387266000,exeris-e2e-saga-postgres,4.70,118.50
1787387266000,exeris-e2e-saga-payment-gateway,0.01,14.83
1787387266000,target-jvm,49.33,
1787387271000,exeris-e2e-saga-lra-coordinator,1.05,391.00
1787387271000,exeris-e2e-saga-postgres,0.00,118.50
1787387271000,exeris-e2e-saga-payment-gateway,0.01,14.55
1787387271000,target-jvm,19.67,
1787387276000,exeris-e2e-saga-lra-coordinator,0.49,390.00
1787387276000,exeris-e2e-saga-postgres,4.34,118.50
1787387276000,exeris-e2e-saga-payment-gateway,0.01,14.68
1787387276000,target-jvm,6.33,
1787387282000,exeris-e2e-saga-lra-coordinator,0.42,389.30
1787387282000,exeris-e2e-saga-postgres,0.00,118.50
1787387282000,exeris-e2e-saga-payment-gateway,0.01,14.55
1787387282000,target-jvm,2.67,
1787387287000,exeris-e2e-saga-lra-coordinator,0.48,388.30
1787387287000,exeris-e2e-saga-postgres,4.02,121.80
1787387287000,exeris-e2e-saga-payment-gateway,0.01,14.55
1787387287000,target-jvm,2.33,
1787387292000,exeris-e2e-saga-lra-coordinator,0.43,387.80
1787387292000,exeris-e2e-saga-postgres,4.34,118.60
1787387292000,exeris-e2e-saga-payment-gateway,0.01,14.55
1787387292000,target-jvm,2.67,
1787387297000,exeris-e2e-saga-lra-coordinator,0.25,387.60
1787387297000,exeris-e2e-saga-postgres,0.00,118.50
1787387297000,exeris-e2e-saga-payment-gateway,0.01,14.55
1787387297000,target-jvm,5.00,
1787387302000,exeris-e2e-saga-lra-coordinator,0.09,387.40
1787387302000,exeris-e2e-saga-postgres,4.38,118.50
1787387302000,exeris-e2e-saga-payment-gateway,0.01,14.55
1787387302000,target-jvm,0.67,
1787387307000,exeris-e2e-saga-lra-coordinator,0.08,387.30
1787387307000,exeris-e2e-saga-postgres,0.01,118.60
1787387307000,exeris-e2e-saga-payment-gateway,4.78,14.55
1787387307000,target-jvm,1.33,
1787387312000,exeris-e2e-saga-lra-coordinator,0.07,387.10
1787387312000,exeris-e2e-saga-postgres,4.40,118.70
1787387312000,exeris-e2e-saga-payment-gateway,7.89,14.84
1787387312000,target-jvm,0.67,
1787387317000,exeris-e2e-saga-lra-coordinator,0.18,386.70
1787387317000,exeris-e2e-saga-postgres,0.00,118.50
1787387317000,exeris-e2e-saga-payment-gateway,7.84,14.55
1787387317000,target-jvm,1.00,
1787387322000,exeris-e2e-saga-lra-coordinator,0.14,386.20
1787387322000,exeris-e2e-saga-postgres,0.00,118.50
1787387322000,exeris-e2e-saga-payment-gateway,7.87,14.72
1787387322000,target-jvm,1.00,
