23:03:38,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
23:03:39,4,6.12,0.00,1.02,0.00,0.00,1.02,0.00,0.00,0.00,91.84
23:03:39,5,16.00,0.00,6.00,0.00,0.00,1.00,0.00,0.00,0.00,77.00
23:03:39,6,7.14,0.00,2.04,0.00,0.00,0.00,0.00,0.00,0.00,90.82
23:03:39,7,7.07,0.00,3.03,0.00,0.00,0.00,0.00,0.00,0.00,89.90
23:03:39,12,8.91,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.00,89.11
23:03:39,13,17.17,0.00,4.04,0.00,0.00,0.00,0.00,0.00,0.00,78.79
23:03:39,14,11.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,85.00
23:03:39,15,8.16,0.00,1.02,0.00,0.00,0.00,0.00,0.00,0.00,90.82
23:03:40,4,13.13,0.00,2.02,0.00,0.00,0.00,0.00,0.00,0.00,84.85
23:03:40,5,15.62,0.00,3.12,0.00,0.00,0.00,0.00,0.00,0.00,81.25
23:03:40,6,15.31,0.00,1.02,0.00,0.00,1.02,0.00,0.00,0.00,82.65
23:03:40,7,10.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,88.00
23:03:40,12,16.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,81.00
23:03:40,13,17.00,0.00,3.00,0.00,0.00,2.00,0.00,0.00,0.00,78.00
23:03:40,14,8.16,0.00,1.02,0.00,0.00,0.00,0.00,0.00,0.00,90.82
23:03:40,15,14.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,83.00
23:03:41,4,15.15,0.00,2.02,0.00,0.00,1.01,0.00,0.00,0.00,81.82
23:03:41,5,12.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,0.00,83.00
23:03:41,6,14.14,0.00,2.02,0.00,0.00,1.01,0.00,0.00,0.00,82.83
23:03:41,7,10.20,0.00,2.04,0.00,0.00,1.02,0.00,0.00,0.00,86.73
23:03:41,12,13.40,0.00,2.06,0.00,0.00,1.03,0.00,0.00,0.00,83.51
23:03:41,13,16.16,0.00,2.02,0.00,0.00,1.01,0.00,0.00,0.00,80.81
23:03:41,14,10.89,0.00,1.98,0.00,0.00,0.99,0.00,0.00,0.00,86.14
23:03:41,15,8.08,0.00,2.02,0.00,0.00,0.00,0.00,0.00,0.00,89.90
23:03:42,4,11.11,0.00,2.02,0.00,0.00,0.00,0.00,0.00,0.00,86.87
23:03:42,5,11.46,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,84.38
23:03:42,6,14.43,0.00,2.06,0.00,0.00,0.00,0.00,0.00,0.00,83.51
23:03:42,7,7.14,0.00,2.04,0.00,0.00,1.02,0.00,0.00,0.00,89.80
23:03:42,12,14.14,0.00,2.02,0.00,0.00,0.00,0.00,0.00,0.00,83.84
23:03:42,13,19.39,0.00,3.06,0.00,0.00,0.00,0.00,0.00,0.00,77.55
23:03:42,14,11.22,0.00,2.04,0.00,0.00,0.00,0.00,0.00,0.00,86.73
23:03:42,15,8.82,0.00,0.98,0.00,0.00,0.98,0.00,0.00,0.00,89.22
23:03:43,4,13.27,0.00,3.06,0.00,0.00,1.02,0.00,0.00,0.00,82.65
23:03:43,5,15.46,0.00,4.12,0.00,0.00,1.03,0.00,0.00,0.00,79.38
23:03:43,6,14.14,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,81.82
23:03:43,7,11.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,87.00
23:03:43,12,17.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,80.00
23:03:43,13,16.16,0.00,1.01,0.00,0.00,1.01,0.00,0.00,0.00,81.82
23:03:43,14,11.11,0.00,2.02,0.00,0.00,1.01,0.00,0.00,0.00,85.86
23:03:43,15,9.09,0.00,1.01,0.00,0.00,0.00,0.00,0.00,0.00,89.90
23:03:44,4,16.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,81.00
23:03:44,5,18.37,0.00,3.06,0.00,0.00,1.02,0.00,0.00,0.00,77.55
23:03:44,6,13.40,0.00,2.06,0.00,0.00,0.00,0.00,0.00,0.00,84.54
23:03:44,7,9.09,0.00,2.02,0.00,0.00,1.01,0.00,0.00,0.00,87.88
23:03:44,12,10.10,0.00,1.01,0.00,0.00,1.01,0.00,0.00,0.00,87.88
23:03:44,13,15.84,0.00,2.97,0.00,0.00,0.00,0.00,0.00,0.00,81.19
23:03:44,14,13.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,86.00
23:03:44,15,7.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00
23:03:45,4,11.22,0.00,2.04,0.00,0.00,1.02,0.00,0.00,0.00,85.71
23:03:45,5,14.29,0.00,2.04,0.00,0.00,1.02,0.00,0.00,0.00,82.65
23:03:45,6,14.14,0.00,2.02,0.00,0.00,1.01,0.00,0.00,0.00,82.83
23:03:45,7,11.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,88.00
23:03:45,12,11.88,0.00,1.98,0.00,0.00,0.99,0.00,0.00,0.00,85.15
23:03:45,13,16.16,0.00,1.01,0.00,0.00,2.02,0.00,0.00,0.00,80.81
23:03:45,14,13.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,83.00
23:03:45,15,8.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,89.00
23:03:46,4,14.29,0.00,2.04,0.00,0.00,1.02,0.00,0.00,0.00,82.65
23:03:46,5,12.24,0.00,2.04,0.00,0.00,1.02,0.00,0.00,0.00,84.69
23:03:46,6,13.13,0.00,2.02,0.00,0.00,0.00,0.00,0.00,0.00,84.85
23:03:46,7,12.24,0.00,1.02,0.00,0.00,0.00,0.00,0.00,0.00,86.73
23:03:46,12,13.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,83.00
23:03:46,13,15.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,0.00,80.00
23:03:46,14,11.34,0.00,1.03,0.00,0.00,1.03,0.00,0.00,0.00,86.60
23:03:46,15,8.16,0.00,1.02,0.00,0.00,0.00,0.00,0.00,0.00,90.82
23:03:47,4,12.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,85.00
23:03:47,5,16.16,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,79.80
23:03:47,6,11.34,0.00,2.06,0.00,0.00,1.03,0.00,0.00,0.00,85.57
23:03:47,7,9.28,0.00,2.06,0.00,0.00,1.03,0.00,0.00,0.00,87.63
23:03:47,12,11.22,0.00,1.02,0.00,0.00,1.02,0.00,0.00,0.00,86.73
23:03:47,13,15.46,0.00,1.03,0.00,0.00,0.00,0.00,0.00,0.00,83.51
23:03:47,14,15.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,83.00
23:03:47,15,7.92,0.00,0.99,0.00,0.00,0.99,0.00,0.00,0.00,90.10
23:03:48,4,15.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,82.00
23:03:48,5,16.49,0.00,3.09,0.00,0.00,0.00,0.00,0.00,0.00,80.41
23:03:48,6,17.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00,79.00
23:03:48,7,11.88,0.00,1.98,0.00,0.00,0.99,0.00,0.00,0.00,85.15
23:03:48,12,11.22,0.00,2.04,0.00,0.00,0.00,0.00,0.00,0.00,86.73
23:03:48,13,13.86,0.00,2.97,0.00,0.00,0.99,0.00,0.00,0.00,82.18
23:03:48,14,10.89,0.00,2.97,0.00,0.00,0.99,0.00,0.00,0.00,85.15
23:03:48,15,11.11,0.00,2.02,0.00,0.00,1.01,0.00,0.00,0.00,85.86
23:03:49,4,16.16,0.00,1.01,0.00,0.00,0.00,0.00,0.00,0.00,82.83
23:03:49,5,21.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,76.00
