23:06:51,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
23:06:52,4,11.11,0.00,1.01,0.00,0.00,0.00,0.00,0.00,0.00,87.88
23:06:52,5,22.45,0.00,4.08,0.00,0.00,0.00,0.00,0.00,0.00,73.47
23:06:52,6,10.89,0.00,1.98,0.00,0.00,1.98,0.00,0.00,0.00,85.15
23:06:52,7,5.10,0.00,2.04,0.00,0.00,1.02,0.00,0.00,0.00,91.84
23:06:52,12,14.29,0.00,2.04,0.00,0.00,1.02,0.00,0.00,0.00,82.65
23:06:52,13,8.25,0.00,1.03,1.03,0.00,1.03,0.00,0.00,0.00,88.66
23:06:52,14,10.42,0.00,1.04,0.00,0.00,0.00,0.00,0.00,0.00,88.54
23:06:52,15,6.25,0.00,1.04,0.00,0.00,0.00,0.00,0.00,0.00,92.71
23:06:53,4,16.33,0.00,2.04,0.00,0.00,1.02,0.00,0.00,0.00,80.61
23:06:53,5,20.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,77.00
23:06:53,6,10.20,0.00,2.04,0.00,0.00,0.00,0.00,0.00,0.00,87.76
23:06:53,7,9.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,89.00
23:06:53,12,6.12,0.00,2.04,0.00,0.00,0.00,0.00,0.00,0.00,91.84
23:06:53,13,10.31,0.00,2.06,0.00,0.00,0.00,0.00,0.00,0.00,87.63
23:06:53,14,7.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,91.00
23:06:53,15,9.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,88.00
23:06:54,4,15.31,0.00,3.06,0.00,0.00,1.02,0.00,0.00,0.00,80.61
23:06:54,5,13.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,84.00
23:06:54,6,10.20,0.00,2.04,0.00,0.00,1.02,0.00,0.00,0.00,86.73
23:06:54,7,11.11,0.00,1.01,0.00,0.00,1.01,0.00,0.00,0.00,86.87
23:06:54,12,10.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,88.00
23:06:54,13,16.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,81.00
23:06:54,14,10.10,0.00,2.02,0.00,0.00,0.00,0.00,0.00,0.00,87.88
23:06:54,15,8.91,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,90.10
23:06:55,4,12.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00,84.00
23:06:55,5,13.27,0.00,2.04,0.00,0.00,1.02,0.00,0.00,0.00,83.67
23:06:55,6,13.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,85.00
23:06:55,7,7.14,0.00,2.04,0.00,0.00,0.00,0.00,0.00,0.00,90.82
23:06:55,12,9.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00,87.00
23:06:55,13,8.08,0.00,2.02,0.00,0.00,1.01,0.00,0.00,0.00,88.89
23:06:55,14,12.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,86.00
23:06:55,15,9.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,88.00
23:06:56,4,15.31,0.00,2.04,0.00,0.00,0.00,0.00,0.00,0.00,82.65
23:06:56,5,15.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,81.00
23:06:56,6,14.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,83.00
23:06:56,7,6.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,91.00
23:06:56,12,10.20,0.00,1.02,0.00,0.00,0.00,0.00,0.00,0.00,88.78
23:06:56,13,11.11,0.00,1.01,0.00,0.00,1.01,0.00,0.00,0.00,86.87
23:06:56,14,9.90,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.00,88.12
