23:10:10,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
23:10:11,4,9.18,0.00,2.04,0.00,0.00,0.00,0.00,0.00,0.00,88.78
23:10:11,5,14.58,0.00,2.08,0.00,0.00,1.04,0.00,0.00,0.00,82.29
23:10:11,6,11.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,87.00
23:10:11,7,6.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,92.00
23:10:11,12,7.22,0.00,1.03,0.00,0.00,0.00,0.00,0.00,0.00,91.75
23:10:11,13,5.10,0.00,1.02,0.00,0.00,0.00,0.00,0.00,0.00,93.88
23:10:11,14,9.09,0.00,2.02,0.00,0.00,0.00,0.00,0.00,0.00,88.89
23:10:11,15,5.94,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,93.07
23:10:12,4,13.13,0.00,2.02,0.00,0.00,1.01,0.00,0.00,0.00,83.84
23:10:12,5,16.16,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,79.80
23:10:12,6,11.22,0.00,1.02,0.00,0.00,1.02,0.00,0.00,0.00,86.73
23:10:12,7,9.18,0.00,1.02,0.00,0.00,0.00,0.00,0.00,0.00,89.80
23:10:12,12,10.89,0.00,1.98,0.00,0.00,0.99,0.00,0.00,0.00,86.14
23:10:12,13,14.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,83.00
23:10:12,14,7.92,0.00,1.98,0.00,0.00,0.99,0.00,0.00,0.00,89.11
23:10:12,15,6.06,0.00,1.01,0.00,0.00,1.01,0.00,0.00,0.00,91.92
23:10:13,4,12.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,84.00
23:10:13,5,14.29,0.00,2.04,0.00,0.00,1.02,0.00,0.00,0.00,82.65
23:10:13,6,11.11,0.00,2.02,0.00,0.00,0.00,0.00,0.00,0.00,86.87
23:10:13,7,8.16,0.00,1.02,0.00,0.00,0.00,0.00,0.00,0.00,90.82
23:10:13,12,9.18,0.00,2.04,0.00,0.00,1.02,0.00,0.00,0.00,87.76
23:10:13,13,13.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,84.00
23:10:13,14,8.16,0.00,1.02,0.00,0.00,0.00,0.00,0.00,0.00,90.82
23:10:13,15,8.08,0.00,1.01,0.00,0.00,0.00,0.00,0.00,0.00,90.91
23:10:14,4,11.11,0.00,2.02,0.00,0.00,0.00,0.00,0.00,0.00,86.87
23:10:14,5,13.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,83.00
23:10:14,6,11.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,86.00
23:10:14,7,8.91,0.00,1.98,0.00,0.00,0.99,0.00,0.00,0.00,88.12
23:10:14,12,11.88,0.00,2.97,0.00,0.00,0.99,0.00,0.00,0.00,84.16
23:10:14,13,10.20,0.00,2.04,0.00,0.00,0.00,0.00,0.00,0.00,87.76
23:10:14,14,13.13,0.00,2.02,0.00,0.00,1.01,0.00,0.00,0.00,83.84
23:10:14,15,8.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,91.00
23:10:15,4,10.20,0.00,2.04,0.00,0.00,1.02,0.00,0.00,0.00,86.73
23:10:15,5,16.33,0.00,1.02,0.00,0.00,1.02,0.00,0.00,0.00,81.63
23:10:15,6,10.20,0.00,1.02,0.00,0.00,0.00,0.00,0.00,0.00,88.78
23:10:15,7,12.12,0.00,1.01,0.00,0.00,0.00,0.00,0.00,0.00,86.87
23:10:15,12,9.18,0.00,1.02,0.00,0.00,0.00,0.00,0.00,0.00,89.80
