23:17:16,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
23:17:17,4,17.17,0.00,4.04,0.00,0.00,1.01,0.00,0.00,0.00,77.78
23:17:17,5,22.22,0.00,6.06,0.00,0.00,1.01,0.00,0.00,0.00,70.71
23:17:17,6,14.29,0.00,4.08,0.00,0.00,1.02,0.00,0.00,0.00,80.61
23:17:17,7,13.73,0.00,3.92,0.00,0.00,0.98,0.00,0.00,0.00,81.37
23:17:17,12,19.19,0.00,4.04,0.00,0.00,1.01,0.00,0.00,0.00,75.76
23:17:17,13,19.00,0.00,7.00,0.00,0.00,1.00,0.00,0.00,0.00,73.00
23:17:17,14,13.40,0.00,4.12,0.00,0.00,0.00,0.00,0.00,0.00,82.47
23:17:17,15,14.85,0.00,4.95,0.00,0.00,0.99,0.00,0.00,0.00,79.21
23:17:18,4,28.87,0.00,6.19,0.00,0.00,2.06,0.00,0.00,0.00,62.89
23:17:18,5,28.57,0.00,7.14,0.00,0.00,2.04,0.00,0.00,0.00,62.24
23:17:18,6,28.12,0.00,6.25,0.00,0.00,2.08,0.00,0.00,0.00,63.54
23:17:18,7,28.00,0.00,6.00,0.00,0.00,3.00,0.00,0.00,0.00,63.00
23:17:18,12,30.93,0.00,5.15,0.00,0.00,2.06,0.00,0.00,0.00,61.86
23:17:18,13,37.76,0.00,5.10,0.00,0.00,1.02,0.00,0.00,0.00,56.12
23:17:18,14,30.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,61.00
23:17:18,15,29.29,0.00,5.05,0.00,0.00,2.02,0.00,0.00,0.00,63.64
23:17:19,4,26.26,0.00,6.06,0.00,0.00,2.02,0.00,0.00,0.00,65.66
23:17:19,5,27.37,0.00,4.21,0.00,0.00,1.05,0.00,0.00,0.00,67.37
23:17:19,6,26.00,0.00,6.00,0.00,0.00,2.00,0.00,0.00,0.00,66.00
23:17:19,7,27.27,0.00,6.06,0.00,0.00,1.01,0.00,0.00,0.00,65.66
23:17:19,12,30.39,0.00,5.88,0.00,0.00,2.94,0.00,0.00,0.00,60.78
23:17:19,13,30.30,0.00,6.06,1.01,0.00,3.03,0.00,0.00,0.00,59.60
23:17:19,14,27.00,0.00,6.00,0.00,0.00,3.00,0.00,0.00,0.00,64.00
23:17:19,15,25.00,0.00,7.00,0.00,0.00,1.00,0.00,0.00,0.00,67.00
23:17:20,4,26.73,0.00,6.93,0.00,0.00,1.98,0.00,0.00,0.00,64.36
23:17:20,5,28.00,0.00,5.00,0.00,0.00,3.00,0.00,0.00,0.00,64.00
23:17:20,6,26.26,0.00,6.06,0.00,0.00,2.02,0.00,0.00,0.00,65.66
23:17:20,7,27.27,0.00,5.05,0.00,0.00,1.01,0.00,0.00,0.00,66.67
23:17:20,12,24.24,0.00,6.06,0.00,0.00,2.02,0.00,0.00,0.00,67.68
23:17:20,13,26.53,0.00,5.10,0.00,0.00,1.02,0.00,0.00,0.00,67.35
23:17:20,14,26.26,0.00,6.06,0.00,0.00,2.02,0.00,0.00,0.00,65.66
23:17:20,15,25.51,0.00,5.10,0.00,0.00,1.02,0.00,0.00,0.00,68.37
23:17:21,4,26.53,0.00,5.10,0.00,0.00,1.02,0.00,0.00,0.00,67.35
23:17:21,5,29.00,0.00,5.00,0.00,0.00,2.00,0.00,0.00,0.00,64.00
23:17:21,6,27.72,0.00,5.94,0.00,0.00,0.99,0.00,0.00,0.00,65.35
23:17:21,7,25.96,0.00,5.77,0.00,0.00,2.88,0.00,0.00,0.00,65.38
23:17:21,12,22.92,0.00,6.25,0.00,0.00,2.08,0.00,0.00,0.00,68.75
23:17:21,13,26.26,0.00,6.06,0.00,0.00,2.02,0.00,0.00,0.00,65.66
23:17:21,14,26.73,0.00,5.94,0.00,0.00,1.98,0.00,0.00,0.00,65.35
23:17:21,15,25.49,0.00,4.90,0.00,0.00,2.94,0.00,0.00,0.00,66.67
23:17:22,4,28.00,0.00,5.00,0.00,0.00,2.00,0.00,0.00,0.00,65.00
23:17:22,5,23.47,0.00,7.14,0.00,0.00,2.04,0.00,0.00,0.00,67.35
