23:30:32,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
23:30:33,4,22.22,0.00,5.05,0.00,0.00,1.01,0.00,0.00,0.00,71.72
23:30:33,5,29.17,0.00,7.29,0.00,0.00,1.04,0.00,0.00,0.00,62.50
23:30:33,6,17.17,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,78.79
23:30:33,7,17.82,0.00,5.94,0.00,0.00,0.00,0.00,0.00,0.00,76.24
23:30:33,12,16.83,0.00,4.95,0.00,0.00,1.98,0.00,0.00,0.00,76.24
23:30:33,13,27.55,0.00,4.08,0.00,0.00,0.00,0.00,0.00,0.00,68.37
23:30:33,14,14.14,0.00,4.04,0.00,0.00,1.01,0.00,0.00,0.00,80.81
23:30:33,15,17.35,0.00,2.04,0.00,0.00,1.02,0.00,0.00,0.00,79.59
23:30:34,4,30.93,0.00,6.19,0.00,0.00,2.06,0.00,0.00,0.00,60.82
23:30:34,5,37.76,0.00,6.12,0.00,0.00,1.02,0.00,0.00,0.00,55.10
23:30:34,6,31.00,0.00,6.00,2.00,0.00,2.00,0.00,0.00,0.00,59.00
23:30:34,7,31.00,0.00,6.00,1.00,0.00,3.00,0.00,0.00,0.00,59.00
23:30:34,12,29.59,0.00,6.12,0.00,0.00,1.02,0.00,0.00,0.00,63.27
23:30:34,13,47.00,0.00,5.00,0.00,0.00,2.00,0.00,0.00,0.00,46.00
23:30:34,14,30.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,61.00
23:30:34,15,28.57,0.00,7.14,0.00,0.00,2.04,0.00,0.00,0.00,62.24
23:30:35,4,26.80,0.00,6.19,0.00,0.00,2.06,0.00,0.00,0.00,64.95
23:30:35,5,27.55,0.00,7.14,0.00,0.00,2.04,0.00,0.00,0.00,63.27
23:30:35,6,28.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,63.00
23:30:35,7,25.25,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,65.66
23:30:35,12,27.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,64.00
23:30:35,13,28.87,0.00,7.22,0.00,0.00,1.03,0.00,0.00,0.00,62.89
23:30:35,14,27.00,0.00,6.00,0.00,0.00,3.00,0.00,0.00,0.00,64.00
23:30:35,15,26.73,0.00,6.93,0.00,0.00,1.98,0.00,0.00,0.00,64.36
23:30:36,4,25.77,0.00,7.22,0.00,0.00,1.03,0.00,0.00,0.00,65.98
23:30:36,5,26.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,64.00
23:30:36,6,26.26,0.00,6.06,0.00,0.00,2.02,0.00,0.00,0.00,65.66
23:30:36,7,23.00,0.00,6.00,0.00,0.00,2.00,0.00,0.00,0.00,69.00
23:30:36,12,26.26,0.00,6.06,0.00,0.00,3.03,0.00,0.00,0.00,64.65
23:30:36,13,27.72,0.00,5.94,0.00,0.00,2.97,0.00,0.00,0.00,63.37
23:30:36,14,31.00,0.00,7.00,0.00,0.00,1.00,0.00,0.00,0.00,61.00
23:30:36,15,26.26,0.00,5.05,0.00,0.00,1.01,0.00,0.00,0.00,67.68
23:30:37,4,26.73,0.00,5.94,0.00,0.00,1.98,0.00,0.00,0.00,65.35
23:30:37,5,25.51,0.00,6.12,0.00,0.00,2.04,0.00,0.00,0.00,66.33
23:30:37,6,26.21,0.00,7.77,0.00,0.00,1.94,0.00,0.00,0.00,64.08
23:30:37,7,25.25,0.00,6.06,0.00,0.00,1.01,0.00,0.00,0.00,67.68
23:30:37,12,25.51,0.00,6.12,0.00,0.00,2.04,0.00,0.00,0.00,66.33
23:30:37,13,27.72,0.00,6.93,0.00,0.00,0.99,0.00,0.00,0.00,64.36
23:30:37,14,25.51,0.00,6.12,0.00,0.00,1.02,0.00,0.00,0.00,67.35
23:30:37,15,26.26,0.00,7.07,0.00,0.00,1.01,0.00,0.00,0.00,65.66
23:30:38,4,28.57,0.00,5.10,0.00,0.00,1.02,0.00,0.00,0.00,65.31
23:30:38,5,25.77,0.00,6.19,0.00,0.00,1.03,0.00,0.00,0.00,67.01
23:30:38,6,26.73,0.00,5.94,0.00,0.00,1.98,0.00,0.00,0.00,65.35
23:30:38,7,27.00,0.00,5.00,0.00,0.00,2.00,0.00,0.00,0.00,66.00
23:30:38,12,27.55,0.00,7.14,0.00,0.00,1.02,0.00,0.00,0.00,64.29
23:30:38,13,26.26,0.00,6.06,0.00,0.00,2.02,0.00,0.00,0.00,65.66
23:30:38,14,26.26,0.00,6.06,0.00,0.00,2.02,0.00,0.00,0.00,65.66
23:30:38,15,26.00,0.00,5.00,0.00,0.00,2.00,0.00,0.00,0.00,67.00
23:30:39,4,25.77,0.00,8.25,0.00,0.00,1.03,0.00,0.00,0.00,64.95
23:30:39,5,26.53,0.00,7.14,0.00,0.00,2.04,0.00,0.00,0.00,64.29
23:30:39,6,26.80,0.00,5.15,0.00,0.00,2.06,0.00,0.00,0.00,65.98
23:30:39,7,28.57,0.00,7.14,0.00,0.00,3.06,0.00,0.00,0.00,61.22
23:30:39,12,27.27,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,62.63
23:30:39,13,28.57,0.00,5.10,0.00,0.00,2.04,0.00,0.00,0.00,64.29
23:30:39,14,29.00,0.00,5.00,0.00,0.00,2.00,0.00,0.00,0.00,64.00
23:30:39,15,30.30,0.00,6.06,0.00,0.00,2.02,0.00,0.00,0.00,61.62
23:30:40,4,29.70,0.00,5.94,0.00,0.00,2.97,0.00,0.00,0.00,61.39
23:30:40,5,28.57,0.00,7.14,0.00,0.00,3.06,0.00,0.00,0.00,61.22
23:30:40,6,29.59,0.00,6.12,0.00,0.00,2.04,0.00,0.00,0.00,62.24
23:30:40,7,32.67,0.00,6.93,0.00,0.00,1.98,0.00,0.00,0.00,58.42
23:30:40,12,27.55,0.00,7.14,0.00,0.00,2.04,0.00,0.00,0.00,63.27
23:30:40,13,28.42,0.00,5.26,0.00,0.00,2.11,0.00,0.00,0.00,64.21
23:30:40,14,30.69,0.00,8.91,0.00,0.00,0.99,0.00,0.00,0.00,59.41
23:30:40,15,29.59,0.00,7.14,0.00,0.00,2.04,0.00,0.00,0.00,61.22
23:30:41,4,28.28,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,61.62
23:30:41,5,29.59,0.00,7.14,0.00,0.00,1.02,0.00,0.00,0.00,62.24
23:30:41,6,31.00,0.00,7.00,0.00,0.00,1.00,0.00,0.00,0.00,61.00
23:30:41,7,27.72,0.00,6.93,0.00,0.00,1.98,0.00,0.00,0.00,63.37
23:30:41,12,26.73,0.00,7.92,0.00,0.00,1.98,0.00,0.00,0.00,63.37
23:30:41,13,27.55,0.00,7.14,0.00,0.00,1.02,0.00,0.00,0.00,64.29
23:30:41,14,31.63,0.00,6.12,0.00,0.00,2.04,0.00,0.00,0.00,60.20
23:30:41,15,29.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,62.00
23:30:42,4,27.55,0.00,6.12,0.00,0.00,2.04,0.00,0.00,0.00,64.29
23:30:42,5,29.59,0.00,5.10,0.00,0.00,2.04,0.00,0.00,0.00,63.27
23:30:42,6,29.47,0.00,7.37,0.00,0.00,2.11,0.00,0.00,0.00,61.05
23:30:42,7,26.53,0.00,5.10,0.00,0.00,2.04,0.00,0.00,0.00,66.33
23:30:42,12,28.12,0.00,6.25,0.00,0.00,2.08,0.00,0.00,0.00,63.54
23:30:42,13,27.84,0.00,6.19,0.00,0.00,2.06,0.00,0.00,0.00,63.92
23:30:42,14,34.00,0.00,5.00,0.00,0.00,2.00,0.00,0.00,0.00,59.00
23:30:42,15,29.29,0.00,5.05,0.00,0.00,1.01,0.00,0.00,0.00,64.65
23:30:43,4,27.27,0.00,6.06,0.00,0.00,2.02,0.00,0.00,0.00,64.65
23:30:43,5,28.28,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,62.63
23:30:43,6,32.32,0.00,6.06,0.00,0.00,1.01,0.00,0.00,0.00,60.61
23:30:43,7,28.28,0.00,6.06,0.00,0.00,2.02,0.00,0.00,0.00,63.64
23:30:43,12,26.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,64.00
23:30:43,13,30.61,0.00,7.14,0.00,0.00,1.02,0.00,0.00,0.00,61.22
23:30:43,14,30.30,0.00,6.06,0.00,0.00,2.02,0.00,0.00,0.00,61.62
23:30:43,15,28.43,0.00,7.84,0.00,0.00,1.96,0.00,0.00,0.00,61.76
23:30:44,4,30.69,0.00,6.93,0.00,0.00,1.98,0.00,0.00,0.00,60.40
23:30:44,5,24.49,0.00,7.14,2.04,0.00,3.06,0.00,0.00,0.00,63.27
23:30:44,6,29.17,0.00,6.25,0.00,0.00,2.08,0.00,0.00,0.00,62.50
23:30:44,7,32.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,59.00
23:30:44,12,28.71,0.00,6.93,0.00,0.00,1.98,0.00,0.00,0.00,62.38
23:30:44,13,31.00,0.00,6.00,0.00,0.00,2.00,0.00,0.00,0.00,61.00
23:30:44,14,30.30,0.00,6.06,0.00,0.00,1.01,0.00,0.00,0.00,62.63
23:30:44,15,29.29,0.00,7.07,0.00,0.00,1.01,0.00,0.00,0.00,62.63
23:30:45,4,29.90,0.00,7.22,0.00,0.00,1.03,0.00,0.00,0.00,61.86
23:30:45,5,30.30,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,60.61
23:30:45,6,34.00,0.00,7.00,0.00,0.00,1.00,0.00,0.00,0.00,58.00
23:30:45,7,29.29,0.00,6.06,0.00,0.00,1.01,0.00,0.00,0.00,63.64
23:30:45,12,30.69,0.00,6.93,0.00,0.00,1.98,0.00,0.00,0.00,60.40
23:30:45,13,29.17,0.00,6.25,0.00,0.00,2.08,0.00,0.00,0.00,62.50
23:30:45,14,30.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,61.00
23:30:45,15,31.31,0.00,6.06,0.00,0.00,2.02,0.00,0.00,0.00,60.61
23:30:46,4,27.27,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,62.63
23:30:46,5,31.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,60.00
23:30:46,6,30.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,60.00
23:30:46,7,28.57,0.00,8.16,0.00,0.00,2.04,0.00,0.00,0.00,61.22
23:30:46,12,25.77,0.00,7.22,0.00,0.00,3.09,0.00,0.00,0.00,63.92
23:30:46,13,27.84,0.00,7.22,0.00,0.00,2.06,0.00,0.00,0.00,62.89
23:30:46,14,28.87,0.00,5.15,0.00,0.00,2.06,0.00,0.00,0.00,63.92
23:30:46,15,28.87,0.00,5.15,0.00,0.00,2.06,0.00,0.00,0.00,63.92
23:30:47,4,28.87,0.00,7.22,0.00,0.00,2.06,0.00,0.00,0.00,61.86
23:30:47,5,29.90,0.00,6.19,0.00,0.00,1.03,0.00,0.00,0.00,62.89
23:30:47,6,31.68,0.00,6.93,0.00,0.00,1.98,0.00,0.00,0.00,59.41
23:30:47,7,27.55,0.00,7.14,0.00,0.00,3.06,0.00,0.00,0.00,62.24
23:30:47,12,28.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,62.00
23:30:47,13,27.27,0.00,8.08,0.00,0.00,1.01,0.00,0.00,0.00,63.64
23:30:47,14,29.29,0.00,6.06,0.00,0.00,1.01,0.00,0.00,0.00,63.64
23:30:47,15,32.00,0.00,6.00,0.00,0.00,2.00,0.00,0.00,0.00,60.00
23:30:48,4,26.53,0.00,8.16,0.00,0.00,1.02,0.00,0.00,0.00,64.29
23:30:48,5,29.00,0.00,5.00,0.00,0.00,2.00,0.00,0.00,0.00,64.00
23:30:48,6,27.37,0.00,5.26,0.00,0.00,2.11,0.00,0.00,0.00,65.26
23:30:48,7,32.35,0.00,5.88,0.00,0.00,0.98,0.00,0.00,0.00,60.78
23:30:48,12,26.80,0.00,7.22,0.00,0.00,2.06,0.00,0.00,0.00,63.92
23:30:48,13,30.69,0.00,7.92,0.00,0.00,1.98,0.00,0.00,0.00,59.41
23:30:48,14,29.29,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,61.62
23:30:48,15,31.00,0.00,5.00,0.00,0.00,1.00,0.00,0.00,0.00,63.00
23:30:49,4,28.28,0.00,6.06,0.00,0.00,2.02,0.00,0.00,0.00,63.64
23:30:49,5,26.26,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,63.64
23:30:49,6,28.28,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,62.63
23:30:49,7,27.27,0.00,6.06,0.00,0.00,3.03,0.00,0.00,0.00,63.64
23:30:49,12,29.59,0.00,6.12,0.00,0.00,2.04,0.00,0.00,0.00,62.24
23:30:49,13,32.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,59.00
23:30:49,14,27.27,0.00,6.06,0.00,0.00,3.03,0.00,0.00,0.00,63.64
23:30:49,15,31.37,0.00,7.84,0.00,0.00,2.94,0.00,0.00,0.00,57.84
23:30:50,4,28.57,0.00,6.12,0.00,0.00,2.04,0.00,0.00,0.00,63.27
23:30:50,5,31.25,0.00,5.21,0.00,0.00,1.04,0.00,0.00,0.00,62.50
23:30:50,6,32.04,0.00,6.80,0.00,0.00,1.94,0.00,0.00,0.00,59.22
23:30:50,7,28.57,0.00,4.08,0.00,0.00,2.04,0.00,0.00,0.00,65.31
23:30:50,12,27.55,0.00,7.14,0.00,0.00,3.06,0.00,0.00,0.00,62.24
23:30:50,13,29.29,0.00,5.05,0.00,0.00,2.02,0.00,0.00,0.00,63.64
23:30:50,14,29.70,0.00,6.93,0.00,0.00,1.98,0.00,0.00,0.00,61.39
23:30:50,15,28.28,0.00,7.07,0.00,0.00,1.01,0.00,0.00,0.00,63.64
23:30:51,4,30.61,0.00,7.14,0.00,0.00,2.04,0.00,0.00,0.00,60.20
23:30:51,5,28.57,0.00,9.18,0.00,0.00,2.04,0.00,0.00,0.00,60.20
23:30:51,6,30.61,0.00,7.14,0.00,0.00,1.02,0.00,0.00,0.00,61.22
23:30:51,7,30.30,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,59.60
23:30:51,12,28.87,0.00,7.22,0.00,0.00,2.06,0.00,0.00,0.00,61.86
23:30:51,13,31.31,0.00,6.06,0.00,0.00,2.02,0.00,0.00,0.00,60.61
23:30:51,14,28.87,0.00,6.19,0.00,0.00,1.03,0.00,0.00,0.00,63.92
23:30:51,15,26.53,0.00,8.16,0.00,0.00,2.04,0.00,0.00,0.00,63.27
23:30:52,4,30.30,0.00,9.09,0.00,0.00,2.02,0.00,0.00,0.00,58.59
23:30:52,5,30.61,0.00,5.10,0.00,0.00,2.04,0.00,0.00,0.00,62.24
23:30:52,6,28.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,63.00
