23:33:45,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
23:33:46,4,19.19,0.00,4.04,0.00,0.00,1.01,0.00,0.00,0.00,75.76
23:33:46,5,30.30,0.00,8.08,0.00,0.00,1.01,0.00,0.00,0.00,60.61
23:33:46,6,15.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,0.00,80.00
23:33:46,7,13.86,0.00,3.96,0.00,0.00,0.99,0.00,0.00,0.00,81.19
23:33:46,12,13.86,0.00,2.97,0.00,0.00,0.99,0.00,0.00,0.00,82.18
23:33:46,13,15.31,0.00,4.08,0.00,0.00,0.00,0.00,0.00,0.00,80.61
23:33:46,14,14.85,0.00,2.97,0.00,0.00,0.00,0.00,0.00,0.00,82.18
23:33:46,15,15.69,0.00,2.94,0.00,0.00,0.98,0.00,0.00,0.00,80.39
23:33:47,4,28.71,0.00,4.95,0.00,0.00,0.99,0.00,0.00,0.00,65.35
23:33:47,5,30.21,0.00,4.17,0.00,0.00,1.04,0.00,0.00,0.00,64.58
23:33:47,6,25.74,0.00,4.95,0.00,0.00,1.98,0.00,0.00,0.00,67.33
23:33:47,7,29.13,0.00,3.88,0.00,0.00,0.97,0.00,0.00,0.00,66.02
23:33:47,12,31.00,0.00,4.00,0.00,0.00,2.00,0.00,0.00,0.00,63.00
23:33:47,13,30.69,0.00,1.98,0.00,0.00,1.98,0.00,0.00,0.00,65.35
23:33:47,14,28.00,0.00,4.00,0.00,0.00,2.00,0.00,0.00,0.00,66.00
23:33:47,15,25.25,0.00,4.04,0.00,0.00,1.01,0.00,0.00,0.00,69.70
23:33:48,4,28.28,0.00,3.03,0.00,0.00,2.02,0.00,0.00,0.00,66.67
23:33:48,5,28.00,0.00,6.00,0.00,0.00,1.00,0.00,0.00,0.00,65.00
23:33:48,6,28.43,0.00,2.94,0.00,0.00,0.98,0.00,0.00,0.00,67.65
23:33:48,7,26.73,0.00,2.97,0.00,0.00,1.98,0.00,0.00,0.00,68.32
23:33:48,12,29.13,0.00,4.85,0.00,0.00,1.94,0.00,0.00,0.00,64.08
23:33:48,13,28.00,0.00,3.00,0.00,0.00,2.00,0.00,0.00,0.00,67.00
23:33:48,14,23.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,0.00,72.00
23:33:48,15,30.39,0.00,3.92,0.00,0.00,1.96,0.00,0.00,0.00,63.73
23:33:49,4,27.00,0.00,5.00,0.00,0.00,1.00,0.00,0.00,0.00,67.00
23:33:49,5,28.71,0.00,2.97,0.00,0.00,1.98,0.00,0.00,0.00,66.34
23:33:49,6,31.00,0.00,5.00,0.00,0.00,2.00,0.00,0.00,0.00,62.00
23:33:49,7,26.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,0.00,69.00
23:33:49,12,30.00,0.00,5.00,0.00,0.00,1.00,0.00,0.00,0.00,64.00
23:33:49,13,29.29,0.00,5.05,0.00,0.00,1.01,0.00,0.00,0.00,64.65
23:33:49,14,27.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,0.00,68.00
23:33:49,15,26.73,0.00,2.97,0.00,0.00,1.98,0.00,0.00,0.00,68.32
23:33:50,4,24.49,0.00,4.08,0.00,0.00,1.02,0.00,0.00,0.00,70.41
23:33:50,5,29.70,0.00,3.96,0.00,0.00,0.99,0.00,0.00,0.00,65.35
23:33:50,6,30.10,0.00,3.88,0.00,0.00,0.97,0.00,0.00,0.00,65.05
23:33:50,7,26.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,70.00
23:33:50,12,32.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,0.00,63.00
23:33:50,13,30.30,0.00,3.03,0.00,0.00,2.02,0.00,0.00,0.00,64.65
23:33:50,14,28.00,0.00,4.00,0.00,0.00,2.00,0.00,0.00,0.00,66.00
23:33:50,15,25.49,0.00,3.92,0.00,0.00,0.98,0.00,0.00,0.00,69.61
23:33:51,4,27.18,0.00,3.88,0.00,0.00,2.91,0.00,0.00,0.00,66.02
23:33:51,5,28.28,0.00,5.05,0.00,0.00,1.01,0.00,0.00,0.00,65.66
23:33:51,6,28.43,0.00,4.90,0.00,0.00,0.98,0.00,0.00,0.00,65.69
23:33:51,7,26.21,0.00,3.88,0.00,0.00,2.91,0.00,0.00,0.00,66.99
23:33:51,12,24.51,0.00,3.92,0.00,0.00,1.96,0.00,0.00,0.00,69.61
23:33:51,13,27.72,0.00,5.94,0.00,0.00,0.99,0.00,0.00,0.00,65.35
23:33:51,14,29.70,0.00,3.96,0.00,0.00,0.99,0.00,0.00,0.00,65.35
23:33:51,15,27.27,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,68.69
23:33:52,4,26.73,0.00,3.96,0.00,0.00,0.99,0.00,0.00,0.00,68.32
23:33:52,5,27.72,0.00,3.96,0.00,0.00,1.98,0.00,0.00,0.00,66.34
23:33:52,6,26.73,0.00,3.96,0.00,0.00,0.99,0.00,0.00,0.00,68.32
23:33:52,7,26.53,0.00,4.08,0.00,0.00,1.02,0.00,0.00,0.00,68.37
23:33:52,12,29.00,0.00,5.00,0.00,0.00,2.00,0.00,0.00,0.00,64.00
23:33:52,13,30.00,0.00,4.00,1.00,0.00,1.00,0.00,0.00,0.00,64.00
23:33:52,14,27.45,0.00,3.92,0.00,0.00,1.96,0.00,0.00,0.00,66.67
23:33:52,15,24.51,0.00,3.92,0.00,0.00,1.96,0.00,0.00,0.00,69.61
23:33:53,4,26.26,0.00,3.03,0.00,0.00,2.02,0.00,0.00,0.00,68.69
23:33:53,5,30.30,0.00,4.04,0.00,0.00,2.02,0.00,0.00,0.00,63.64
23:33:53,6,29.00,0.00,4.00,0.00,0.00,2.00,0.00,0.00,0.00,65.00
23:33:53,7,28.16,0.00,3.88,0.00,0.00,1.94,0.00,0.00,0.00,66.02
23:33:53,12,29.41,0.00,3.92,0.00,0.00,1.96,0.00,0.00,0.00,64.71
23:33:53,13,26.53,0.00,4.08,0.00,0.00,2.04,0.00,0.00,0.00,67.35
23:33:53,14,26.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,0.00,69.00
23:33:53,15,27.18,0.00,3.88,0.00,0.00,1.94,0.00,0.00,0.00,66.99
23:33:54,4,27.27,0.00,5.05,0.00,0.00,1.01,0.00,0.00,0.00,66.67
23:33:54,5,30.00,0.00,5.00,0.00,0.00,1.00,0.00,0.00,0.00,64.00
23:33:54,6,27.72,0.00,4.95,0.00,0.00,0.99,0.00,0.00,0.00,66.34
23:33:54,7,26.73,0.00,3.96,0.00,0.00,0.99,0.00,0.00,0.00,68.32
23:33:54,12,25.00,0.00,5.00,0.00,0.00,1.00,0.00,0.00,0.00,69.00
23:33:54,13,32.00,0.00,6.00,0.00,0.00,1.00,0.00,0.00,0.00,61.00
23:33:54,14,31.37,0.00,4.90,0.00,0.00,2.94,0.00,0.00,0.00,60.78
23:33:54,15,26.26,0.00,5.05,0.00,0.00,2.02,0.00,0.00,0.00,66.67
23:33:55,4,26.21,0.00,3.88,0.00,0.00,1.94,0.00,0.00,0.00,67.96
23:33:55,5,23.23,0.00,5.05,0.00,0.00,1.01,0.00,0.00,0.00,70.71
