23:40:18,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
23:40:19,4,14.58,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,81.25
23:40:19,5,17.71,0.00,6.25,2.08,0.00,1.04,0.00,0.00,0.00,72.92
23:40:19,6,9.18,0.00,4.08,0.00,0.00,1.02,0.00,0.00,0.00,85.71
23:40:19,7,9.09,0.00,5.05,0.00,0.00,0.00,0.00,0.00,0.00,85.86
23:40:19,12,12.24,0.00,3.06,0.00,0.00,0.00,0.00,0.00,0.00,84.69
23:40:19,13,13.13,0.00,4.04,0.00,0.00,1.01,0.00,0.00,0.00,81.82
23:40:19,14,10.00,0.00,6.00,0.00,0.00,1.00,0.00,0.00,0.00,83.00
23:40:19,15,6.06,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,89.90
23:40:20,4,20.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,71.00
23:40:20,5,24.24,0.00,6.06,0.00,0.00,1.01,0.00,0.00,0.00,68.69
23:40:20,6,23.71,0.00,4.12,0.00,0.00,1.03,0.00,0.00,0.00,71.13
23:40:20,7,24.00,0.00,5.00,0.00,0.00,2.00,0.00,0.00,0.00,69.00
23:40:20,12,22.45,0.00,6.12,0.00,0.00,2.04,0.00,0.00,0.00,69.39
23:40:20,13,23.71,0.00,6.19,0.00,0.00,2.06,0.00,0.00,0.00,68.04
23:40:20,14,24.00,0.00,6.00,0.00,0.00,2.00,0.00,0.00,0.00,68.00
23:40:20,15,21.21,0.00,5.05,0.00,0.00,2.02,0.00,0.00,0.00,71.72
23:40:21,4,25.51,0.00,7.14,0.00,0.00,1.02,0.00,0.00,0.00,66.33
23:40:21,5,29.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,62.00
23:40:21,6,24.49,0.00,8.16,0.00,0.00,2.04,0.00,0.00,0.00,65.31
23:40:21,7,26.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,65.00
23:40:21,12,25.51,0.00,5.10,0.00,0.00,3.06,0.00,0.00,0.00,66.33
23:40:21,13,31.63,0.00,5.10,0.00,0.00,1.02,0.00,0.00,0.00,62.24
23:40:21,14,29.70,0.00,6.93,0.00,0.00,1.98,0.00,0.00,0.00,61.39
23:40:21,15,28.71,0.00,4.95,0.00,0.00,0.99,0.00,0.00,0.00,65.35
23:40:22,4,28.28,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,62.63
23:40:22,5,23.71,0.00,7.22,0.00,0.00,3.09,0.00,0.00,0.00,65.98
23:40:22,6,25.00,0.00,6.00,0.00,0.00,3.00,0.00,0.00,0.00,66.00
23:40:22,7,25.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,65.00
23:40:22,12,25.51,0.00,6.12,0.00,0.00,1.02,0.00,0.00,0.00,67.35
23:40:22,13,25.51,0.00,7.14,0.00,0.00,2.04,0.00,0.00,0.00,65.31
23:40:22,14,26.53,0.00,7.14,0.00,0.00,2.04,0.00,0.00,0.00,64.29
23:40:22,15,24.49,0.00,7.14,0.00,0.00,2.04,0.00,0.00,0.00,66.33
