01:13:46,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
01:13:47,4,24.49,0.00,7.14,0.00,0.00,2.04,0.00,0.00,0.00,66.33
01:13:47,5,30.61,0.00,11.22,0.00,0.00,3.06,0.00,0.00,0.00,55.10
01:13:47,6,25.25,0.00,9.09,0.00,0.00,2.02,0.00,0.00,0.00,63.64
01:13:47,7,22.11,0.00,5.26,2.11,0.00,2.11,0.00,0.00,0.00,68.42
01:13:47,12,26.53,0.00,6.12,0.00,0.00,2.04,0.00,0.00,0.00,65.31
01:13:47,13,27.27,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,62.63
01:13:47,14,23.47,0.00,5.10,0.00,0.00,2.04,0.00,0.00,0.00,69.39
01:13:47,15,22.22,0.00,6.06,0.00,0.00,3.03,0.00,0.00,0.00,68.69
01:13:48,4,52.48,0.00,13.86,0.00,0.00,5.94,0.00,0.00,0.00,27.72
01:13:48,5,51.02,0.00,15.31,0.00,0.00,5.10,0.00,0.00,0.00,28.57
01:13:48,6,51.55,0.00,14.43,0.00,0.00,5.15,0.00,0.00,0.00,28.87
01:13:48,7,52.58,0.00,11.34,0.00,0.00,6.19,0.00,0.00,0.00,29.90
01:13:48,12,54.08,0.00,11.22,0.00,0.00,6.12,0.00,0.00,0.00,28.57
01:13:48,13,52.58,0.00,12.37,0.00,0.00,6.19,0.00,0.00,0.00,28.87
01:13:48,14,53.54,0.00,13.13,0.00,0.00,5.05,0.00,0.00,0.00,28.28
01:13:48,15,51.55,0.00,12.37,0.00,0.00,6.19,0.00,0.00,0.00,29.90
01:13:49,4,52.58,0.00,13.40,0.00,0.00,5.15,0.00,0.00,0.00,28.87
01:13:49,5,52.58,0.00,13.40,0.00,0.00,5.15,0.00,0.00,0.00,28.87
01:13:49,6,53.06,0.00,13.27,0.00,0.00,4.08,0.00,0.00,0.00,29.59
01:13:49,7,51.02,0.00,15.31,0.00,0.00,5.10,0.00,0.00,0.00,28.57
01:13:49,12,52.04,0.00,13.27,0.00,0.00,6.12,0.00,0.00,0.00,28.57
01:13:49,13,53.12,0.00,14.58,0.00,0.00,4.17,0.00,0.00,0.00,28.12
01:13:49,14,52.53,0.00,13.13,0.00,0.00,6.06,0.00,0.00,0.00,28.28
