04:18:18,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
04:18:19,4,16.50,0.00,12.62,0.00,0.00,3.88,0.00,0.00,0.00,66.99
04:18:19,5,20.39,0.00,13.59,0.00,0.00,3.88,0.00,0.00,0.00,62.14
04:18:19,6,15.69,0.00,10.78,0.00,0.00,4.90,0.00,0.00,0.00,68.63
04:18:19,7,14.56,0.00,12.62,0.00,0.00,3.88,0.00,0.00,0.00,68.93
04:18:19,12,17.65,0.00,11.76,0.00,0.00,3.92,0.00,0.00,0.00,66.67
04:18:19,13,18.63,0.00,11.76,0.00,0.00,4.90,0.00,0.00,0.00,64.71
04:18:19,14,17.48,0.00,10.68,0.00,0.00,3.88,0.00,0.00,0.00,67.96
04:18:19,15,14.71,0.00,12.75,0.00,0.00,3.92,0.00,0.00,0.00,68.63
04:18:20,4,18.27,0.00,13.46,0.00,0.00,6.73,0.00,0.00,0.00,61.54
04:18:20,5,18.81,0.00,12.87,0.00,0.00,4.95,0.00,0.00,0.00,63.37
04:18:20,6,16.35,0.00,14.42,0.00,0.00,5.77,0.00,0.00,0.00,63.46
04:18:20,7,17.65,0.00,13.73,0.00,0.00,3.92,0.00,0.00,0.00,64.71
04:18:20,12,18.45,0.00,13.59,0.00,0.00,4.85,0.00,0.00,0.00,63.11
04:18:20,13,17.31,0.00,15.38,0.00,0.00,5.77,0.00,0.00,0.00,61.54
04:18:20,14,16.35,0.00,16.35,0.00,0.00,4.81,0.00,0.00,0.00,62.50
04:18:20,15,17.48,0.00,12.62,0.00,0.00,5.83,0.00,0.00,0.00,64.08
04:18:21,4,19.23,0.00,14.42,0.00,0.00,4.81,0.00,0.00,0.00,61.54
04:18:21,5,18.27,0.00,15.38,0.00,0.00,5.77,0.00,0.00,0.00,60.58
04:18:21,6,20.19,0.00,13.46,0.00,0.00,4.81,0.00,0.00,0.00,61.54
04:18:21,7,20.95,0.00,12.38,0.00,0.00,4.76,0.00,0.00,0.00,61.90
04:18:21,12,20.00,0.00,15.24,0.00,0.00,4.76,0.00,0.00,0.00,60.00
04:18:21,13,19.23,0.00,14.42,0.00,0.00,5.77,0.00,0.00,0.00,60.58
04:18:21,14,17.14,0.00,14.29,0.00,0.00,6.67,0.00,0.00,0.00,61.90
04:18:21,15,19.23,0.00,12.50,0.00,0.00,4.81,0.00,0.00,0.00,63.46
04:18:22,4,20.00,0.00,12.38,0.00,0.00,6.67,0.00,0.00,0.00,60.95
04:18:22,5,20.75,0.00,12.26,0.00,0.00,6.60,0.00,0.00,0.00,60.38
04:18:22,6,17.92,0.00,14.15,0.00,0.00,6.60,0.00,0.00,0.00,61.32
04:18:22,7,19.05,0.00,14.29,0.00,0.00,4.76,0.00,0.00,0.00,61.90
04:18:22,12,18.87,0.00,15.09,0.94,0.00,5.66,0.00,0.00,0.00,59.43
04:18:22,13,19.63,0.00,14.95,0.93,0.00,5.61,0.00,0.00,0.00,58.88
04:18:22,14,20.00,0.00,13.33,0.00,0.00,5.71,0.00,0.00,0.00,60.95
04:18:22,15,16.67,0.00,16.67,0.00,0.00,5.56,0.00,0.00,0.00,61.11
04:18:23,4,17.31,0.00,16.35,0.00,0.00,4.81,0.00,0.00,0.00,61.54
04:18:23,5,18.87,0.00,15.09,0.00,0.00,5.66,0.00,0.00,0.00,60.38
04:18:23,6,18.87,0.00,13.21,0.00,0.00,6.60,0.00,0.00,0.00,61.32
04:18:23,7,20.56,0.00,13.08,0.00,0.00,4.67,0.00,0.00,0.00,61.68
04:18:23,12,19.23,0.00,13.46,0.00,0.00,5.77,0.00,0.00,0.00,61.54
04:18:23,13,19.63,0.00,15.89,0.00,0.00,5.61,0.00,0.00,0.00,58.88
04:18:23,14,17.65,0.00,14.71,0.00,0.00,4.90,0.00,0.00,0.00,62.75
04:18:23,15,17.82,0.00,12.87,0.00,0.00,4.95,0.00,0.00,0.00,64.36
04:18:24,4,20.00,0.00,13.33,0.00,0.00,5.71,0.00,0.00,0.00,60.95
04:18:24,5,18.45,0.00,15.53,0.00,0.00,5.83,0.00,0.00,0.00,60.19
04:18:24,6,18.63,0.00,12.75,0.00,0.00,5.88,0.00,0.00,0.00,62.75
04:18:24,7,16.67,0.00,15.69,0.00,0.00,4.90,0.00,0.00,0.00,62.75
04:18:24,12,20.39,0.00,13.59,0.00,0.00,4.85,0.00,0.00,0.00,61.17
04:18:24,13,19.42,0.00,13.59,0.00,0.00,6.80,0.00,0.00,0.00,60.19
04:18:24,14,21.50,0.00,12.15,0.00,0.00,6.54,0.00,0.00,0.00,59.81
04:18:24,15,15.53,0.00,14.56,0.00,0.00,6.80,0.00,0.00,0.00,63.11
04:18:25,4,15.84,0.00,14.85,0.00,0.00,5.94,0.00,0.00,0.00,63.37
04:18:25,5,18.63,0.00,13.73,0.00,0.00,4.90,0.00,0.00,0.00,62.75
04:18:25,6,18.69,0.00,14.02,0.00,0.00,5.61,0.00,0.00,0.00,61.68
04:18:25,7,18.10,0.00,14.29,0.00,0.00,4.76,0.00,0.00,0.00,62.86
04:18:25,12,19.23,0.00,12.50,0.00,0.00,6.73,0.00,0.00,0.00,61.54
04:18:25,13,18.10,0.00,16.19,0.00,0.00,4.76,0.00,0.00,0.00,60.95
04:18:25,14,19.23,0.00,13.46,0.00,0.00,4.81,0.00,0.00,0.00,62.50
04:18:25,15,16.50,0.00,13.59,0.00,0.00,5.83,0.00,0.00,0.00,64.08
04:18:26,4,18.87,0.00,15.09,0.00,0.00,5.66,0.00,0.00,0.00,60.38
04:18:26,5,21.15,0.00,13.46,0.00,0.00,4.81,0.00,0.00,0.00,60.58
04:18:26,6,18.45,0.00,13.59,0.00,0.00,5.83,0.00,0.00,0.00,62.14
04:18:26,7,19.23,0.00,13.46,0.00,0.00,4.81,0.00,0.00,0.00,62.50
04:18:26,12,20.00,0.00,13.33,0.00,0.00,5.71,0.00,0.00,0.00,60.95
04:18:26,13,19.42,0.00,14.56,0.00,0.00,4.85,0.00,0.00,0.00,61.17
04:18:26,14,20.56,0.00,14.95,0.00,0.00,3.74,0.00,0.00,0.00,60.75
04:18:26,15,19.23,0.00,13.46,0.00,0.00,4.81,0.00,0.00,0.00,62.50
04:18:27,4,19.81,0.00,14.15,0.00,0.00,4.72,0.00,0.00,0.00,61.32
04:18:27,5,16.04,0.00,16.98,0.00,0.00,5.66,0.00,0.00,0.00,61.32
04:18:27,6,16.35,0.00,15.38,0.00,0.00,5.77,0.00,0.00,0.00,62.50
04:18:27,7,17.31,0.00,13.46,0.96,0.00,5.77,0.00,0.00,0.00,62.50
04:18:27,12,18.27,0.00,13.46,0.00,0.00,5.77,0.00,0.00,0.00,62.50
04:18:27,13,17.65,0.00,14.71,0.00,0.00,5.88,0.00,0.00,0.00,61.76
04:18:27,14,16.50,0.00,14.56,0.00,0.00,5.83,0.00,0.00,0.00,63.11
04:18:27,15,18.87,0.00,14.15,0.94,0.00,4.72,0.00,0.00,0.00,61.32
04:18:28,4,17.65,0.00,14.71,0.00,0.00,4.90,0.00,0.00,0.00,62.75
04:18:28,5,19.23,0.00,14.42,0.00,0.00,5.77,0.00,0.00,0.00,60.58
04:18:28,6,19.23,0.00,12.50,0.00,0.00,5.77,0.00,0.00,0.00,62.50
04:18:28,7,16.35,0.00,15.38,0.00,0.00,4.81,0.00,0.00,0.00,63.46
04:18:28,12,19.42,0.00,14.56,0.00,0.00,3.88,0.00,0.00,0.00,62.14
04:18:28,13,18.27,0.00,16.35,0.00,0.00,4.81,0.00,0.00,0.00,60.58
04:18:28,14,18.27,0.00,13.46,0.00,0.00,5.77,0.00,0.00,0.00,62.50
04:18:28,15,17.76,0.00,14.95,0.00,0.00,5.61,0.00,0.00,0.00,61.68
04:18:29,4,19.05,0.00,14.29,0.00,0.00,5.71,0.00,0.00,0.00,60.95
04:18:29,5,19.61,0.00,14.71,0.00,0.00,5.88,0.00,0.00,0.00,59.80
04:18:29,6,17.92,0.00,15.09,0.00,0.00,6.60,0.00,0.00,0.00,60.38
04:18:29,7,17.92,0.00,16.04,0.00,0.00,4.72,0.00,0.00,0.00,61.32
