02:14:28,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
02:14:29,4,6.06,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,89.90
02:14:29,5,18.18,0.00,5.05,0.00,0.00,1.01,0.00,0.00,0.00,75.76
02:14:29,6,5.94,0.00,2.97,0.00,0.00,0.99,0.00,0.00,0.00,90.10
02:14:29,7,4.95,0.00,2.97,0.00,0.00,0.99,0.00,0.00,0.00,91.09
02:14:29,12,4.04,0.00,2.02,0.00,0.00,1.01,0.00,0.00,0.00,92.93
02:14:29,13,6.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00,90.00
02:14:29,14,2.06,0.00,3.09,0.00,0.00,1.03,0.00,0.00,0.00,93.81
02:14:29,15,3.03,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,92.93
02:14:30,4,4.04,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,91.92
02:14:30,5,5.05,0.00,4.04,0.00,0.00,1.01,0.00,0.00,0.00,89.90
02:14:30,6,4.04,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,91.92
02:14:30,7,4.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,92.00
02:14:30,12,3.92,0.00,3.92,0.00,0.00,1.96,0.00,0.00,0.00,90.20
02:14:30,13,4.08,0.00,2.04,0.00,0.00,1.02,0.00,0.00,0.00,92.86
02:14:30,14,5.00,0.00,3.00,0.00,0.00,2.00,0.00,0.00,0.00,90.00
02:14:30,15,4.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,92.00
02:14:31,4,4.04,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,91.92
02:14:31,5,5.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,91.00
02:14:31,6,4.04,0.00,4.04,0.00,0.00,0.00,0.00,0.00,0.00,91.92
02:14:31,7,3.03,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,92.93
02:14:31,12,4.00,0.00,3.00,1.00,0.00,2.00,0.00,0.00,0.00,90.00
02:14:31,13,4.90,0.00,4.90,0.00,0.00,1.96,0.00,0.00,0.00,88.24
02:14:31,14,5.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,91.00
02:14:31,15,4.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,92.00
02:14:32,4,3.03,0.00,4.04,0.00,0.00,1.01,0.00,0.00,0.00,91.92
02:14:32,5,3.03,0.00,4.04,0.00,0.00,2.02,0.00,0.00,0.00,90.91
02:14:32,6,3.96,0.00,3.96,0.00,0.00,1.98,0.00,0.00,0.00,90.10
02:14:32,7,4.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,92.00
02:14:32,12,3.06,0.00,2.04,0.00,0.00,1.02,0.00,0.00,0.00,93.88
02:14:32,13,3.03,0.00,4.04,0.00,0.00,1.01,0.00,0.00,0.00,91.92
02:14:32,14,4.04,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,91.92
02:14:32,15,4.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,92.00
02:14:33,4,5.94,0.00,3.96,0.00,0.00,1.98,0.00,0.00,0.00,88.12
