20:44:08,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
20:44:09,4,24.74,0.00,6.19,0.00,0.00,1.03,0.00,0.00,0.00,68.04
20:44:09,5,31.58,0.00,9.47,2.11,0.00,1.05,0.00,0.00,0.00,55.79
20:44:09,6,22.22,0.00,4.04,0.00,0.00,1.01,0.00,0.00,0.00,72.73
20:44:09,7,18.37,0.00,5.10,2.04,0.00,1.02,0.00,0.00,0.00,73.47
20:44:09,12,23.00,0.00,7.00,0.00,0.00,1.00,0.00,0.00,0.00,69.00
20:44:09,13,25.26,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,69.47
20:44:09,14,25.25,0.00,5.05,0.00,0.00,1.01,0.00,0.00,0.00,68.69
20:44:09,15,20.20,0.00,5.05,0.00,0.00,1.01,0.00,0.00,0.00,73.74
20:44:10,4,57.14,0.00,13.27,0.00,0.00,3.06,0.00,0.00,0.00,26.53
20:44:10,5,55.67,0.00,13.40,0.00,0.00,4.12,0.00,0.00,0.00,26.80
20:44:10,6,56.84,0.00,11.58,0.00,0.00,3.16,0.00,0.00,0.00,28.42
20:44:10,7,55.10,0.00,12.24,0.00,0.00,4.08,0.00,0.00,0.00,28.57
20:44:10,12,58.33,0.00,10.42,0.00,0.00,4.17,0.00,0.00,0.00,27.08
20:44:10,13,57.14,0.00,11.22,0.00,0.00,5.10,0.00,0.00,0.00,26.53
20:44:10,14,56.25,0.00,11.46,0.00,0.00,4.17,0.00,0.00,0.00,28.12
20:44:10,15,56.25,0.00,12.50,0.00,0.00,3.12,0.00,0.00,0.00,28.12
20:44:11,4,65.62,0.00,15.62,0.00,0.00,5.21,0.00,0.00,0.00,13.54
20:44:11,5,65.96,0.00,17.02,0.00,0.00,3.19,0.00,0.00,0.00,13.83
20:44:11,6,68.42,0.00,13.68,0.00,0.00,4.21,0.00,0.00,0.00,13.68
