18:13:43,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
18:13:44,4,11.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,87.00
18:13:44,5,12.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,86.00
18:13:44,6,6.06,0.00,2.02,0.00,0.00,0.00,0.00,0.00,0.00,91.92
18:13:44,7,2.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,95.00
18:13:44,12,11.11,0.00,1.01,0.00,0.00,1.01,0.00,0.00,0.00,86.87
18:13:44,13,17.17,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,78.79
18:13:44,14,9.90,0.00,0.99,0.00,0.00,0.99,0.00,0.00,0.00,88.12
18:13:44,15,3.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,96.94
18:13:45,4,12.12,0.00,1.01,0.00,0.00,0.00,0.00,0.00,0.00,86.87
18:13:45,5,11.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,86.00
18:13:45,6,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94.00
18:13:45,7,4.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.96
18:13:45,12,11.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,88.00
18:13:45,13,20.41,0.00,3.06,0.00,0.00,1.02,0.00,0.00,0.00,75.51
18:13:45,14,12.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,87.00
18:13:45,15,6.73,0.00,0.96,0.00,0.00,0.96,0.00,0.00,0.00,91.35
18:13:46,4,9.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,90.00
18:13:46,5,14.29,0.00,1.02,0.00,0.00,1.02,0.00,0.00,0.00,83.67
18:13:46,6,8.08,0.00,0.00,0.00,0.00,1.01,0.00,0.00,0.00,90.91
18:13:46,7,3.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,96.97
18:13:46,12,12.87,0.00,1.98,0.00,0.00,0.99,0.00,0.00,0.00,84.16
18:13:46,13,19.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,77.00
18:13:46,14,9.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,89.00
18:13:46,15,4.04,0.00,1.01,0.00,0.00,0.00,0.00,0.00,0.00,94.95
18:13:47,4,8.08,0.00,2.02,0.00,0.00,0.00,0.00,0.00,0.00,89.90
18:13:47,5,10.10,0.00,1.01,0.00,0.00,0.00,0.00,0.00,0.00,88.89
18:13:47,6,9.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00
18:13:47,7,4.90,0.00,0.98,0.00,0.00,0.00,0.00,0.00,0.00,94.12
18:13:47,12,14.14,0.00,1.01,0.00,0.00,1.01,0.00,0.00,0.00,83.84
18:13:47,13,20.41,0.00,4.08,0.00,0.00,1.02,0.00,0.00,0.00,74.49
18:13:47,14,11.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,87.00
18:13:47,15,8.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,91.92
18:13:48,4,14.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,83.00
18:13:48,5,11.11,0.00,2.02,0.00,0.00,0.00,0.00,0.00,0.00,86.87
18:13:48,6,8.91,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.00,89.11
18:13:48,7,7.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,91.00
18:13:48,12,11.88,0.00,0.99,0.00,0.00,0.99,0.00,0.00,0.00,86.14
18:13:48,13,16.16,0.00,2.02,0.00,0.00,0.00,0.00,0.00,0.00,81.82
18:13:48,14,6.06,0.00,0.00,0.00,0.00,1.01,0.00,0.00,0.00,92.93
18:13:48,15,3.96,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,95.05
18:13:49,4,12.12,0.00,1.01,0.00,0.00,1.01,0.00,0.00,0.00,85.86
18:13:49,5,18.75,0.00,2.08,0.00,0.00,1.04,0.00,0.00,0.00,78.12
18:13:49,6,9.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,87.00
18:13:49,7,6.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,93.00
18:13:49,12,11.88,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.00,86.14
18:13:49,13,10.68,0.00,0.97,0.00,0.00,0.97,0.00,0.00,0.00,87.38
18:13:49,14,9.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00
18:13:49,15,1.98,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,97.03
18:13:50,4,13.13,0.00,2.02,0.00,0.00,1.01,0.00,0.00,0.00,83.84
18:13:50,5,19.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,0.00,76.00
18:13:50,6,17.17,0.00,2.02,0.00,0.00,1.01,0.00,0.00,0.00,79.80
18:13:50,7,6.93,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.00,91.09
18:13:50,12,2.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,97.98
18:13:50,13,11.88,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,87.13
18:13:50,14,6.06,0.00,1.01,0.00,0.00,0.00,0.00,0.00,0.00,92.93
18:13:50,15,1.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.99
18:13:51,4,17.82,0.00,1.98,0.00,0.00,0.99,0.00,0.00,0.00,79.21
18:13:51,5,21.43,0.00,2.04,0.00,0.00,2.04,0.00,0.00,0.00,74.49
18:13:51,6,14.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,83.00
18:13:51,7,5.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94.95
18:13:51,12,1.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.02
18:13:51,13,13.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,84.00
18:13:51,14,1.98,0.00,1.98,0.00,0.00,0.99,0.00,0.00,0.00,95.05
18:13:51,15,4.95,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,94.06
18:13:52,4,11.34,0.00,2.06,0.00,0.00,0.00,0.00,0.00,0.00,86.60
18:13:52,5,14.29,0.00,2.04,0.00,0.00,0.00,0.00,0.00,0.00,83.67
18:13:52,6,12.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.76
18:13:52,7,3.96,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,95.05
18:13:52,12,8.08,0.00,1.01,0.00,0.00,0.00,0.00,0.00,0.00,90.91
18:13:52,13,18.37,0.00,2.04,0.00,0.00,1.02,0.00,0.00,0.00,78.57
18:13:52,14,9.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00
18:13:52,15,4.95,0.00,0.99,0.00,0.00,0.99,0.00,0.00,0.00,93.07
18:13:53,4,12.87,0.00,1.98,0.00,0.00,0.99,0.00,0.00,0.00,84.16
18:13:53,5,11.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,86.00
18:13:53,6,3.96,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,95.05
18:13:53,7,3.96,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,95.05
18:13:53,12,16.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,83.00
18:13:53,13,21.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,76.00
18:13:53,14,12.12,0.00,2.02,0.00,0.00,1.01,0.00,0.00,0.00,84.85
18:13:53,15,2.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,97.00
18:13:54,4,16.49,0.00,2.06,0.00,0.00,1.03,0.00,0.00,0.00,80.41
18:13:54,5,6.19,0.00,1.03,0.00,0.00,0.00,0.00,0.00,0.00,92.78
18:13:54,6,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,92.86
18:13:54,7,5.05,0.00,1.01,0.00,0.00,0.00,0.00,0.00,0.00,93.94
18:13:54,12,7.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,91.00
18:13:54,13,21.65,0.00,3.09,0.00,0.00,1.03,0.00,0.00,0.00,74.23
18:13:54,14,5.94,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,93.07
18:13:54,15,7.92,0.00,2.97,0.00,0.00,0.00,0.00,0.00,0.00,89.11
18:13:55,4,16.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,81.00
18:13:55,5,13.86,0.00,1.98,0.00,0.00,0.99,0.00,0.00,0.00,83.17
18:13:55,6,10.10,0.00,2.02,0.00,0.00,0.00,0.00,0.00,0.00,87.88
18:13:55,7,4.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.96
18:13:55,12,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00
18:13:55,13,16.83,0.00,0.99,0.00,0.00,0.99,0.00,0.00,0.00,81.19
18:13:55,14,6.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,93.00
