19:20:46,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
19:20:47,4,29.41,0.00,1.96,0.00,0.00,0.98,0.00,0.00,0.00,67.65
19:20:47,5,30.30,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,65.66
19:20:47,6,24.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00,72.00
19:20:47,7,17.82,0.00,0.99,0.00,0.00,0.99,0.00,0.00,0.00,80.20
19:20:47,12,27.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,71.00
19:20:47,13,35.00,0.00,4.00,0.00,0.00,2.00,0.00,0.00,0.00,59.00
19:20:47,14,28.28,0.00,2.02,0.00,0.00,2.02,0.00,0.00,0.00,67.68
19:20:47,15,21.57,0.00,2.94,0.00,0.00,0.98,0.00,0.00,0.00,74.51
19:20:48,4,33.33,0.00,2.94,0.00,0.00,1.96,0.00,0.00,0.00,61.76
19:20:48,5,34.31,0.00,4.90,0.00,0.00,1.96,0.00,0.00,0.00,58.82
19:20:48,6,32.35,0.00,3.92,0.00,0.00,0.98,0.00,0.00,0.00,62.75
19:20:48,7,29.70,0.00,3.96,0.00,0.00,0.99,0.00,0.00,0.00,65.35
19:20:48,12,35.24,0.00,2.86,0.00,0.00,1.90,0.00,0.00,0.00,60.00
19:20:48,13,30.69,0.00,1.98,0.00,0.00,1.98,0.00,0.00,0.00,65.35
19:20:48,14,33.01,0.00,3.88,0.00,0.00,0.97,0.00,0.00,0.00,62.14
19:20:48,15,28.16,0.00,2.91,0.00,0.00,1.94,0.00,0.00,0.00,66.99
19:20:49,4,29.70,0.00,2.97,0.00,0.00,1.98,0.00,0.00,0.00,65.35
19:20:49,5,33.98,0.00,2.91,0.00,0.00,0.97,0.00,0.00,0.00,62.14
19:20:49,6,30.10,0.00,3.88,0.00,0.00,1.94,0.00,0.00,0.00,64.08
19:20:49,7,31.37,0.00,2.94,0.00,0.00,1.96,0.00,0.00,0.00,63.73
19:20:49,12,35.92,0.00,2.91,0.00,0.00,1.94,0.00,0.00,0.00,59.22
19:20:49,13,36.27,0.00,3.92,0.00,0.00,0.98,0.00,0.00,0.00,58.82
19:20:49,14,35.29,0.00,2.94,0.00,0.00,0.98,0.00,0.00,0.00,60.78
19:20:49,15,32.35,0.00,3.92,0.00,0.00,0.98,0.00,0.00,0.00,62.75
19:20:50,4,32.69,0.00,2.88,0.00,0.00,1.92,0.00,0.00,0.00,62.50
19:20:50,5,33.01,0.00,3.88,0.97,0.00,0.97,0.00,0.00,0.00,61.17
19:20:50,6,33.33,0.00,2.94,0.00,0.00,1.96,0.00,0.00,0.00,61.76
19:20:50,7,30.77,0.00,2.88,0.00,0.00,1.92,0.00,0.00,0.00,64.42
19:20:50,12,37.86,0.00,2.91,0.00,0.00,1.94,0.00,0.00,0.00,57.28
19:20:50,13,34.29,0.00,3.81,0.00,0.00,1.90,0.00,0.00,0.00,60.00
19:20:50,14,25.00,0.00,2.88,0.00,0.00,1.92,0.00,0.00,0.00,70.19
19:20:50,15,30.69,0.00,2.97,0.00,0.00,0.99,0.00,0.00,0.00,65.35
19:20:51,4,32.99,0.00,3.09,0.00,0.00,2.06,0.00,0.00,0.00,61.86
19:20:51,5,33.66,0.00,2.97,0.00,0.00,1.98,0.00,0.00,0.00,61.39
19:20:51,6,34.29,0.00,2.86,0.00,0.00,0.95,0.00,0.00,0.00,61.90
19:20:51,7,27.88,0.00,2.88,0.00,0.00,0.96,0.00,0.00,0.00,68.27
19:20:51,12,36.19,0.00,3.81,0.00,0.00,1.90,0.00,0.00,0.00,58.10
19:20:51,13,33.33,0.00,3.92,0.00,0.00,0.98,0.00,0.00,0.00,61.76
19:20:51,14,33.66,0.00,2.97,0.00,0.00,0.99,0.00,0.00,0.00,62.38
19:20:51,15,29.70,0.00,1.98,0.00,0.00,0.99,0.00,0.00,0.00,67.33
19:20:52,4,37.50,0.00,3.85,0.00,0.00,0.96,0.00,0.00,0.00,57.69
19:20:52,5,33.01,0.00,4.85,0.00,0.00,1.94,0.00,0.00,0.00,60.19
19:20:52,6,35.58,0.00,3.85,0.00,0.00,2.88,0.00,0.00,0.00,57.69
19:20:52,7,26.92,0.00,3.85,0.00,0.00,0.96,0.00,0.00,0.00,68.27
19:20:52,12,32.35,0.00,2.94,0.00,0.00,1.96,0.00,0.00,0.00,62.75
19:20:52,13,30.77,0.00,1.92,0.00,0.00,1.92,0.00,0.00,0.00,65.38
19:20:52,14,32.35,0.00,3.92,0.00,0.00,0.98,0.00,0.00,0.00,62.75
19:20:52,15,27.88,0.00,2.88,0.00,0.00,1.92,0.00,0.00,0.00,67.31
19:20:53,4,35.58,0.00,2.88,0.00,0.00,2.88,0.00,0.00,0.00,58.65
19:20:53,5,33.65,0.00,3.85,0.00,0.00,1.92,0.00,0.00,0.00,60.58
19:20:53,6,32.04,0.00,2.91,0.00,0.00,0.97,0.00,0.00,0.00,64.08
19:20:53,7,29.41,0.00,2.94,0.00,0.00,0.98,0.00,0.00,0.00,66.67
19:20:53,12,31.07,0.00,3.88,0.00,0.00,0.97,0.00,0.00,0.00,64.08
19:20:53,13,36.79,0.00,3.77,0.00,0.00,2.83,0.00,0.00,0.00,56.60
19:20:53,14,30.10,0.00,3.88,0.00,0.00,1.94,0.00,0.00,0.00,64.08
19:20:53,15,27.88,0.00,2.88,0.00,0.00,1.92,0.00,0.00,0.00,67.31
19:20:54,4,33.98,0.00,3.88,0.00,0.00,0.97,0.00,0.00,0.00,61.17
19:20:54,5,38.24,0.00,3.92,0.00,0.00,1.96,0.00,0.00,0.00,55.88
19:20:54,6,33.33,0.00,2.94,0.00,0.00,1.96,0.00,0.00,0.00,61.76
19:20:54,7,25.74,0.00,1.98,0.00,0.00,0.99,0.00,0.00,0.00,71.29
19:20:54,12,30.39,0.00,3.92,0.00,0.00,0.98,0.00,0.00,0.00,64.71
19:20:54,13,38.00,0.00,5.00,0.00,0.00,1.00,0.00,0.00,0.00,56.00
19:20:54,14,34.65,0.00,3.96,0.00,0.00,1.98,0.00,0.00,0.00,59.41
19:20:54,15,29.41,0.00,2.94,0.00,0.00,0.98,0.00,0.00,0.00,66.67
19:20:55,4,33.65,0.00,1.92,0.00,0.00,0.96,0.00,0.00,0.00,63.46
19:20:55,5,27.45,0.00,2.94,0.00,0.00,1.96,0.00,0.00,0.00,67.65
19:20:55,6,26.73,0.00,1.98,0.00,0.00,0.99,0.00,0.00,0.00,70.30
19:20:55,7,32.38,0.00,2.86,0.00,0.00,0.95,0.00,0.00,0.00,63.81
19:20:55,12,33.66,0.00,3.96,0.00,0.00,0.99,0.00,0.00,0.00,61.39
19:20:55,13,33.01,0.00,2.91,0.00,0.00,1.94,0.00,0.00,0.00,62.14
19:20:55,14,39.81,0.00,4.85,0.00,0.00,1.94,0.00,0.00,0.00,53.40
19:20:55,15,33.98,0.00,2.91,0.00,0.00,1.94,0.00,0.00,0.00,61.17
19:20:56,4,33.01,0.00,2.91,0.00,0.00,1.94,0.00,0.00,0.00,62.14
19:20:56,5,34.65,0.00,2.97,0.00,0.00,0.99,0.00,0.00,0.00,61.39
19:20:56,6,29.70,0.00,3.96,0.00,0.00,0.99,0.00,0.00,0.00,65.35
19:20:56,7,28.16,0.00,2.91,0.00,0.00,1.94,0.00,0.00,0.00,66.99
19:20:56,12,37.50,0.00,2.88,0.00,0.00,1.92,0.00,0.00,0.00,57.69
19:20:56,13,28.71,0.00,2.97,0.00,0.00,0.99,0.00,0.00,0.00,67.33
19:20:56,14,35.29,0.00,2.94,0.00,0.00,0.98,0.00,0.00,0.00,60.78
19:20:56,15,30.10,0.00,2.91,0.00,0.00,1.94,0.00,0.00,0.00,65.05
19:20:57,4,33.66,0.00,2.97,0.00,0.00,1.98,0.00,0.00,0.00,61.39
19:20:57,5,35.64,0.00,2.97,0.00,0.00,1.98,0.00,0.00,0.00,59.41
19:20:57,6,35.58,0.00,2.88,0.00,0.00,1.92,0.00,0.00,0.00,59.62
19:20:57,7,25.96,0.00,1.92,0.00,0.00,1.92,0.00,0.00,0.00,70.19
19:20:57,12,29.29,0.00,2.02,0.00,0.00,1.01,0.00,0.00,0.00,67.68
19:20:57,13,34.31,0.00,2.94,0.00,0.00,2.94,0.00,0.00,0.00,59.80
19:20:57,14,32.35,0.00,1.96,0.00,0.00,1.96,0.00,0.00,0.00,63.73
19:20:57,15,29.41,0.00,1.96,0.00,0.00,0.98,0.00,0.00,0.00,67.65
19:20:58,4,35.64,0.00,2.97,0.00,0.00,0.99,0.00,0.00,0.00,60.40
19:20:58,5,35.29,0.00,3.92,0.00,0.00,1.96,0.00,0.00,0.00,58.82
19:20:58,6,32.67,0.00,3.96,0.00,0.00,0.99,0.00,0.00,0.00,62.38
19:20:58,7,26.47,0.00,2.94,0.00,0.00,0.98,0.00,0.00,0.00,69.61
19:20:58,12,32.35,0.00,2.94,0.00,0.00,1.96,0.00,0.00,0.00,62.75
19:20:58,13,32.04,0.00,2.91,0.00,0.00,0.97,0.00,0.00,0.00,64.08
19:20:58,14,35.58,0.00,3.85,0.00,0.00,0.96,0.00,0.00,0.00,59.62
19:20:58,15,29.81,0.00,2.88,0.00,0.00,0.96,0.00,0.00,0.00,66.35
19:20:59,4,35.29,0.00,3.92,0.00,0.00,1.96,0.00,0.00,0.00,58.82
19:20:59,5,37.25,0.00,3.92,0.00,0.00,1.96,0.00,0.00,0.00,56.86
19:20:59,6,33.65,0.00,3.85,0.00,0.00,1.92,0.00,0.00,0.00,60.58
19:20:59,7,30.48,0.00,3.81,0.00,0.00,0.95,0.00,0.00,0.00,64.76
19:20:59,12,33.65,0.00,3.85,0.00,0.00,1.92,0.00,0.00,0.00,60.58
19:20:59,13,37.62,0.00,3.96,0.00,0.00,1.98,0.00,0.00,0.00,56.44
19:20:59,14,33.33,0.00,2.86,0.00,0.00,1.90,0.00,0.00,0.00,61.90
19:20:59,15,29.70,0.00,2.97,0.00,0.00,0.99,0.00,0.00,0.00,66.34
19:21:00,4,34.65,0.00,4.95,0.00,0.00,0.99,0.00,0.00,0.00,59.41
19:21:00,5,33.01,0.00,2.91,0.00,0.00,1.94,0.00,0.00,0.00,62.14
19:21:00,6,35.58,0.00,3.85,0.00,0.00,1.92,0.00,0.00,0.00,58.65
19:21:00,7,30.77,0.00,2.88,0.00,0.00,1.92,0.00,0.00,0.00,64.42
19:21:00,12,34.95,0.00,1.94,0.00,0.00,1.94,0.00,0.00,0.00,61.17
19:21:00,13,36.89,0.00,3.88,0.00,0.00,1.94,0.00,0.00,0.00,57.28
19:21:00,14,34.62,0.00,2.88,0.00,0.00,0.96,0.00,0.00,0.00,61.54
19:21:00,15,25.96,0.00,2.88,0.00,0.00,0.96,0.00,0.00,0.00,70.19
19:21:01,4,30.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,0.00,65.00
19:21:01,5,30.10,0.00,2.91,0.00,0.00,1.94,0.00,0.00,0.00,65.05
19:21:01,6,35.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,0.00,60.00
19:21:01,7,27.88,0.00,2.88,0.00,0.00,1.92,0.00,0.00,0.00,67.31
19:21:01,12,33.66,0.00,3.96,0.00,0.00,1.98,0.00,0.00,0.00,60.40
19:21:01,13,33.98,0.00,2.91,0.00,0.00,0.97,0.00,0.00,0.00,62.14
19:21:01,14,35.92,0.00,2.91,0.00,0.00,1.94,0.00,0.00,0.00,59.22
19:21:01,15,30.77,0.00,1.92,0.00,0.00,1.92,0.00,0.00,0.00,65.38
19:21:02,4,36.89,0.00,4.85,0.00,0.00,1.94,0.00,0.00,0.00,56.31
19:21:02,5,35.64,0.00,3.96,0.00,0.00,0.99,0.00,0.00,0.00,59.41
19:21:02,6,33.65,0.00,3.85,0.00,0.00,0.96,0.00,0.00,0.00,61.54
19:21:02,7,28.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,69.00
19:21:02,12,39.22,0.00,1.96,0.00,0.00,1.96,0.00,0.00,0.00,56.86
19:21:02,13,39.42,0.00,3.85,0.00,0.00,0.96,0.00,0.00,0.00,55.77
19:21:02,14,28.85,0.00,2.88,0.00,0.00,1.92,0.00,0.00,0.00,66.35
19:21:02,15,19.42,0.00,1.94,0.00,0.00,0.97,0.00,0.00,0.00,77.67
19:21:03,4,33.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,64.00
19:21:03,5,33.33,0.00,2.94,0.00,0.00,1.96,0.00,0.00,0.00,61.76
19:21:03,6,27.18,0.00,1.94,0.00,0.00,0.97,0.00,0.00,0.00,69.90
19:21:03,7,29.70,0.00,2.97,0.00,0.00,0.00,0.00,0.00,0.00,67.33
19:21:03,12,37.25,0.00,2.94,0.00,0.00,1.96,0.00,0.00,0.00,57.84
19:21:03,13,35.29,0.00,3.92,0.00,0.00,1.96,0.00,0.00,0.00,58.82
