19:57:30,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
19:57:31,4,26.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,70.00
19:57:31,5,29.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,62.00
19:57:31,6,19.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,0.00,76.00
19:57:31,7,18.81,0.00,2.97,0.00,0.00,0.00,0.00,0.00,0.00,78.22
19:57:31,12,24.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,73.00
19:57:31,13,24.24,0.00,4.04,0.00,0.00,0.00,0.00,0.00,0.00,71.72
19:57:31,14,20.20,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,75.76
19:57:31,15,17.35,0.00,2.04,0.00,0.00,1.02,0.00,0.00,0.00,79.59
19:57:32,4,48.54,0.00,4.85,0.00,0.00,0.97,0.00,0.00,0.00,45.63
19:57:32,5,46.08,0.00,5.88,0.00,0.00,0.98,0.00,0.00,0.00,47.06
19:57:32,6,47.12,0.00,3.85,0.00,0.00,1.92,0.00,0.00,0.00,47.12
19:57:32,7,44.23,0.00,4.81,0.00,0.00,1.92,0.00,0.00,0.00,49.04
19:57:32,12,44.66,0.00,5.83,0.00,0.00,2.91,0.00,0.00,0.00,46.60
19:57:32,13,44.23,0.00,5.77,0.00,0.00,2.88,0.00,0.00,0.00,47.12
19:57:32,14,45.54,0.00,4.95,0.00,0.00,1.98,0.00,0.00,0.00,47.52
19:57:32,15,45.19,0.00,5.77,0.00,0.00,0.96,0.00,0.00,0.00,48.08
19:57:33,4,46.67,0.00,4.76,0.00,0.00,1.90,0.00,0.00,0.00,46.67
19:57:33,5,42.72,0.00,3.88,0.00,0.00,1.94,0.00,0.00,0.00,51.46
19:57:33,6,45.71,0.00,4.76,0.00,0.00,2.86,0.00,0.00,0.00,46.67
19:57:33,7,47.62,0.00,3.81,0.00,0.00,1.90,0.00,0.00,0.00,46.67
19:57:33,12,47.12,0.00,3.85,0.00,0.00,1.92,0.00,0.00,0.00,47.12
19:57:33,13,46.53,0.00,2.97,0.00,0.00,1.98,0.00,0.00,0.00,48.51
19:57:33,14,45.71,0.00,4.76,0.00,0.00,1.90,0.00,0.00,0.00,47.62
19:57:33,15,47.17,0.00,4.72,0.00,0.00,1.89,0.00,0.00,0.00,46.23
19:57:34,4,42.31,0.00,4.81,0.00,0.00,3.85,0.00,0.00,0.00,49.04
19:57:34,5,44.76,0.00,4.76,0.00,0.00,1.90,0.00,0.00,0.00,48.57
19:57:34,6,46.73,0.00,4.67,0.00,0.00,1.87,0.00,0.00,0.00,46.73
19:57:34,7,46.08,0.00,4.90,0.00,0.00,1.96,0.00,0.00,0.00,47.06
19:57:34,12,48.11,0.00,4.72,0.00,0.00,1.89,0.00,0.00,0.00,45.28
19:57:34,13,48.11,0.00,4.72,0.00,0.00,1.89,0.00,0.00,0.00,45.28
19:57:34,14,45.28,0.00,6.60,0.00,0.00,1.89,0.00,0.00,0.00,46.23
19:57:34,15,44.76,0.00,6.67,0.00,0.00,1.90,0.00,0.00,0.00,46.67
19:57:35,4,46.08,0.00,4.90,0.00,0.00,1.96,0.00,0.00,0.00,47.06
19:57:35,5,46.15,0.00,4.81,0.00,0.00,2.88,0.00,0.00,0.00,46.15
19:57:35,6,48.57,0.00,5.71,0.00,0.00,2.86,0.00,0.00,0.00,42.86
19:57:35,7,42.57,0.00,3.96,0.00,0.00,1.98,0.00,0.00,0.00,51.49
19:57:35,12,45.00,0.00,6.00,0.00,0.00,3.00,0.00,0.00,0.00,46.00
19:57:35,13,49.51,0.00,4.85,0.00,0.00,1.94,0.00,0.00,0.00,43.69
19:57:35,14,48.08,0.00,5.77,0.00,0.00,1.92,0.00,0.00,0.00,44.23
19:57:35,15,45.19,0.00,5.77,0.00,0.00,1.92,0.00,0.00,0.00,47.12
19:57:36,4,45.28,0.00,4.72,0.00,0.00,1.89,0.00,0.00,0.00,48.11
19:57:36,5,48.04,0.00,5.88,0.00,0.00,1.96,0.00,0.00,0.00,44.12
19:57:36,6,48.54,0.00,3.88,0.00,0.00,0.97,0.00,0.00,0.00,46.60
19:57:36,7,46.30,0.00,3.70,0.00,0.00,2.78,0.00,0.00,0.00,47.22
19:57:36,12,45.79,0.00,5.61,0.00,0.00,2.80,0.00,0.00,0.00,45.79
19:57:36,13,49.06,0.00,3.77,0.00,0.00,2.83,0.00,0.00,0.00,44.34
19:57:36,14,46.23,0.00,4.72,0.00,0.00,0.94,0.00,0.00,0.00,48.11
19:57:36,15,47.17,0.00,2.83,0.00,0.00,0.94,0.00,0.00,0.00,49.06
19:57:37,4,46.67,0.00,3.81,0.00,0.00,1.90,0.00,0.00,0.00,47.62
19:57:37,5,45.63,0.00,5.83,0.00,0.00,0.97,0.00,0.00,0.00,47.57
19:57:37,6,44.76,0.00,4.76,0.00,0.00,2.86,0.00,0.00,0.00,47.62
19:57:37,7,44.66,0.00,3.88,0.00,0.00,1.94,0.00,0.00,0.00,49.51
19:57:37,12,45.19,0.00,4.81,0.00,0.00,0.96,0.00,0.00,0.00,49.04
19:57:37,13,50.00,0.00,4.90,0.00,0.00,1.96,0.00,0.00,0.00,43.14
