21:54:33,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
21:54:34,4,4.95,0.00,2.97,0.00,0.00,0.99,0.00,0.00,0.00,91.09
21:54:34,5,6.19,0.00,2.06,0.00,0.00,1.03,0.00,0.00,0.00,90.72
21:54:34,6,3.09,0.00,3.09,0.00,0.00,0.00,0.00,0.00,0.00,93.81
21:54:34,7,3.06,0.00,2.04,0.00,0.00,1.02,0.00,0.00,0.00,93.88
21:54:34,12,5.05,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,90.91
21:54:34,13,5.94,0.00,2.97,0.00,0.00,0.00,0.00,0.00,0.00,91.09
21:54:34,14,1.01,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,94.95
21:54:34,15,1.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,96.00
21:54:35,4,2.06,0.00,3.09,0.00,0.00,0.00,0.00,0.00,0.00,94.85
21:54:35,5,2.02,0.00,4.04,0.00,0.00,0.00,0.00,0.00,0.00,93.94
21:54:35,6,4.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00,92.00
21:54:35,7,3.03,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,92.93
21:54:35,12,2.02,0.00,4.04,0.00,0.00,1.01,0.00,0.00,0.00,92.93
21:54:35,13,3.03,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,92.93
21:54:35,14,3.96,0.00,2.97,0.00,0.00,0.99,0.00,0.00,0.00,92.08
21:54:35,15,2.02,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,93.94
21:54:36,4,2.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,0.00,93.00
21:54:36,5,3.06,0.00,3.06,0.00,0.00,1.02,0.00,0.00,0.00,92.86
21:54:36,6,1.98,0.00,4.95,0.00,0.00,0.99,0.00,0.00,0.00,92.08
21:54:36,7,2.02,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,93.94
21:54:36,12,3.03,0.00,3.03,0.00,0.00,0.00,0.00,0.00,0.00,93.94
21:54:36,13,3.03,0.00,3.03,0.00,0.00,0.00,0.00,0.00,0.00,93.94
21:54:36,14,2.06,0.00,2.06,0.00,0.00,1.03,0.00,0.00,0.00,94.85
21:54:36,15,1.02,0.00,3.06,0.00,0.00,0.00,0.00,0.00,0.00,95.92
21:54:37,4,2.02,0.00,3.03,0.00,0.00,2.02,0.00,0.00,0.00,92.93
21:54:37,5,2.02,0.00,5.05,0.00,0.00,1.01,0.00,0.00,0.00,91.92
21:54:37,6,2.02,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,93.94
21:54:37,7,2.02,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,93.94
21:54:37,12,2.04,0.00,2.04,0.00,0.00,1.02,0.00,0.00,0.00,94.90
21:54:37,13,2.02,0.00,3.03,0.00,0.00,2.02,0.00,0.00,0.00,92.93
21:54:37,14,2.02,0.00,2.02,0.00,0.00,2.02,0.00,0.00,0.00,93.94
21:54:37,15,3.03,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,92.93
21:54:38,4,4.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,92.00
21:54:38,5,2.04,0.00,4.08,0.00,0.00,0.00,0.00,0.00,0.00,93.88
21:54:38,6,3.03,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,92.93
21:54:38,7,2.06,0.00,3.09,0.00,0.00,1.03,0.00,0.00,0.00,93.81
21:54:38,12,4.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,92.00
21:54:38,13,5.05,0.00,4.04,0.00,0.00,1.01,0.00,0.00,0.00,89.90
21:54:38,14,6.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,0.00,89.00
21:54:38,15,2.02,0.00,3.03,0.00,0.00,2.02,0.00,0.00,0.00,92.93
21:54:39,4,2.02,0.00,4.04,0.00,0.00,1.01,0.00,0.00,0.00,92.93
21:54:39,5,2.02,0.00,4.04,0.00,0.00,2.02,0.00,0.00,0.00,91.92
21:54:39,6,3.09,0.00,5.15,2.06,0.00,1.03,0.00,0.00,0.00,88.66
21:54:39,7,3.03,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,92.93
21:54:39,12,3.03,0.00,4.04,1.01,0.00,0.00,0.00,0.00,0.00,91.92
21:54:39,13,2.08,0.00,2.08,2.08,0.00,1.04,0.00,0.00,0.00,92.71
21:54:39,14,3.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,0.00,92.00
21:54:39,15,2.02,0.00,3.03,0.00,0.00,0.00,0.00,0.00,0.00,94.95
21:54:40,4,2.02,0.00,4.04,0.00,0.00,1.01,0.00,0.00,0.00,92.93
21:54:40,5,2.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00,94.00
21:54:40,6,3.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,93.00
21:54:40,7,2.02,0.00,2.02,0.00,0.00,2.02,0.00,0.00,0.00,93.94
21:54:40,12,2.02,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,93.94
21:54:40,13,2.94,0.00,5.88,0.00,0.00,1.96,0.00,0.00,0.00,89.22
21:54:40,14,1.03,0.00,3.09,0.00,0.00,1.03,0.00,0.00,0.00,94.85
21:54:40,15,2.02,0.00,4.04,0.00,0.00,2.02,0.00,0.00,0.00,91.92
21:54:41,4,3.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,93.00
21:54:41,5,2.04,0.00,3.06,0.00,0.00,1.02,0.00,0.00,0.00,93.88
21:54:41,6,2.04,0.00,2.04,0.00,0.00,1.02,0.00,0.00,0.00,94.90
21:54:41,7,1.02,0.00,3.06,0.00,0.00,1.02,0.00,0.00,0.00,94.90
21:54:41,12,2.04,0.00,3.06,0.00,0.00,1.02,0.00,0.00,0.00,93.88
21:54:41,13,2.04,0.00,2.04,0.00,0.00,1.02,0.00,0.00,0.00,94.90
21:54:41,14,2.06,0.00,2.06,0.00,0.00,0.00,0.00,0.00,0.00,95.88
21:54:41,15,2.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,94.00
21:54:42,4,3.03,0.00,3.03,0.00,0.00,2.02,0.00,0.00,0.00,91.92
21:54:42,5,2.04,0.00,3.06,0.00,0.00,1.02,0.00,0.00,0.00,93.88
21:54:42,6,3.03,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,92.93
21:54:42,7,3.06,0.00,3.06,0.00,0.00,0.00,0.00,0.00,0.00,93.88
21:54:42,12,3.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,93.00
21:54:42,13,2.04,0.00,2.04,0.00,0.00,1.02,0.00,0.00,0.00,94.90
21:54:42,14,2.97,0.00,3.96,0.00,0.00,0.99,0.00,0.00,0.00,92.08
21:54:42,15,2.02,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,93.94
21:54:43,4,2.06,0.00,2.06,0.00,0.00,0.00,0.00,0.00,0.00,95.88
21:54:43,5,4.08,0.00,3.06,0.00,0.00,1.02,0.00,0.00,0.00,91.84
21:54:43,6,2.02,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,93.94
21:54:43,7,2.00,0.00,4.00,0.00,0.00,2.00,0.00,0.00,0.00,92.00
21:54:43,12,3.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,0.00,92.00
21:54:43,13,2.04,0.00,4.08,0.00,0.00,1.02,0.00,0.00,0.00,92.86
21:54:43,14,4.04,0.00,3.03,0.00,0.00,2.02,0.00,0.00,0.00,90.91
21:54:43,15,2.06,0.00,3.09,0.00,0.00,0.00,0.00,0.00,0.00,94.85
21:54:44,4,3.03,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,92.93
21:54:44,5,2.04,0.00,3.06,0.00,0.00,1.02,0.00,0.00,0.00,93.88
21:54:44,6,2.08,0.00,3.12,0.00,0.00,0.00,0.00,0.00,0.00,94.79
21:54:44,7,3.03,0.00,3.03,0.00,0.00,0.00,0.00,0.00,0.00,93.94
21:54:44,12,3.03,0.00,3.03,1.01,0.00,1.01,0.00,0.00,0.00,91.92
21:54:44,13,3.03,0.00,4.04,0.00,0.00,1.01,0.00,0.00,0.00,91.92
21:54:44,14,3.09,0.00,2.06,0.00,0.00,0.00,0.00,0.00,0.00,94.85
21:54:44,15,3.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,93.00
21:54:45,4,2.00,0.00,5.00,0.00,0.00,1.00,0.00,0.00,0.00,92.00
21:54:45,5,3.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,93.00
21:54:45,6,2.97,0.00,2.97,0.00,0.00,1.98,0.00,0.00,0.00,92.08
21:54:45,7,2.04,0.00,2.04,0.00,0.00,1.02,0.00,0.00,0.00,94.90
21:54:45,12,2.04,0.00,2.04,0.00,0.00,1.02,0.00,0.00,0.00,94.90
21:54:45,13,2.02,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,93.94
21:54:45,14,3.03,0.00,2.02,0.00,0.00,1.01,0.00,0.00,0.00,93.94
21:54:45,15,3.03,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,92.93
21:54:46,4,2.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,0.00,93.00
21:54:46,5,2.04,0.00,3.06,0.00,0.00,1.02,0.00,0.00,0.00,93.88
21:54:46,6,2.02,0.00,4.04,0.00,0.00,1.01,0.00,0.00,0.00,92.93
21:54:46,7,2.04,0.00,3.06,0.00,0.00,1.02,0.00,0.00,0.00,93.88
21:54:46,12,2.08,0.00,2.08,0.00,0.00,0.00,0.00,0.00,0.00,95.83
21:54:46,13,2.06,0.00,2.06,0.00,0.00,1.03,0.00,0.00,0.00,94.85
21:54:46,14,2.04,0.00,2.04,0.00,0.00,1.02,0.00,0.00,0.00,94.90
21:54:46,15,1.01,0.00,4.04,0.00,0.00,1.01,0.00,0.00,0.00,93.94
21:54:47,4,3.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,93.00
21:54:47,5,3.06,0.00,3.06,0.00,0.00,1.02,0.00,0.00,0.00,92.86
21:54:47,6,2.04,0.00,3.06,0.00,0.00,1.02,0.00,0.00,0.00,93.88
21:54:47,7,2.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00,94.00
21:54:47,12,2.02,0.00,2.02,0.00,0.00,1.01,0.00,0.00,0.00,94.95
21:54:47,13,3.03,0.00,4.04,0.00,0.00,1.01,0.00,0.00,0.00,91.92
21:54:47,14,2.06,0.00,3.09,0.00,0.00,0.00,0.00,0.00,0.00,94.85
21:54:47,15,3.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,93.00
21:54:48,4,2.04,0.00,3.06,0.00,0.00,1.02,0.00,0.00,0.00,93.88
21:54:48,5,4.95,0.00,4.95,0.00,0.00,1.98,0.00,0.00,0.00,88.12
21:54:48,6,3.03,0.00,4.04,0.00,0.00,0.00,0.00,0.00,0.00,92.93
21:54:48,7,2.04,0.00,2.04,0.00,0.00,0.00,0.00,0.00,0.00,95.92
21:54:48,12,3.03,0.00,2.02,0.00,0.00,1.01,0.00,0.00,0.00,93.94
21:54:48,13,6.06,0.00,4.04,0.00,0.00,2.02,0.00,0.00,0.00,87.88
21:54:48,14,3.03,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,92.93
21:54:48,15,2.04,0.00,3.06,0.00,0.00,1.02,0.00,0.00,0.00,93.88
21:54:49,4,2.00,0.00,4.00,2.00,0.00,1.00,0.00,0.00,0.00,91.00
21:54:49,5,2.04,0.00,3.06,2.04,0.00,1.02,0.00,0.00,0.00,91.84
21:54:49,6,2.04,0.00,3.06,0.00,0.00,1.02,0.00,0.00,0.00,93.88
21:54:49,7,2.02,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,93.94
21:54:49,12,2.02,0.00,4.04,0.00,0.00,1.01,0.00,0.00,0.00,92.93
21:54:49,13,3.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,0.00,92.00
21:54:49,14,2.06,0.00,3.09,0.00,0.00,0.00,0.00,0.00,0.00,94.85
21:54:49,15,2.04,0.00,2.04,0.00,0.00,1.02,0.00,0.00,0.00,94.90
21:54:50,4,3.03,0.00,3.03,0.00,0.00,2.02,0.00,0.00,0.00,91.92
21:54:50,5,3.06,0.00,3.06,0.00,0.00,0.00,0.00,0.00,0.00,93.88
21:54:50,6,3.03,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,92.93
21:54:50,7,2.02,0.00,4.04,0.00,0.00,1.01,0.00,0.00,0.00,92.93
21:54:50,12,2.02,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,93.94
21:54:50,13,3.06,0.00,3.06,0.00,0.00,1.02,0.00,0.00,0.00,92.86
21:54:50,14,2.04,0.00,3.06,0.00,0.00,1.02,0.00,0.00,0.00,93.88
21:54:50,15,1.98,0.00,3.96,0.00,0.00,1.98,0.00,0.00,0.00,92.08
21:54:51,4,2.04,0.00,2.04,0.00,0.00,1.02,0.00,0.00,0.00,94.90
21:54:51,5,2.02,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,93.94
21:54:51,6,3.03,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,92.93
21:54:51,7,2.97,0.00,2.97,0.00,0.00,1.98,0.00,0.00,0.00,92.08
21:54:51,12,3.96,0.00,2.97,0.00,0.00,0.99,0.00,0.00,0.00,92.08
21:54:51,13,2.06,0.00,2.06,0.00,0.00,0.00,0.00,0.00,0.00,95.88
21:54:51,14,2.02,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,93.94
21:54:51,15,3.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,0.00,92.00
21:54:52,4,2.02,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,93.94
21:54:52,5,2.02,0.00,4.04,0.00,0.00,1.01,0.00,0.00,0.00,92.93
21:54:52,6,2.02,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,93.94
21:54:52,7,2.04,0.00,2.04,0.00,0.00,1.02,0.00,0.00,0.00,94.90
21:54:52,12,2.02,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,93.94
21:54:52,13,2.02,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,93.94
21:54:52,14,3.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,0.00,92.00
21:54:52,15,2.02,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,93.94
21:54:53,4,4.04,0.00,3.03,0.00,0.00,2.02,0.00,0.00,0.00,90.91
21:54:53,5,4.95,0.00,3.96,0.00,0.00,0.99,0.00,0.00,0.00,90.10
21:54:53,6,2.02,0.00,4.04,0.00,0.00,1.01,0.00,0.00,0.00,92.93
21:54:53,7,3.03,0.00,4.04,0.00,0.00,1.01,0.00,0.00,0.00,91.92
21:54:53,12,2.06,0.00,2.06,0.00,0.00,1.03,0.00,0.00,0.00,94.85
21:54:53,13,2.04,0.00,2.04,0.00,0.00,1.02,0.00,0.00,0.00,94.90
21:54:53,14,4.04,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,91.92
21:54:53,15,5.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,92.00
21:54:54,4,3.06,0.00,3.06,0.00,0.00,1.02,0.00,0.00,0.00,92.86
21:54:54,5,3.03,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,92.93
21:54:54,6,2.06,0.00,3.09,0.00,0.00,0.00,0.00,0.00,0.00,94.85
21:54:54,7,1.04,0.00,2.08,1.04,0.00,0.00,0.00,0.00,0.00,95.83
