22:27:49,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
22:27:50,4,7.00,0.00,5.00,0.00,0.00,2.00,0.00,0.00,0.00,86.00
22:27:50,5,5.94,0.00,3.96,0.00,0.00,1.98,0.00,0.00,0.00,88.12
22:27:50,6,2.94,0.00,4.90,0.00,0.00,1.96,0.00,0.00,0.00,90.20
22:27:50,7,3.96,0.00,2.97,0.00,0.00,1.98,0.00,0.00,0.00,91.09
22:27:50,12,3.03,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,92.93
22:27:50,13,3.96,0.00,3.96,0.00,0.00,0.99,0.00,0.00,0.00,91.09
22:27:50,14,4.90,0.00,3.92,0.00,0.00,0.98,0.00,0.00,0.00,90.20
22:27:50,15,3.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,93.00
22:27:51,4,4.00,0.00,4.00,0.00,0.00,2.00,0.00,0.00,0.00,90.00
22:27:51,5,3.96,0.00,5.94,0.00,0.00,1.98,0.00,0.00,0.00,88.12
22:27:51,6,3.03,0.00,3.03,0.00,0.00,2.02,0.00,0.00,0.00,91.92
22:27:51,7,2.97,0.00,4.95,0.00,0.00,1.98,0.00,0.00,0.00,90.10
22:27:51,12,3.96,0.00,4.95,0.00,0.00,1.98,0.00,0.00,0.00,89.11
22:27:51,13,3.96,0.00,3.96,0.00,0.00,2.97,0.00,0.00,0.00,89.11
22:27:51,14,3.00,0.00,4.00,0.00,0.00,2.00,0.00,0.00,0.00,91.00
22:27:51,15,3.03,0.00,3.03,0.00,0.00,2.02,0.00,0.00,0.00,91.92
22:27:52,4,4.00,0.00,5.00,0.00,0.00,1.00,0.00,0.00,0.00,90.00
22:27:52,5,4.04,0.00,5.05,0.00,0.00,1.01,0.00,0.00,0.00,89.90
22:27:52,6,3.92,0.00,3.92,0.00,0.00,1.96,0.00,0.00,0.00,90.20
22:27:52,7,2.94,0.00,3.92,0.00,0.00,1.96,0.00,0.00,0.00,91.18
22:27:52,12,5.00,0.00,5.00,0.00,0.00,1.00,0.00,0.00,0.00,89.00
22:27:52,13,4.04,0.00,5.05,0.00,0.00,2.02,0.00,0.00,0.00,88.89
22:27:52,14,5.00,0.00,3.00,0.00,0.00,2.00,0.00,0.00,0.00,90.00
22:27:52,15,4.85,0.00,3.88,0.00,0.00,1.94,0.00,0.00,0.00,89.32
22:27:53,4,3.92,0.00,2.94,0.00,0.00,2.94,0.00,0.00,0.00,90.20
22:27:53,5,2.94,0.00,5.88,0.00,0.00,2.94,0.00,0.00,0.00,88.24
22:27:53,6,3.96,0.00,2.97,0.00,0.00,1.98,0.00,0.00,0.00,91.09
22:27:53,7,4.90,0.00,3.92,0.00,0.00,1.96,0.00,0.00,0.00,89.22
22:27:53,12,4.00,0.00,3.00,0.00,0.00,2.00,0.00,0.00,0.00,91.00
22:27:53,13,3.96,0.00,3.96,0.00,0.00,1.98,0.00,0.00,0.00,90.10
22:27:53,14,4.04,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,91.92
22:27:53,15,4.04,0.00,4.04,0.00,0.00,1.01,0.00,0.00,0.00,90.91
22:27:54,4,5.00,0.00,4.00,2.00,0.00,1.00,0.00,0.00,0.00,88.00
22:27:54,5,5.00,0.00,4.00,0.00,0.00,2.00,0.00,0.00,0.00,89.00
22:27:54,6,5.00,0.00,4.00,1.00,0.00,1.00,0.00,0.00,0.00,89.00
22:27:54,7,3.00,0.00,4.00,0.00,0.00,2.00,0.00,0.00,0.00,91.00
22:27:54,12,4.00,0.00,4.00,2.00,0.00,2.00,0.00,0.00,0.00,88.00
22:27:54,13,3.00,0.00,5.00,0.00,0.00,2.00,0.00,0.00,0.00,90.00
22:27:54,14,3.88,0.00,4.85,0.00,0.00,1.94,0.00,0.00,0.00,89.32
22:27:54,15,5.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,92.00
22:27:55,4,5.00,0.00,5.00,0.00,0.00,2.00,0.00,0.00,0.00,88.00
