23:21:24,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
23:21:25,4,6.86,0.00,4.90,0.00,0.00,2.94,0.00,0.00,0.00,85.29
23:21:25,5,5.00,0.00,4.00,0.00,0.00,3.00,0.00,0.00,0.00,88.00
23:21:25,6,5.00,0.00,5.00,0.00,0.00,2.00,0.00,0.00,0.00,88.00
23:21:25,7,4.04,0.00,4.04,0.00,0.00,2.02,0.00,0.00,0.00,89.90
23:21:25,12,5.00,0.00,4.00,0.00,0.00,2.00,0.00,0.00,0.00,89.00
23:21:25,13,5.94,0.00,4.95,0.00,0.00,1.98,0.00,0.00,0.00,87.13
23:21:25,14,5.94,0.00,4.95,0.00,0.00,1.98,0.00,0.00,0.00,87.13
23:21:25,15,7.07,0.00,5.05,0.00,0.00,1.01,0.00,0.00,0.00,86.87
23:21:26,4,10.10,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,79.80
23:21:26,5,8.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,82.00
23:21:26,6,8.91,0.00,8.91,0.00,0.00,1.98,0.00,0.00,0.00,80.20
23:21:26,7,7.07,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,83.84
23:21:26,12,7.92,0.00,8.91,0.00,0.00,2.97,0.00,0.00,0.00,80.20
23:21:26,13,12.00,0.00,11.00,0.00,0.00,3.00,0.00,0.00,0.00,74.00
23:21:26,14,10.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,80.00
23:21:26,15,7.07,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,83.84
23:21:27,4,6.93,0.00,7.92,0.00,0.00,3.96,0.00,0.00,0.00,81.19
23:21:27,5,10.78,0.00,6.86,0.00,0.00,2.94,0.00,0.00,0.00,79.41
23:21:27,6,9.90,0.00,5.94,0.00,0.00,2.97,0.00,0.00,0.00,81.19
23:21:27,7,7.92,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,81.19
23:21:27,12,8.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,82.00
23:21:27,13,8.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,82.00
23:21:27,14,7.92,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,81.19
23:21:27,15,7.07,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,81.82
23:21:28,4,7.92,0.00,7.92,0.00,0.00,3.96,0.00,0.00,0.00,80.20
23:21:28,5,9.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,81.00
23:21:28,6,7.22,0.00,6.19,0.00,0.00,3.09,0.00,0.00,0.00,83.51
23:21:28,7,7.07,0.00,6.06,1.01,0.00,3.03,0.00,0.00,0.00,82.83
23:21:28,12,8.25,0.00,7.22,0.00,0.00,3.09,0.00,0.00,0.00,81.44
23:21:28,13,8.08,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,81.82
