23:37:41,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
23:37:42,4,10.10,0.00,5.05,0.00,0.00,1.01,0.00,0.00,0.00,83.84
23:37:42,5,9.09,0.00,5.05,0.00,0.00,2.02,0.00,0.00,0.00,83.84
23:37:42,6,3.03,0.00,5.05,0.00,0.00,1.01,0.00,0.00,0.00,90.91
23:37:42,7,3.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,93.00
23:37:42,12,4.08,0.00,2.04,0.00,0.00,1.02,0.00,0.00,0.00,92.86
23:37:42,13,6.93,0.00,5.94,0.00,0.00,0.00,0.00,0.00,0.00,87.13
23:37:42,14,6.06,0.00,4.04,0.00,0.00,1.01,0.00,0.00,0.00,88.89
23:37:42,15,4.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,92.00
23:37:43,4,8.00,0.00,5.00,0.00,0.00,2.00,0.00,0.00,0.00,85.00
23:37:43,5,7.14,0.00,5.10,0.00,0.00,1.02,0.00,0.00,0.00,86.73
23:37:43,6,6.06,0.00,5.05,0.00,0.00,2.02,0.00,0.00,0.00,86.87
23:37:43,7,7.00,0.00,4.00,0.00,0.00,3.00,0.00,0.00,0.00,86.00
23:37:43,12,8.91,0.00,7.92,0.00,0.00,1.98,0.00,0.00,0.00,81.19
23:37:43,13,8.08,0.00,6.06,0.00,0.00,2.02,0.00,0.00,0.00,83.84
23:37:43,14,6.19,0.00,6.19,0.00,0.00,1.03,0.00,0.00,0.00,86.60
23:37:43,15,7.00,0.00,6.00,0.00,0.00,2.00,0.00,0.00,0.00,85.00
23:37:44,4,7.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,84.00
23:37:44,5,6.12,0.00,5.10,0.00,0.00,2.04,0.00,0.00,0.00,86.73
23:37:44,6,6.12,0.00,6.12,0.00,0.00,2.04,0.00,0.00,0.00,85.71
23:37:44,7,6.12,0.00,5.10,0.00,0.00,1.02,0.00,0.00,0.00,87.76
23:37:44,12,7.07,0.00,5.05,0.00,0.00,2.02,0.00,0.00,0.00,85.86
23:37:44,13,7.07,0.00,5.05,0.00,0.00,2.02,0.00,0.00,0.00,85.86
23:37:44,14,6.93,0.00,6.93,0.00,0.00,1.98,0.00,0.00,0.00,84.16
23:37:44,15,6.12,0.00,4.08,0.00,0.00,2.04,0.00,0.00,0.00,87.76
23:37:45,4,10.78,0.00,5.88,0.00,0.00,1.96,0.00,0.00,0.00,81.37
23:37:45,5,8.08,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,81.82
23:37:45,6,10.10,0.00,4.04,0.00,0.00,2.02,0.00,0.00,0.00,83.84
23:37:45,7,8.91,0.00,5.94,0.00,0.00,1.98,0.00,0.00,0.00,83.17
23:37:45,12,7.00,0.00,6.00,0.00,0.00,3.00,0.00,0.00,0.00,84.00
23:37:45,13,6.25,0.00,5.21,0.00,0.00,1.04,0.00,0.00,0.00,87.50
23:37:45,14,8.25,0.00,4.12,0.00,0.00,2.06,0.00,0.00,0.00,85.57
23:37:45,15,9.00,0.00,7.00,0.00,0.00,1.00,0.00,0.00,0.00,83.00
23:37:46,4,7.14,0.00,5.10,0.00,0.00,2.04,0.00,0.00,0.00,85.71
23:37:46,5,6.06,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,84.85
23:37:46,6,8.00,0.00,5.00,0.00,0.00,2.00,0.00,0.00,0.00,85.00
23:37:46,7,6.06,0.00,6.06,0.00,0.00,2.02,0.00,0.00,0.00,85.86
23:37:46,12,8.08,0.00,4.04,0.00,0.00,2.02,0.00,0.00,0.00,85.86
23:37:46,13,8.16,0.00,4.08,1.02,0.00,2.04,0.00,0.00,0.00,84.69
23:37:46,14,8.91,0.00,4.95,1.98,0.00,1.98,0.00,0.00,0.00,82.18
23:37:46,15,8.00,0.00,6.00,0.00,0.00,2.00,0.00,0.00,0.00,84.00
23:37:47,4,8.00,0.00,5.00,0.00,0.00,2.00,0.00,0.00,0.00,85.00
23:37:47,5,7.07,0.00,6.06,0.00,0.00,1.01,0.00,0.00,0.00,85.86
23:37:47,6,6.93,0.00,5.94,0.00,0.00,2.97,0.00,0.00,0.00,84.16
23:37:47,7,7.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,84.00
23:37:47,12,8.00,0.00,5.00,0.00,0.00,2.00,0.00,0.00,0.00,85.00
23:37:47,13,7.07,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,83.84
23:37:47,14,9.80,0.00,4.90,0.00,0.00,2.94,0.00,0.00,0.00,82.35
23:37:47,15,6.93,0.00,5.94,0.00,0.00,2.97,0.00,0.00,0.00,84.16
23:37:48,4,7.14,0.00,4.08,0.00,0.00,2.04,0.00,0.00,0.00,86.73
23:37:48,5,7.00,0.00,6.00,0.00,0.00,3.00,0.00,0.00,0.00,84.00
23:37:48,6,6.19,0.00,5.15,0.00,0.00,2.06,0.00,0.00,0.00,86.60
23:37:48,7,6.06,0.00,6.06,0.00,0.00,2.02,0.00,0.00,0.00,85.86
23:37:48,12,7.07,0.00,6.06,0.00,0.00,2.02,0.00,0.00,0.00,84.85
23:37:48,13,9.09,0.00,6.06,0.00,0.00,1.01,0.00,0.00,0.00,83.84
23:37:48,14,7.07,0.00,5.05,0.00,0.00,2.02,0.00,0.00,0.00,85.86
23:37:48,15,8.00,0.00,4.00,0.00,0.00,3.00,0.00,0.00,0.00,85.00
23:37:49,4,6.06,0.00,5.05,0.00,0.00,3.03,0.00,0.00,0.00,85.86
23:37:49,5,8.08,0.00,4.04,0.00,0.00,2.02,0.00,0.00,0.00,85.86
23:37:49,6,8.08,0.00,5.05,0.00,0.00,1.01,0.00,0.00,0.00,85.86
23:37:49,7,7.92,0.00,4.95,0.00,0.00,2.97,0.00,0.00,0.00,84.16
23:37:49,12,8.00,0.00,5.00,0.00,0.00,2.00,0.00,0.00,0.00,85.00
23:37:49,13,6.12,0.00,5.10,0.00,0.00,2.04,0.00,0.00,0.00,86.73
23:37:49,14,7.07,0.00,6.06,0.00,0.00,2.02,0.00,0.00,0.00,84.85
23:37:49,15,7.22,0.00,4.12,0.00,0.00,1.03,0.00,0.00,0.00,87.63
23:37:50,4,8.33,0.00,5.21,0.00,0.00,2.08,0.00,0.00,0.00,84.38
23:37:50,5,9.18,0.00,7.14,0.00,0.00,1.02,0.00,0.00,0.00,82.65
23:37:50,6,8.00,0.00,6.00,0.00,0.00,2.00,0.00,0.00,0.00,84.00
23:37:50,7,8.08,0.00,5.05,0.00,0.00,2.02,0.00,0.00,0.00,84.85
23:37:50,12,8.16,0.00,5.10,0.00,0.00,2.04,0.00,0.00,0.00,84.69
23:37:50,13,8.08,0.00,5.05,0.00,0.00,2.02,0.00,0.00,0.00,84.85
23:37:50,14,8.82,0.00,5.88,0.00,0.00,2.94,0.00,0.00,0.00,82.35
23:37:50,15,8.91,0.00,4.95,0.00,0.00,2.97,0.00,0.00,0.00,83.17
23:37:51,4,7.07,0.00,5.05,0.00,0.00,2.02,0.00,0.00,0.00,85.86
23:37:51,5,6.12,0.00,5.10,0.00,0.00,2.04,0.00,0.00,0.00,86.73
23:37:51,6,7.00,0.00,6.00,0.00,0.00,2.00,0.00,0.00,0.00,85.00
23:37:51,7,7.00,0.00,6.00,0.00,0.00,3.00,0.00,0.00,0.00,84.00
23:37:51,12,8.08,0.00,5.05,0.00,0.00,2.02,0.00,0.00,0.00,84.85
23:37:51,13,6.12,0.00,4.08,0.00,0.00,2.04,0.00,0.00,0.00,87.76
23:37:51,14,8.00,0.00,6.00,1.00,0.00,2.00,0.00,0.00,0.00,83.00
23:37:51,15,6.00,0.00,6.00,0.00,0.00,3.00,0.00,0.00,0.00,85.00
23:37:52,4,7.07,0.00,5.05,0.00,0.00,2.02,0.00,0.00,0.00,85.86
23:37:52,5,6.19,0.00,4.12,0.00,0.00,2.06,0.00,0.00,0.00,87.63
23:37:52,6,6.19,0.00,5.15,0.00,0.00,2.06,0.00,0.00,0.00,86.60
23:37:52,7,7.07,0.00,5.05,1.01,0.00,2.02,0.00,0.00,0.00,84.85
23:37:52,12,7.07,0.00,4.04,1.01,0.00,3.03,0.00,0.00,0.00,84.85
23:37:52,13,8.08,0.00,5.05,0.00,0.00,2.02,0.00,0.00,0.00,84.85
23:37:52,14,7.22,0.00,5.15,0.00,0.00,2.06,0.00,0.00,0.00,85.57
23:37:52,15,6.12,0.00,4.08,0.00,0.00,3.06,0.00,0.00,0.00,86.73
23:37:53,4,9.80,0.00,5.88,0.00,0.00,1.96,0.00,0.00,0.00,82.35
23:37:53,5,7.07,0.00,6.06,0.00,0.00,3.03,0.00,0.00,0.00,83.84
23:37:53,6,6.93,0.00,5.94,0.00,0.00,2.97,0.00,0.00,0.00,84.16
23:37:53,7,8.00,0.00,4.00,0.00,0.00,3.00,0.00,0.00,0.00,85.00
23:37:53,12,8.91,0.00,3.96,0.00,0.00,2.97,0.00,0.00,0.00,84.16
23:37:53,13,7.00,0.00,6.00,0.00,0.00,4.00,0.00,0.00,0.00,83.00
23:37:53,14,7.92,0.00,4.95,0.00,0.00,2.97,0.00,0.00,0.00,84.16
23:37:53,15,7.07,0.00,5.05,0.00,0.00,2.02,0.00,0.00,0.00,85.86
23:37:54,4,7.22,0.00,4.12,0.00,0.00,3.09,0.00,0.00,0.00,85.57
23:37:54,5,6.19,0.00,6.19,0.00,0.00,1.03,0.00,0.00,0.00,86.60
23:37:54,6,8.00,0.00,4.00,0.00,0.00,3.00,0.00,0.00,0.00,85.00
