23:44:32,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
23:44:33,4,8.82,0.00,7.84,0.00,0.00,0.98,0.00,0.00,0.00,82.35
23:44:33,5,10.00,0.00,8.00,0.00,0.00,1.00,0.00,0.00,0.00,81.00
23:44:33,6,5.05,0.00,5.05,0.00,0.00,1.01,0.00,0.00,0.00,88.89
23:44:33,7,5.00,0.00,4.00,0.00,0.00,2.00,0.00,0.00,0.00,89.00
23:44:33,12,6.00,0.00,5.00,0.00,0.00,3.00,0.00,0.00,0.00,86.00
23:44:33,13,6.00,0.00,6.00,0.00,0.00,2.00,0.00,0.00,0.00,86.00
23:44:33,14,5.88,0.00,5.88,0.00,0.00,1.96,0.00,0.00,0.00,86.27
23:44:33,15,4.04,0.00,5.05,0.00,0.00,2.02,0.00,0.00,0.00,88.89
23:44:34,4,8.25,0.00,6.19,0.00,0.00,3.09,0.00,0.00,0.00,82.47
23:44:34,5,7.29,0.00,7.29,0.00,0.00,3.12,0.00,0.00,0.00,82.29
23:44:34,6,7.14,0.00,7.14,1.02,0.00,2.04,0.00,0.00,0.00,82.65
23:44:34,7,6.06,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,82.83
23:44:34,12,8.00,0.00,7.00,1.00,0.00,3.00,0.00,0.00,0.00,81.00
23:44:34,13,8.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,81.00
23:44:34,14,6.06,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,83.84
23:44:34,15,6.12,0.00,7.14,2.04,0.00,2.04,0.00,0.00,0.00,82.65
23:44:35,4,8.16,0.00,6.12,0.00,0.00,3.06,0.00,0.00,0.00,82.65
23:44:35,5,8.91,0.00,7.92,0.00,0.00,1.98,0.00,0.00,0.00,81.19
23:44:35,6,8.08,0.00,6.06,0.00,0.00,3.03,0.00,0.00,0.00,82.83
23:44:35,7,9.80,0.00,7.84,0.00,0.00,1.96,0.00,0.00,0.00,80.39
23:44:35,12,7.22,0.00,7.22,0.00,0.00,2.06,0.00,0.00,0.00,83.51
23:44:35,13,8.91,0.00,6.93,0.00,0.00,2.97,0.00,0.00,0.00,81.19
23:44:35,14,7.07,0.00,7.07,0.00,0.00,4.04,0.00,0.00,0.00,81.82
23:44:35,15,7.92,0.00,8.91,0.00,0.00,2.97,0.00,0.00,0.00,80.20
23:44:36,4,7.14,0.00,7.14,0.00,0.00,2.04,0.00,0.00,0.00,83.67
23:44:36,5,7.07,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,81.82
23:44:36,6,8.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,81.00
23:44:36,7,7.07,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,82.83
23:44:36,12,7.92,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,81.19
23:44:36,13,7.07,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,82.83
23:44:36,14,8.82,0.00,7.84,0.00,0.00,2.94,0.00,0.00,0.00,80.39
23:44:36,15,6.06,0.00,9.09,0.00,0.00,2.02,0.00,0.00,0.00,82.83
23:44:37,4,8.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,81.00
23:44:37,5,8.08,0.00,6.06,0.00,0.00,4.04,0.00,0.00,0.00,81.82
23:44:37,6,9.90,0.00,6.93,0.00,0.00,2.97,0.00,0.00,0.00,80.20
23:44:37,7,8.91,0.00,6.93,0.00,0.00,3.96,0.00,0.00,0.00,80.20
23:44:37,12,8.08,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,81.82
23:44:37,13,8.16,0.00,7.14,0.00,0.00,2.04,0.00,0.00,0.00,82.65
23:44:37,14,8.82,0.00,7.84,0.00,0.00,3.92,0.00,0.00,0.00,79.41
23:44:37,15,8.08,0.00,6.06,0.00,0.00,3.03,0.00,0.00,0.00,82.83
23:44:38,4,10.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,80.00
23:44:38,5,9.18,0.00,7.14,0.00,0.00,3.06,0.00,0.00,0.00,80.61
23:44:38,6,10.10,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,79.80
23:44:38,7,8.08,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,81.82
23:44:38,12,8.91,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,80.20
23:44:38,13,8.91,0.00,7.92,0.00,0.00,3.96,0.00,0.00,0.00,79.21
23:44:38,14,8.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,81.00
23:44:38,15,8.08,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,81.82
23:44:39,4,8.08,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,81.82
23:44:39,5,7.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,82.00
23:44:39,6,6.06,0.00,7.07,0.00,0.00,4.04,0.00,0.00,0.00,82.83
23:44:39,7,6.12,0.00,6.12,0.00,0.00,3.06,0.00,0.00,0.00,84.69
23:44:39,12,7.84,0.00,8.82,0.00,0.00,2.94,0.00,0.00,0.00,80.39
23:44:39,13,7.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,82.00
23:44:39,14,8.08,0.00,6.06,0.00,0.00,4.04,0.00,0.00,0.00,81.82
23:44:39,15,6.06,0.00,9.09,0.00,0.00,3.03,0.00,0.00,0.00,81.82
23:44:40,4,7.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,82.00
23:44:40,5,8.91,0.00,5.94,0.00,0.00,3.96,0.00,0.00,0.00,81.19
23:44:40,6,9.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,81.00
23:44:40,7,8.74,0.00,7.77,0.00,0.00,3.88,0.00,0.00,0.00,79.61
23:44:40,12,7.14,0.00,7.14,0.00,0.00,2.04,0.00,0.00,0.00,83.67
23:44:40,13,7.07,0.00,7.07,0.00,0.00,4.04,0.00,0.00,0.00,81.82
23:44:40,14,7.22,0.00,8.25,0.00,0.00,1.03,0.00,0.00,0.00,83.51
23:44:40,15,8.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,82.00
23:44:41,4,7.07,0.00,7.07,0.00,0.00,4.04,0.00,0.00,0.00,81.82
23:44:41,5,8.08,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,81.82
23:44:41,6,9.00,0.00,9.00,0.00,0.00,2.00,0.00,0.00,0.00,80.00
23:44:41,7,7.07,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,82.83
23:44:41,12,6.00,0.00,8.00,0.00,0.00,4.00,0.00,0.00,0.00,82.00
23:44:41,13,7.92,0.00,6.93,0.00,0.00,2.97,0.00,0.00,0.00,82.18
23:44:41,14,9.80,0.00,8.82,0.00,0.00,2.94,0.00,0.00,0.00,78.43
23:44:41,15,8.82,0.00,7.84,0.00,0.00,2.94,0.00,0.00,0.00,80.39
23:44:42,4,8.91,0.00,6.93,0.00,0.00,2.97,0.00,0.00,0.00,81.19
23:44:42,5,7.84,0.00,7.84,0.00,0.00,3.92,0.00,0.00,0.00,80.39
23:44:42,6,9.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,80.00
23:44:42,7,7.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,83.00
23:44:42,12,8.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,81.00
23:44:42,13,8.91,0.00,7.92,0.00,0.00,3.96,0.00,0.00,0.00,79.21
23:44:42,14,6.93,0.00,8.91,0.00,0.00,3.96,0.00,0.00,0.00,80.20
23:44:42,15,9.90,0.00,5.94,0.00,0.00,2.97,0.00,0.00,0.00,81.19
23:44:43,4,10.10,0.00,7.07,0.00,0.00,4.04,0.00,0.00,0.00,78.79
23:44:43,5,9.18,0.00,7.14,0.00,0.00,3.06,0.00,0.00,0.00,80.61
23:44:43,6,8.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,81.00
23:44:43,7,9.09,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,81.82
23:44:43,12,9.18,0.00,7.14,0.00,0.00,2.04,0.00,0.00,0.00,81.63
23:44:43,13,9.90,0.00,7.92,0.00,0.00,3.96,0.00,0.00,0.00,78.22
23:44:43,14,8.91,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,80.20
23:44:43,15,8.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,82.00
23:44:44,4,7.07,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,82.83
23:44:44,5,8.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,81.00
23:44:44,6,9.00,0.00,6.00,0.00,0.00,4.00,0.00,0.00,0.00,81.00
23:44:44,7,7.07,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,82.83
23:44:44,12,7.22,0.00,8.25,1.03,0.00,2.06,0.00,0.00,0.00,81.44
23:44:44,13,8.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,81.00
23:44:44,14,7.14,0.00,6.12,0.00,0.00,3.06,0.00,0.00,0.00,83.67
23:44:44,15,9.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,81.00
23:44:45,4,9.09,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,79.80
23:44:45,5,8.08,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,81.82
23:44:45,6,7.07,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,82.83
23:44:45,7,8.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,82.00
23:44:45,12,8.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,81.00
