23:51:03,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
23:51:04,4,10.89,0.00,5.94,0.00,0.00,0.99,0.00,0.00,0.00,82.18
23:51:04,5,10.89,0.00,6.93,0.00,0.00,0.99,0.00,0.00,0.00,81.19
23:51:04,6,5.00,0.00,4.00,0.00,0.00,2.00,0.00,0.00,0.00,89.00
23:51:04,7,4.95,0.00,3.96,0.00,0.00,1.98,0.00,0.00,0.00,89.11
23:51:04,12,4.95,0.00,2.97,0.99,0.00,1.98,0.00,0.00,0.00,89.11
23:51:04,13,8.08,0.00,7.07,0.00,0.00,1.01,0.00,0.00,0.00,83.84
23:51:04,14,4.04,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,91.92
23:51:04,15,6.86,0.00,3.92,0.00,0.00,0.98,0.00,0.00,0.00,88.24
23:51:05,4,8.91,0.00,6.93,0.00,0.00,2.97,0.00,0.00,0.00,81.19
23:51:05,5,10.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,81.00
23:51:05,6,8.82,0.00,7.84,0.00,0.00,2.94,0.00,0.00,0.00,80.39
23:51:05,7,7.00,0.00,9.00,0.00,0.00,2.00,0.00,0.00,0.00,82.00
23:51:05,12,8.74,0.00,9.71,0.00,0.00,2.91,0.00,0.00,0.00,78.64
23:51:05,13,11.76,0.00,8.82,0.00,0.00,2.94,0.00,0.00,0.00,76.47
23:51:05,14,8.82,0.00,7.84,0.00,0.00,2.94,0.00,0.00,0.00,80.39
23:51:05,15,8.74,0.00,7.77,0.00,0.00,3.88,0.00,0.00,0.00,79.61
23:51:06,4,8.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,83.00
23:51:06,5,7.84,0.00,7.84,0.00,0.00,3.92,0.00,0.00,0.00,80.39
23:51:06,6,6.93,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,82.18
23:51:06,7,8.82,0.00,6.86,0.00,0.00,2.94,0.00,0.00,0.00,81.37
23:51:06,12,6.86,0.00,8.82,0.00,0.00,2.94,0.00,0.00,0.00,81.37
23:51:06,13,7.92,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,81.19
23:51:06,14,8.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,83.00
23:51:06,15,7.84,0.00,7.84,0.00,0.00,2.94,0.00,0.00,0.00,81.37
23:51:07,4,8.82,0.00,6.86,0.00,0.00,3.92,0.00,0.00,0.00,80.39
23:51:07,5,9.71,0.00,7.77,0.00,0.00,2.91,0.00,0.00,0.00,79.61
23:51:07,6,8.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,82.00
23:51:07,7,7.07,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,83.84
23:51:07,12,8.91,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,80.20
23:51:07,13,8.65,0.00,7.69,0.00,0.00,3.85,0.00,0.00,0.00,79.81
23:51:07,14,7.84,0.00,7.84,0.00,0.00,2.94,0.00,0.00,0.00,81.37
23:51:07,15,9.00,0.00,6.00,0.00,0.00,2.00,0.00,0.00,0.00,83.00
23:51:08,4,7.92,0.00,6.93,0.00,0.00,2.97,0.00,0.00,0.00,82.18
23:51:08,5,9.90,0.00,8.91,0.00,0.00,2.97,0.00,0.00,0.00,78.22
23:51:08,6,5.83,0.00,8.74,0.00,0.00,3.88,0.00,0.00,0.00,81.55
23:51:08,7,8.65,0.00,8.65,0.00,0.00,2.88,0.00,0.00,0.00,79.81
23:51:08,12,8.82,0.00,7.84,0.00,0.00,2.94,0.00,0.00,0.00,80.39
23:51:08,13,10.68,0.00,6.80,0.00,0.00,2.91,0.00,0.00,0.00,79.61
23:51:08,14,8.65,0.00,8.65,0.00,0.00,2.88,0.00,0.00,0.00,79.81
23:51:08,15,7.77,0.00,7.77,0.00,0.00,2.91,0.00,0.00,0.00,81.55
23:51:09,4,7.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,83.00
23:51:09,5,9.71,0.00,6.80,0.00,0.00,2.91,0.00,0.00,0.00,80.58
23:51:09,6,8.00,0.00,6.00,0.00,0.00,3.00,0.00,0.00,0.00,83.00
23:51:09,7,8.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,82.00
23:51:09,12,5.88,0.00,8.82,0.00,0.00,2.94,0.00,0.00,0.00,82.35
23:51:09,13,8.91,0.00,6.93,0.00,0.00,2.97,0.00,0.00,0.00,81.19
23:51:09,14,9.71,0.00,6.80,0.00,0.00,2.91,0.00,0.00,0.00,80.58
23:51:09,15,8.91,0.00,6.93,0.00,0.00,1.98,0.00,0.00,0.00,82.18
23:51:10,4,7.00,0.00,7.00,0.00,0.00,4.00,0.00,0.00,0.00,82.00
23:51:10,5,8.82,0.00,6.86,0.00,0.00,3.92,0.00,0.00,0.00,80.39
23:51:10,6,7.07,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,82.83
23:51:10,7,9.00,0.00,6.00,0.00,0.00,3.00,0.00,0.00,0.00,82.00
23:51:10,12,8.00,0.00,7.00,1.00,0.00,3.00,0.00,0.00,0.00,81.00
23:51:10,13,8.91,0.00,6.93,0.00,0.00,1.98,0.00,0.00,0.00,82.18
23:51:10,14,9.00,0.00,6.00,0.00,0.00,3.00,0.00,0.00,0.00,82.00
23:51:10,15,7.07,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,82.83
23:51:11,4,8.91,0.00,7.92,0.00,0.00,3.96,0.00,0.00,0.00,79.21
23:51:11,5,10.10,0.00,11.11,2.02,0.00,3.03,0.00,0.00,0.00,73.74
23:51:11,6,8.91,0.00,6.93,0.00,0.00,2.97,0.00,0.00,0.00,81.19
23:51:11,7,6.86,0.00,7.84,0.00,0.00,2.94,0.00,0.00,0.00,82.35
23:51:11,12,10.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,79.00
23:51:11,13,9.00,0.00,10.00,0.00,0.00,4.00,0.00,0.00,0.00,77.00
23:51:11,14,8.82,0.00,8.82,0.00,0.00,1.96,0.00,0.00,0.00,80.39
23:51:11,15,7.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,83.00
23:51:12,4,8.91,0.00,6.93,0.00,0.00,2.97,0.00,0.00,0.00,81.19
23:51:12,5,9.00,0.00,6.00,0.00,0.00,3.00,0.00,0.00,0.00,82.00
23:51:12,6,8.16,0.00,7.14,0.00,0.00,3.06,0.00,0.00,0.00,81.63
23:51:12,7,8.91,0.00,6.93,0.00,0.00,1.98,0.00,0.00,0.00,82.18
23:51:12,12,7.07,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,82.83
23:51:12,13,8.91,0.00,8.91,0.00,0.00,1.98,0.00,0.00,0.00,80.20
23:51:12,14,6.93,0.00,8.91,0.00,0.00,2.97,0.00,0.00,0.00,81.19
23:51:12,15,7.84,0.00,7.84,0.00,0.00,1.96,0.00,0.00,0.00,82.35
23:51:13,4,8.82,0.00,7.84,0.00,0.00,1.96,0.00,0.00,0.00,81.37
23:51:13,5,8.91,0.00,8.91,0.00,0.00,1.98,0.00,0.00,0.00,80.20
23:51:13,6,9.80,0.00,6.86,0.00,0.00,2.94,0.00,0.00,0.00,80.39
23:51:13,7,6.93,0.00,6.93,0.00,0.00,3.96,0.00,0.00,0.00,82.18
23:51:13,12,9.80,0.00,7.84,0.00,0.00,1.96,0.00,0.00,0.00,80.39
23:51:13,13,7.84,0.00,8.82,0.00,0.00,2.94,0.00,0.00,0.00,80.39
23:51:13,14,7.92,0.00,6.93,0.00,0.00,2.97,0.00,0.00,0.00,82.18
23:51:13,15,7.84,0.00,6.86,0.00,0.00,3.92,0.00,0.00,0.00,81.37
23:51:14,4,7.84,0.00,8.82,0.00,0.00,2.94,0.00,0.00,0.00,80.39
23:51:14,5,8.65,0.00,7.69,0.00,0.00,3.85,0.00,0.00,0.00,79.81
23:51:14,6,7.84,0.00,7.84,0.00,0.00,3.92,0.00,0.00,0.00,80.39
23:51:14,7,7.77,0.00,7.77,0.00,0.00,2.91,0.00,0.00,0.00,81.55
23:51:14,12,8.65,0.00,7.69,0.00,0.00,2.88,0.00,0.00,0.00,80.77
23:51:14,13,8.74,0.00,7.77,0.00,0.00,3.88,0.00,0.00,0.00,79.61
23:51:14,14,9.90,0.00,6.93,0.00,0.00,2.97,0.00,0.00,0.00,80.20
23:51:14,15,8.74,0.00,6.80,0.00,0.00,2.91,0.00,0.00,0.00,81.55
23:51:15,4,8.08,0.00,6.06,0.00,0.00,2.02,0.00,0.00,0.00,83.84
23:51:15,5,8.08,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,81.82
23:51:15,6,7.84,0.00,7.84,1.96,0.00,2.94,0.00,0.00,0.00,79.41
23:51:15,7,6.86,0.00,7.84,0.00,0.00,3.92,0.00,0.00,0.00,81.37
23:51:15,12,8.82,0.00,6.86,0.00,0.00,2.94,0.00,0.00,0.00,81.37
23:51:15,13,9.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,81.00
23:51:15,14,8.91,0.00,7.92,0.00,0.00,1.98,0.00,0.00,0.00,81.19
23:51:15,15,8.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,83.00
23:51:16,4,9.71,0.00,7.77,0.00,0.00,2.91,0.00,0.00,0.00,79.61
23:51:16,5,12.75,0.00,8.82,0.00,0.00,1.96,0.00,0.00,0.00,76.47
23:51:16,6,11.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,79.00
23:51:16,7,8.65,0.00,8.65,0.00,0.00,2.88,0.00,0.00,0.00,79.81
23:51:16,12,7.84,0.00,9.80,0.00,0.00,2.94,0.00,0.00,0.00,79.41
23:51:16,13,8.82,0.00,8.82,0.00,0.00,1.96,0.00,0.00,0.00,80.39
23:51:16,14,9.71,0.00,7.77,0.00,0.00,3.88,0.00,0.00,0.00,78.64
23:51:16,15,8.82,0.00,7.84,0.00,0.00,2.94,0.00,0.00,0.00,80.39
23:51:17,4,8.16,0.00,6.12,0.00,0.00,2.04,0.00,0.00,0.00,83.67
23:51:17,5,7.07,0.00,9.09,0.00,0.00,3.03,0.00,0.00,0.00,80.81
23:51:17,6,9.00,0.00,6.00,0.00,0.00,3.00,0.00,0.00,0.00,82.00
23:51:17,7,9.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,82.00
23:51:17,12,8.74,0.00,6.80,0.00,0.00,3.88,0.00,0.00,0.00,80.58
23:51:17,13,8.82,0.00,7.84,0.00,0.00,2.94,0.00,0.00,0.00,80.39
23:51:17,14,9.09,0.00,6.06,0.00,0.00,2.02,0.00,0.00,0.00,82.83
23:51:17,15,9.62,0.00,8.65,0.00,0.00,2.88,0.00,0.00,0.00,78.85
23:51:18,4,7.84,0.00,7.84,0.00,0.00,3.92,0.00,0.00,0.00,80.39
23:51:18,5,8.74,0.00,9.71,0.00,0.00,2.91,0.00,0.00,0.00,78.64
23:51:18,6,8.82,0.00,6.86,0.00,0.00,2.94,0.00,0.00,0.00,81.37
23:51:18,7,9.62,0.00,8.65,0.00,0.00,2.88,0.00,0.00,0.00,78.85
23:51:18,12,7.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,82.00
23:51:18,13,7.84,0.00,7.84,0.00,0.00,3.92,0.00,0.00,0.00,80.39
23:51:18,14,7.92,0.00,7.92,0.00,0.00,1.98,0.00,0.00,0.00,82.18
23:51:18,15,9.71,0.00,8.74,0.00,0.00,1.94,0.00,0.00,0.00,79.61
23:51:19,4,7.92,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,81.19
23:51:19,5,7.77,0.00,11.65,0.00,0.00,4.85,0.00,0.00,0.00,75.73
23:51:19,6,9.71,0.00,8.74,0.00,0.00,2.91,0.00,0.00,0.00,78.64
23:51:19,7,7.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,84.00
23:51:19,12,8.82,0.00,6.86,0.00,0.00,3.92,0.00,0.00,0.00,80.39
23:51:19,13,8.91,0.00,7.92,0.00,0.00,1.98,0.00,0.00,0.00,81.19
23:51:19,14,9.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,82.00
23:51:19,15,8.82,0.00,5.88,0.00,0.00,2.94,0.00,0.00,0.00,82.35
23:51:20,4,7.84,0.00,8.82,0.00,0.00,2.94,0.00,0.00,0.00,80.39
23:51:20,5,7.84,0.00,9.80,0.00,0.00,3.92,0.00,0.00,0.00,78.43
23:51:20,6,9.09,0.00,5.05,0.00,0.00,3.03,0.00,0.00,0.00,82.83
23:51:20,7,8.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,82.00
23:51:20,12,8.91,0.00,5.94,0.99,0.00,2.97,0.00,0.00,0.00,81.19
23:51:20,13,8.82,0.00,7.84,0.00,0.00,2.94,0.00,0.00,0.00,80.39
23:51:20,14,7.07,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,82.83
23:51:20,15,7.84,0.00,8.82,0.00,0.00,2.94,0.00,0.00,0.00,80.39
23:51:21,4,11.54,0.00,7.69,0.00,0.00,2.88,0.00,0.00,0.00,77.88
23:51:21,5,12.24,0.00,10.20,0.00,0.00,2.04,0.00,0.00,0.00,75.51
23:51:21,6,9.00,0.00,6.00,0.00,0.00,3.00,0.00,0.00,0.00,82.00
23:51:21,7,8.91,0.00,6.93,0.00,0.00,2.97,0.00,0.00,0.00,81.19
23:51:21,12,9.71,0.00,7.77,0.00,0.00,2.91,0.00,0.00,0.00,79.61
23:51:21,13,8.82,0.00,8.82,0.00,0.00,3.92,0.00,0.00,0.00,78.43
23:51:21,14,9.62,0.00,7.69,0.00,0.00,3.85,0.00,0.00,0.00,78.85
23:51:21,15,8.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,83.00
23:51:22,4,8.08,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,82.83
23:51:22,5,9.52,0.00,10.48,0.00,0.00,3.81,0.00,0.00,0.00,76.19
23:51:22,6,7.92,0.00,6.93,0.00,0.00,2.97,0.00,0.00,0.00,82.18
23:51:22,7,9.71,0.00,6.80,0.00,0.00,2.91,0.00,0.00,0.00,80.58
23:51:22,12,7.84,0.00,8.82,0.00,0.00,1.96,0.00,0.00,0.00,81.37
23:51:22,13,9.00,0.00,9.00,0.00,0.00,2.00,0.00,0.00,0.00,80.00
23:51:22,14,8.91,0.00,6.93,0.00,0.00,2.97,0.00,0.00,0.00,81.19
23:51:22,15,8.74,0.00,7.77,0.00,0.00,3.88,0.00,0.00,0.00,79.61
23:51:23,4,9.71,0.00,8.74,0.00,0.00,3.88,0.00,0.00,0.00,77.67
23:51:23,5,9.80,0.00,7.84,0.00,0.00,2.94,0.00,0.00,0.00,79.41
23:51:23,6,8.74,0.00,8.74,0.00,0.00,2.91,0.00,0.00,0.00,79.61
23:51:23,7,8.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,82.00
23:51:23,12,7.92,0.00,8.91,0.00,0.00,2.97,0.00,0.00,0.00,80.20
23:51:23,13,8.74,0.00,8.74,0.00,0.00,2.91,0.00,0.00,0.00,79.61
23:51:23,14,8.82,0.00,8.82,0.00,0.00,1.96,0.00,0.00,0.00,80.39
23:51:23,15,6.93,0.00,6.93,0.00,0.00,2.97,0.00,0.00,0.00,83.17
23:51:24,4,8.00,0.00,8.00,0.00,0.00,1.00,0.00,0.00,0.00,83.00
23:51:24,5,8.74,0.00,9.71,0.00,0.00,3.88,0.00,0.00,0.00,77.67
23:51:24,6,8.57,0.00,9.52,0.00,0.00,3.81,0.00,0.00,0.00,78.10
23:51:24,7,8.65,0.00,7.69,0.00,0.00,2.88,0.00,0.00,0.00,80.77
23:51:24,12,9.80,0.00,5.88,0.00,0.00,2.94,0.00,0.00,0.00,81.37
23:51:24,13,8.91,0.00,6.93,0.00,0.00,3.96,0.00,0.00,0.00,80.20
23:51:24,14,7.00,0.00,6.00,0.00,0.00,4.00,0.00,0.00,0.00,83.00
23:51:24,15,8.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,83.00
23:51:25,4,8.08,0.00,7.07,0.00,0.00,4.04,0.00,0.00,0.00,80.81
23:51:25,5,8.74,0.00,8.74,0.00,0.00,3.88,0.00,0.00,0.00,78.64
23:51:25,6,8.82,0.00,7.84,0.98,0.00,2.94,0.00,0.00,0.00,79.41
23:51:25,7,7.07,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,82.83
23:51:25,12,8.82,0.00,7.84,0.00,0.00,2.94,0.00,0.00,0.00,80.39
23:51:25,13,7.77,0.00,7.77,0.97,0.00,3.88,0.00,0.00,0.00,79.61
23:51:25,14,9.90,0.00,6.93,0.00,0.00,1.98,0.00,0.00,0.00,81.19
23:51:25,15,8.82,0.00,6.86,0.00,0.00,1.96,0.00,0.00,0.00,82.35
23:51:26,4,11.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,79.00
23:51:26,5,10.78,0.00,7.84,0.00,0.00,3.92,0.00,0.00,0.00,77.45
23:51:26,6,9.09,0.00,6.06,0.00,0.00,2.02,0.00,0.00,0.00,82.83
23:51:26,7,9.80,0.00,6.86,0.00,0.00,1.96,0.00,0.00,0.00,81.37
23:51:26,12,6.86,0.00,9.80,0.00,0.00,2.94,0.00,0.00,0.00,80.39
23:51:26,13,9.80,0.00,8.82,0.00,0.00,2.94,0.00,0.00,0.00,78.43
23:51:26,14,9.80,0.00,8.82,0.00,0.00,3.92,0.00,0.00,0.00,77.45
23:51:26,15,8.74,0.00,8.74,0.00,0.00,2.91,0.00,0.00,0.00,79.61
23:51:27,4,8.65,0.00,7.69,0.00,0.00,3.85,0.00,0.00,0.00,79.81
23:51:27,5,9.62,0.00,8.65,0.00,0.00,3.85,0.00,0.00,0.00,77.88
23:51:27,6,10.78,0.00,6.86,0.00,0.00,2.94,0.00,0.00,0.00,79.41
23:51:27,7,7.92,0.00,5.94,0.00,0.00,2.97,0.00,0.00,0.00,83.17
23:51:27,12,6.93,0.00,6.93,0.00,0.00,3.96,0.00,0.00,0.00,82.18
23:51:27,13,9.80,0.00,7.84,0.00,0.00,2.94,0.00,0.00,0.00,79.41
23:51:27,14,8.82,0.00,6.86,0.00,0.00,2.94,0.00,0.00,0.00,81.37
23:51:27,15,6.06,0.00,6.06,0.00,0.00,3.03,0.00,0.00,0.00,84.85
23:51:28,4,9.18,0.00,6.12,0.00,0.00,1.02,0.00,0.00,0.00,83.67
23:51:28,5,8.08,0.00,8.08,0.00,0.00,1.01,0.00,0.00,0.00,82.83
23:51:28,6,8.74,0.00,7.77,0.00,0.00,2.91,0.00,0.00,0.00,80.58
23:51:28,7,9.09,0.00,5.05,0.00,0.00,3.03,0.00,0.00,0.00,82.83
23:51:28,12,8.91,0.00,7.92,0.00,0.00,1.98,0.00,0.00,0.00,81.19
23:51:28,13,9.80,0.00,7.84,0.00,0.00,2.94,0.00,0.00,0.00,79.41
23:51:28,14,8.82,0.00,7.84,0.00,0.00,2.94,0.00,0.00,0.00,80.39
23:51:28,15,8.08,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,82.83
23:51:29,4,9.52,0.00,7.62,0.00,0.00,3.81,0.00,0.00,0.00,79.05
23:51:29,5,7.84,0.00,6.86,0.00,0.00,3.92,0.00,0.00,0.00,81.37
23:51:29,6,7.92,0.00,5.94,0.00,0.00,3.96,0.00,0.00,0.00,82.18
23:51:29,7,6.93,0.00,6.93,0.00,0.00,2.97,0.00,0.00,0.00,83.17
23:51:29,12,7.84,0.00,8.82,0.00,0.00,3.92,0.00,0.00,0.00,79.41
23:51:29,13,8.82,0.00,8.82,0.00,0.00,2.94,0.00,0.00,0.00,79.41
23:51:29,14,9.90,0.00,6.93,0.00,0.00,1.98,0.00,0.00,0.00,81.19
23:51:29,15,8.65,0.00,8.65,0.00,0.00,2.88,0.00,0.00,0.00,79.81
23:51:30,4,9.71,0.00,7.77,0.00,0.00,2.91,0.00,0.00,0.00,79.61
23:51:30,5,8.91,0.00,9.90,0.99,0.00,1.98,0.00,0.00,0.00,78.22
23:51:30,6,8.82,0.00,7.84,0.00,0.00,1.96,0.00,0.00,0.00,81.37
23:51:30,7,8.74,0.00,6.80,0.00,0.00,2.91,0.00,0.00,0.00,81.55
23:51:30,12,9.62,0.00,7.69,0.00,0.00,3.85,0.00,0.00,0.00,78.85
23:51:30,13,8.82,0.00,7.84,0.00,0.00,2.94,0.00,0.00,0.00,80.39
23:51:30,14,8.74,0.00,8.74,0.00,0.00,2.91,0.00,0.00,0.00,79.61
23:51:30,15,7.84,0.00,7.84,0.00,0.00,2.94,0.00,0.00,0.00,81.37
23:51:31,4,8.82,0.00,7.84,0.00,0.00,3.92,0.00,0.00,0.00,79.41
23:51:31,5,10.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,80.00
23:51:31,6,8.74,0.00,8.74,0.00,0.00,2.91,0.00,0.00,0.00,79.61
23:51:31,7,9.90,0.00,6.93,0.00,0.00,2.97,0.00,0.00,0.00,80.20
23:51:31,12,9.90,0.00,6.93,0.00,0.00,1.98,0.00,0.00,0.00,81.19
23:51:31,13,9.71,0.00,6.80,0.00,0.00,2.91,0.00,0.00,0.00,80.58
23:51:31,14,9.71,0.00,8.74,0.00,0.00,2.91,0.00,0.00,0.00,78.64
23:51:31,15,8.08,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,82.83
23:51:32,4,7.92,0.00,8.91,0.00,0.00,2.97,0.00,0.00,0.00,80.20
23:51:32,5,9.71,0.00,7.77,0.00,0.00,2.91,0.00,0.00,0.00,79.61
23:51:32,6,10.58,0.00,8.65,0.00,0.00,2.88,0.00,0.00,0.00,77.88
23:51:32,7,6.86,0.00,7.84,0.00,0.00,2.94,0.00,0.00,0.00,82.35
23:51:32,12,6.80,0.00,8.74,0.00,0.00,3.88,0.00,0.00,0.00,80.58
23:51:32,13,9.90,0.00,7.92,0.00,0.00,1.98,0.00,0.00,0.00,80.20
23:51:32,14,9.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,82.00
23:51:32,15,7.84,0.00,7.84,0.00,0.00,1.96,0.00,0.00,0.00,82.35
23:51:33,4,8.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,82.00
23:51:33,5,6.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,82.00
23:51:33,6,7.92,0.00,5.94,0.00,0.00,3.96,0.00,0.00,0.00,82.18
23:51:33,7,7.92,0.00,6.93,0.00,0.00,2.97,0.00,0.00,0.00,82.18
23:51:33,12,8.82,0.00,8.82,0.00,0.00,2.94,0.00,0.00,0.00,79.41
23:51:33,13,8.91,0.00,7.92,0.00,0.00,1.98,0.00,0.00,0.00,81.19
23:51:33,14,8.91,0.00,6.93,0.00,0.00,2.97,0.00,0.00,0.00,81.19
23:51:33,15,8.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,82.00
23:51:34,4,8.82,0.00,6.86,0.00,0.00,2.94,0.00,0.00,0.00,81.37
23:51:34,5,8.91,0.00,6.93,0.00,0.00,2.97,0.00,0.00,0.00,81.19
23:51:34,6,10.58,0.00,7.69,0.00,0.00,1.92,0.00,0.00,0.00,79.81
23:51:34,7,8.74,0.00,7.77,0.00,0.00,2.91,0.00,0.00,0.00,80.58
23:51:34,12,8.00,0.00,6.00,0.00,0.00,3.00,0.00,0.00,0.00,83.00
23:51:34,13,7.92,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,81.19
23:51:34,14,9.00,0.00,6.00,0.00,0.00,3.00,0.00,0.00,0.00,82.00
23:51:34,15,8.82,0.00,6.86,0.00,0.00,2.94,0.00,0.00,0.00,81.37
23:51:35,4,9.90,0.00,10.89,0.99,0.00,1.98,0.00,0.00,0.00,76.24
23:51:35,5,7.84,0.00,8.82,0.00,0.00,2.94,0.00,0.00,0.00,80.39
23:51:35,6,8.82,0.00,5.88,1.96,0.00,3.92,0.00,0.00,0.00,79.41
23:51:35,7,8.82,0.00,6.86,0.00,0.00,2.94,0.00,0.00,0.00,81.37
23:51:35,12,8.91,0.00,6.93,0.00,0.00,2.97,0.00,0.00,0.00,81.19
23:51:35,13,9.71,0.00,6.80,0.00,0.00,3.88,0.00,0.00,0.00,79.61
23:51:35,14,6.86,0.00,7.84,0.00,0.00,3.92,0.00,0.00,0.00,81.37
23:51:35,15,7.92,0.00,6.93,0.00,0.00,2.97,0.00,0.00,0.00,82.18
23:51:36,4,10.68,0.00,9.71,0.00,0.00,2.91,0.00,0.00,0.00,76.70
23:51:36,5,11.76,0.00,6.86,0.00,0.00,2.94,0.00,0.00,0.00,78.43
23:51:36,6,10.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,79.00
23:51:36,7,6.93,0.00,8.91,0.00,0.00,2.97,0.00,0.00,0.00,81.19
23:51:36,12,9.90,0.00,6.93,0.00,0.00,2.97,0.00,0.00,0.00,80.20
23:51:36,13,9.71,0.00,8.74,0.97,0.00,2.91,0.00,0.00,0.00,77.67
23:51:36,14,9.71,0.00,7.77,0.00,0.00,3.88,0.00,0.00,0.00,78.64
23:51:36,15,9.80,0.00,5.88,0.00,0.00,3.92,0.00,0.00,0.00,80.39
23:51:37,4,8.08,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,82.83
23:51:37,5,9.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,81.00
23:51:37,6,9.62,0.00,7.69,0.00,0.00,2.88,0.00,0.00,0.00,79.81
23:51:37,7,6.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,84.00
23:51:37,12,8.82,0.00,5.88,0.00,0.00,3.92,0.00,0.00,0.00,81.37
23:51:37,13,8.91,0.00,6.93,0.00,0.00,3.96,0.00,0.00,0.00,80.20
23:51:37,14,7.84,0.00,7.84,0.00,0.00,3.92,0.00,0.00,0.00,80.39
23:51:37,15,6.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,83.00
23:51:38,4,8.82,0.00,6.86,0.00,0.00,2.94,0.00,0.00,0.00,81.37
23:51:38,5,8.08,0.00,6.06,0.00,0.00,3.03,0.00,0.00,0.00,82.83
23:51:38,6,7.00,0.00,7.00,0.00,0.00,4.00,0.00,0.00,0.00,82.00
23:51:38,7,7.92,0.00,6.93,0.00,0.00,3.96,0.00,0.00,0.00,81.19
23:51:38,12,7.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,83.00
23:51:38,13,8.91,0.00,8.91,0.00,0.00,1.98,0.00,0.00,0.00,80.20
23:51:38,14,7.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,82.00
