23:58:02,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
23:58:03,4,10.31,0.00,6.19,0.00,0.00,2.06,0.00,0.00,0.00,81.44
23:58:03,5,6.06,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,83.84
23:58:03,6,5.10,0.00,6.12,0.00,0.00,2.04,0.00,0.00,0.00,86.73
23:58:03,7,6.06,0.00,4.04,0.00,0.00,2.02,0.00,0.00,0.00,87.88
23:58:03,12,7.22,0.00,5.15,0.00,0.00,2.06,0.00,0.00,0.00,85.57
23:58:03,13,9.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,80.00
23:58:03,14,6.06,0.00,6.06,0.00,0.00,2.02,0.00,0.00,0.00,85.86
23:58:03,15,5.05,0.00,5.05,0.00,0.00,2.02,0.00,0.00,0.00,87.88
23:58:04,4,11.88,0.00,8.91,0.00,0.00,3.96,0.00,0.00,0.00,75.25
23:58:04,5,11.76,0.00,9.80,0.00,0.00,3.92,0.00,0.00,0.00,74.51
23:58:04,6,8.91,0.00,9.90,0.00,0.00,4.95,0.00,0.00,0.00,76.24
23:58:04,7,9.80,0.00,8.82,0.00,0.00,3.92,0.00,0.00,0.00,77.45
23:58:04,12,11.00,0.00,10.00,0.00,0.00,3.00,0.00,0.00,0.00,76.00
23:58:04,13,10.78,0.00,10.78,0.00,0.00,2.94,0.00,0.00,0.00,75.49
23:58:04,14,9.90,0.00,7.92,0.00,0.00,3.96,0.00,0.00,0.00,78.22
23:58:04,15,9.00,0.00,8.00,0.00,0.00,4.00,0.00,0.00,0.00,79.00
23:58:05,4,9.18,0.00,8.16,0.00,0.00,4.08,0.00,0.00,0.00,78.57
23:58:05,5,9.18,0.00,9.18,0.00,0.00,3.06,0.00,0.00,0.00,78.57
23:58:05,6,11.00,0.00,9.00,0.00,0.00,2.00,0.00,0.00,0.00,78.00
23:58:05,7,9.18,0.00,8.16,0.00,0.00,3.06,0.00,0.00,0.00,79.59
23:58:05,12,10.10,0.00,9.09,0.00,0.00,4.04,0.00,0.00,0.00,76.77
23:58:05,13,10.89,0.00,8.91,0.00,0.00,3.96,0.00,0.00,0.00,76.24
23:58:05,14,10.10,0.00,9.09,0.00,0.00,3.03,0.00,0.00,0.00,77.78
23:58:05,15,9.09,0.00,9.09,0.00,0.00,4.04,0.00,0.00,0.00,77.78
23:58:06,4,11.88,0.00,6.93,0.00,0.00,3.96,0.00,0.00,0.00,77.23
23:58:06,5,10.20,0.00,8.16,0.00,0.00,4.08,0.00,0.00,0.00,77.55
23:58:06,6,10.89,0.00,8.91,0.00,0.00,2.97,0.00,0.00,0.00,77.23
23:58:06,7,8.08,0.00,9.09,0.00,0.00,3.03,0.00,0.00,0.00,79.80
23:58:06,12,7.92,0.00,10.89,0.00,0.00,4.95,0.00,0.00,0.00,76.24
23:58:06,13,11.00,0.00,10.00,0.00,0.00,4.00,0.00,0.00,0.00,75.00
23:58:06,14,11.00,0.00,10.00,0.00,0.00,4.00,0.00,0.00,0.00,75.00
23:58:06,15,10.10,0.00,9.09,0.00,0.00,3.03,0.00,0.00,0.00,77.78
23:58:07,4,10.89,0.00,8.91,0.00,0.00,3.96,0.00,0.00,0.00,76.24
23:58:07,5,9.09,0.00,10.10,0.00,0.00,4.04,0.00,0.00,0.00,76.77
23:58:07,6,9.90,0.00,9.90,0.00,0.00,4.95,0.00,0.00,0.00,75.25
23:58:07,7,9.09,0.00,10.10,0.00,0.00,2.02,0.00,0.00,0.00,78.79
23:58:07,12,10.20,0.00,8.16,0.00,0.00,3.06,0.00,0.00,0.00,78.57
23:58:07,13,13.86,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,75.25
23:58:07,14,10.20,0.00,9.18,0.00,0.00,3.06,0.00,0.00,0.00,77.55
23:58:07,15,10.31,0.00,6.19,0.00,0.00,3.09,0.00,0.00,0.00,80.41
23:58:08,4,11.54,0.00,9.62,0.96,0.00,3.85,0.00,0.00,0.00,74.04
23:58:08,5,12.62,0.00,11.65,0.97,0.00,3.88,0.00,0.00,0.00,70.87
23:58:08,6,10.00,0.00,10.00,0.00,0.00,4.00,0.00,0.00,0.00,76.00
23:58:08,7,9.90,0.00,9.90,0.00,0.00,3.96,0.00,0.00,0.00,76.24
23:58:08,12,10.89,0.00,9.90,0.00,0.00,2.97,0.00,0.00,0.00,76.24
23:58:08,13,11.00,0.00,11.00,0.00,0.00,4.00,0.00,0.00,0.00,74.00
23:58:08,14,10.00,0.00,9.00,0.00,0.00,4.00,0.00,0.00,0.00,77.00
