00:08:01,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
00:08:03,4,16.33,0.00,6.12,0.00,0.00,1.02,0.00,0.00,0.00,76.53
00:08:03,5,7.14,0.00,5.10,0.00,0.00,1.02,0.00,0.00,0.00,86.73
00:08:03,6,5.05,0.00,5.05,0.00,0.00,1.01,0.00,0.00,0.00,88.89
00:08:03,7,4.08,0.00,2.04,0.00,0.00,1.02,0.00,0.00,0.00,92.86
00:08:03,12,5.05,0.00,2.02,0.00,0.00,0.00,0.00,0.00,0.00,92.93
00:08:03,13,4.08,0.00,3.06,0.00,0.00,1.02,0.00,0.00,0.00,91.84
00:08:03,14,4.12,0.00,3.09,0.00,0.00,0.00,0.00,0.00,0.00,92.78
00:08:03,15,6.06,0.00,3.03,0.00,0.00,0.00,0.00,0.00,0.00,90.91
00:08:04,4,8.25,0.00,6.19,0.00,0.00,2.06,0.00,0.00,0.00,83.51
00:08:04,5,10.89,0.00,7.92,0.00,0.00,1.98,0.00,0.00,0.00,79.21
00:08:04,6,10.78,0.00,5.88,0.00,0.00,2.94,0.00,0.00,0.00,80.39
00:08:04,7,9.28,0.00,4.12,0.00,0.00,2.06,0.00,0.00,0.00,84.54
00:08:04,12,9.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,80.00
00:08:04,13,11.11,0.00,6.06,0.00,0.00,2.02,0.00,0.00,0.00,80.81
00:08:04,14,8.08,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,81.82
00:08:04,15,7.22,0.00,6.19,0.00,0.00,3.09,0.00,0.00,0.00,83.51
00:08:05,4,8.08,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,81.82
00:08:05,5,10.10,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,80.81
00:08:05,6,8.00,0.00,7.00,0.00,0.00,4.00,0.00,0.00,0.00,81.00
00:08:05,7,11.00,0.00,6.00,0.00,0.00,2.00,0.00,0.00,0.00,81.00
00:08:05,12,9.18,0.00,6.12,0.00,0.00,2.04,0.00,0.00,0.00,82.65
00:08:05,13,9.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,81.00
00:08:05,14,10.10,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,80.81
00:08:05,15,8.16,0.00,6.12,0.00,0.00,3.06,0.00,0.00,0.00,82.65
00:08:06,4,12.87,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,76.24
00:08:06,5,11.11,0.00,9.09,0.00,0.00,3.03,0.00,0.00,0.00,76.77
00:08:06,6,10.89,0.00,7.92,0.00,0.00,1.98,0.00,0.00,0.00,79.21
00:08:06,7,10.89,0.00,6.93,0.00,0.00,2.97,0.00,0.00,0.00,79.21
00:08:06,12,12.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,78.00
00:08:06,13,14.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,77.00
00:08:06,14,9.90,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,79.21
00:08:06,15,11.76,0.00,6.86,0.00,0.00,2.94,0.00,0.00,0.00,78.43
00:08:07,4,10.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,80.00
00:08:07,5,10.10,0.00,6.06,0.00,0.00,2.02,0.00,0.00,0.00,81.82
00:08:07,6,10.00,0.00,6.00,0.00,0.00,3.00,0.00,0.00,0.00,81.00
00:08:07,7,10.10,0.00,5.05,0.00,0.00,3.03,0.00,0.00,0.00,81.82
00:08:07,12,8.16,0.00,7.14,1.02,0.00,2.04,0.00,0.00,0.00,81.63
00:08:07,13,8.91,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,80.20
00:08:07,14,10.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,81.00
00:08:07,15,8.08,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,81.82
00:08:08,4,9.09,0.00,6.06,0.00,0.00,3.03,0.00,0.00,0.00,81.82
00:08:08,5,9.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,80.00
00:08:08,6,10.78,0.00,6.86,0.98,0.00,2.94,0.00,0.00,0.00,78.43
00:08:08,7,9.09,0.00,6.06,0.00,0.00,3.03,0.00,0.00,0.00,81.82
00:08:08,12,11.65,0.00,6.80,0.97,0.00,2.91,0.00,0.00,0.00,77.67
00:08:08,13,11.11,0.00,7.07,0.00,0.00,1.01,0.00,0.00,0.00,80.81
00:08:08,14,10.10,0.00,5.05,0.00,0.00,3.03,0.00,0.00,0.00,81.82
00:08:08,15,8.16,0.00,6.12,0.00,0.00,3.06,0.00,0.00,0.00,82.65
00:08:09,4,10.10,0.00,5.05,0.00,0.00,3.03,0.00,0.00,0.00,81.82
00:08:09,5,8.25,0.00,6.19,0.00,0.00,2.06,0.00,0.00,0.00,83.51
00:08:09,6,10.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,81.00
00:08:09,7,8.08,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,81.82
00:08:09,12,9.09,0.00,6.06,0.00,0.00,3.03,0.00,0.00,0.00,81.82
00:08:09,13,9.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,81.00
00:08:09,14,8.25,0.00,6.19,0.00,0.00,3.09,0.00,0.00,0.00,82.47
00:08:09,15,8.08,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,81.82
00:08:10,4,8.25,0.00,6.19,0.00,0.00,3.09,0.00,0.00,0.00,82.47
00:08:10,5,9.18,0.00,6.12,0.00,0.00,3.06,0.00,0.00,0.00,81.63
00:08:10,6,9.09,0.00,6.06,0.00,0.00,3.03,0.00,0.00,0.00,81.82
00:08:10,7,8.16,0.00,6.12,0.00,0.00,2.04,0.00,0.00,0.00,83.67
00:08:10,12,9.09,0.00,6.06,0.00,0.00,3.03,0.00,0.00,0.00,81.82
00:08:10,13,9.09,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,80.81
00:08:10,14,9.18,0.00,6.12,0.00,0.00,3.06,0.00,0.00,0.00,81.63
00:08:10,15,9.00,0.00,6.00,0.00,0.00,3.00,0.00,0.00,0.00,82.00
00:08:11,4,10.89,0.00,9.90,0.00,0.00,1.98,0.00,0.00,0.00,77.23
00:08:11,5,10.10,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,79.80
00:08:11,6,9.38,0.00,5.21,0.00,0.00,2.08,0.00,0.00,0.00,83.33
00:08:11,7,8.00,0.00,9.00,0.00,0.00,2.00,0.00,0.00,0.00,81.00
00:08:11,12,11.22,0.00,6.12,0.00,0.00,3.06,0.00,0.00,0.00,79.59
00:08:11,13,11.11,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,78.79
00:08:11,14,9.09,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,80.81
00:08:11,15,10.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,80.00
