21:24:08,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
21:24:09,4,10.10,0.00,3.03,0.00,0.00,0.00,0.00,0.00,0.00,86.87
21:24:09,5,8.33,0.00,3.12,0.00,0.00,0.00,0.00,0.00,0.00,88.54
21:24:09,6,2.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,96.00
21:24:09,7,3.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,93.00
21:24:09,12,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,98.00
21:24:09,13,2.02,0.00,3.03,0.00,0.00,0.00,0.00,0.00,0.00,94.95
21:24:09,14,1.98,0.00,2.97,0.00,0.00,0.00,0.00,0.00,0.00,95.05
21:24:09,15,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,96.00
21:24:10,4,1.01,0.00,2.02,0.00,0.00,0.00,0.00,0.00,0.00,96.97
21:24:10,5,1.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,96.00
21:24:10,6,1.01,0.00,1.01,0.00,0.00,0.00,0.00,0.00,0.00,97.98
21:24:10,7,0.00,0.00,1.02,0.00,0.00,0.00,0.00,0.00,0.00,98.98
21:24:10,12,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,98.00
21:24:10,13,1.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,96.00
21:24:10,14,1.01,0.00,2.02,0.00,0.00,1.01,0.00,0.00,0.00,95.96
21:24:10,15,1.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,96.00
21:24:11,4,1.01,0.00,1.01,0.00,0.00,0.00,0.00,0.00,0.00,97.98
21:24:11,5,2.02,0.00,2.02,0.00,0.00,0.00,0.00,0.00,0.00,95.96
21:24:11,6,0.00,0.00,1.98,0.00,0.00,0.99,0.00,0.00,0.00,97.03
21:24:11,7,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,97.00
21:24:11,12,1.01,0.00,1.01,0.00,0.00,1.01,0.00,0.00,0.00,96.97
21:24:11,13,1.01,0.00,1.01,0.00,0.00,1.01,0.00,0.00,0.00,96.97
21:24:11,14,0.00,0.00,2.02,0.00,0.00,0.00,0.00,0.00,0.00,97.98
21:24:11,15,1.01,0.00,2.02,0.00,0.00,0.00,0.00,0.00,0.00,96.97
21:24:12,4,1.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,95.00
21:24:12,5,1.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,96.00
21:24:12,6,1.01,0.00,2.02,0.00,0.00,1.01,0.00,0.00,0.00,95.96
21:24:12,7,1.02,0.00,1.02,0.00,0.00,0.00,0.00,0.00,0.00,97.96
21:24:12,12,1.01,0.00,1.01,0.00,0.00,0.00,0.00,0.00,0.00,97.98
21:24:12,13,1.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,96.00
21:24:12,14,0.99,0.00,1.98,0.00,0.00,0.99,0.00,0.00,0.00,96.04
21:24:12,15,1.02,0.00,2.04,0.00,0.00,0.00,0.00,0.00,0.00,96.94
21:24:13,4,1.01,0.00,1.01,0.00,0.00,1.01,0.00,0.00,0.00,96.97
21:24:13,5,1.01,0.00,2.02,0.00,0.00,0.00,0.00,0.00,0.00,96.97
21:24:13,6,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,98.00
21:24:13,7,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,98.00
21:24:13,12,1.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,96.00
21:24:13,13,1.01,0.00,1.01,0.00,0.00,1.01,0.00,0.00,0.00,96.97
21:24:13,14,1.01,0.00,2.02,0.00,0.00,0.00,0.00,0.00,0.00,96.97
21:24:13,15,1.98,0.00,1.98,0.00,0.00,0.99,0.00,0.00,0.00,95.05
21:24:14,4,4.04,0.00,2.02,0.00,0.00,0.00,0.00,0.00,0.00,93.94
21:24:14,5,1.01,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,94.95
21:24:14,6,1.02,0.00,2.04,1.02,0.00,0.00,0.00,0.00,0.00,95.92
21:24:14,7,1.00,0.00,2.00,2.00,0.00,1.00,0.00,0.00,0.00,94.00
21:24:14,12,0.00,0.00,2.06,0.00,0.00,0.00,0.00,0.00,0.00,97.94
21:24:14,13,1.02,0.00,2.04,1.02,0.00,0.00,0.00,0.00,0.00,95.92
21:24:14,14,2.97,0.00,2.97,0.00,0.00,0.99,0.00,0.00,0.00,93.07
21:24:14,15,1.01,0.00,1.01,0.00,0.00,0.00,0.00,0.00,0.00,97.98
21:24:15,4,2.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00
21:24:15,5,0.99,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.00,97.03
21:24:15,6,1.98,0.00,1.98,0.00,0.00,0.99,0.00,0.00,0.00,95.05
