21:41:03,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
21:41:04,4,7.14,0.00,3.06,0.00,0.00,0.00,0.00,0.00,0.00,89.80
21:41:04,5,10.10,0.00,4.04,0.00,0.00,1.01,0.00,0.00,0.00,84.85
21:41:04,6,2.02,0.00,1.01,0.00,0.00,1.01,0.00,0.00,0.00,95.96
21:41:04,7,3.96,0.00,1.98,0.00,0.00,0.99,0.00,0.00,0.00,93.07
21:41:04,12,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,97.00
21:41:04,13,3.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,0.00,92.00
21:41:04,14,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,96.00
21:41:04,15,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,98.00
21:41:05,4,4.90,0.00,4.90,0.00,0.00,1.96,0.00,0.00,0.00,88.24
21:41:05,5,2.97,0.00,2.97,0.00,0.00,0.99,0.00,0.00,0.00,93.07
21:41:05,6,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,98.00
21:41:05,7,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00
21:41:05,12,2.02,0.00,3.03,0.00,0.00,0.00,0.00,0.00,0.00,94.95
21:41:05,13,3.03,0.00,2.02,0.00,0.00,1.01,0.00,0.00,0.00,93.94
21:41:05,14,1.96,0.00,2.94,0.00,0.00,1.96,0.00,0.00,0.00,93.14
21:41:05,15,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00
21:41:06,4,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,98.00
21:41:06,5,2.04,0.00,4.08,0.00,0.00,3.06,0.00,0.00,0.00,90.82
21:41:06,6,2.91,0.00,1.94,0.00,0.00,0.97,0.00,0.00,0.00,94.17
21:41:06,7,2.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,96.00
21:41:06,12,0.98,0.00,0.98,0.00,0.00,0.98,0.00,0.00,0.00,97.06
21:41:06,13,2.97,0.00,2.97,0.00,0.00,1.98,0.00,0.00,0.00,92.08
21:41:06,14,0.99,0.00,1.98,0.00,0.00,0.00,0.00,0.00,0.00,97.03
21:41:06,15,1.98,0.00,2.97,0.00,0.00,1.98,0.00,0.00,0.00,93.07
21:41:07,4,3.03,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,92.93
21:41:07,5,1.98,0.00,1.98,0.00,0.00,0.99,0.00,0.00,0.00,95.05
21:41:07,6,1.01,0.00,1.01,0.00,0.00,1.01,0.00,0.00,0.00,96.97
21:41:07,7,3.00,0.00,3.00,0.00,0.00,2.00,0.00,0.00,0.00,92.00
21:41:07,12,1.98,0.00,1.98,0.00,0.00,1.98,0.00,0.00,0.00,94.06
21:41:07,13,1.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,96.00
21:41:07,14,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,98.00
21:41:07,15,0.00,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,99.01
21:41:08,4,3.96,0.00,3.96,0.00,0.00,1.98,0.00,0.00,0.00,90.10
21:41:08,5,4.04,0.00,3.03,0.00,0.00,1.01,0.00,0.00,0.00,91.92
