09:07:01,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
09:07:02,4,12.63,0.00,7.37,0.00,0.00,1.05,0.00,0.00,0.00,78.95
09:07:02,5,19.79,0.00,12.50,0.00,0.00,3.12,0.00,0.00,0.00,64.58
09:07:02,6,7.37,0.00,7.37,0.00,0.00,3.16,0.00,0.00,0.00,82.11
09:07:02,7,7.45,0.00,6.38,0.00,0.00,2.13,0.00,0.00,0.00,84.04
09:07:02,12,13.13,0.00,10.10,0.00,0.00,3.03,0.00,0.00,0.00,73.74
09:07:02,13,10.64,0.00,7.45,0.00,0.00,2.13,0.00,0.00,0.00,79.79
09:07:02,14,10.42,0.00,7.29,0.00,0.00,3.12,0.00,0.00,0.00,79.17
09:07:02,15,7.37,0.00,7.37,0.00,0.00,2.11,0.00,0.00,0.00,83.16
09:07:03,4,15.96,0.00,14.89,0.00,0.00,6.38,0.00,0.00,0.00,62.77
09:07:03,5,16.48,0.00,13.19,0.00,0.00,5.49,0.00,0.00,0.00,64.84
09:07:03,6,17.39,0.00,14.13,0.00,0.00,5.43,0.00,0.00,0.00,63.04
09:07:03,7,13.19,0.00,14.29,0.00,0.00,6.59,0.00,0.00,0.00,65.93
09:07:03,12,18.48,0.00,13.04,0.00,0.00,5.43,0.00,0.00,0.00,63.04
09:07:03,13,17.20,0.00,13.98,0.00,0.00,6.45,0.00,0.00,0.00,62.37
09:07:03,14,17.39,0.00,13.04,0.00,0.00,6.52,0.00,0.00,0.00,63.04
09:07:03,15,15.73,0.00,13.48,0.00,0.00,4.49,0.00,0.00,0.00,66.29
09:07:04,4,18.48,0.00,14.13,1.09,0.00,4.35,0.00,0.00,0.00,61.96
09:07:04,5,17.39,0.00,14.13,0.00,0.00,5.43,0.00,0.00,0.00,63.04
09:07:04,6,17.20,0.00,15.05,0.00,0.00,5.38,0.00,0.00,0.00,62.37
09:07:04,7,15.38,0.00,14.29,0.00,0.00,5.49,0.00,0.00,0.00,64.84
09:07:04,12,18.09,0.00,13.83,0.00,0.00,5.32,0.00,0.00,0.00,62.77
09:07:04,13,17.39,0.00,15.22,0.00,0.00,4.35,0.00,0.00,0.00,63.04
09:07:04,14,17.39,0.00,14.13,0.00,0.00,3.26,0.00,0.00,0.00,65.22
09:07:04,15,16.30,0.00,13.04,0.00,0.00,5.43,0.00,0.00,0.00,65.22
