10:07:39,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
10:07:40,4,11.58,0.00,7.37,0.00,0.00,2.11,0.00,0.00,0.00,78.95
10:07:40,5,18.75,0.00,10.42,0.00,0.00,1.04,0.00,0.00,0.00,69.79
10:07:40,6,8.42,0.00,6.32,0.00,0.00,2.11,0.00,0.00,0.00,83.16
10:07:40,7,6.25,0.00,5.21,0.00,0.00,2.08,0.00,0.00,0.00,86.46
10:07:40,12,7.22,0.00,6.19,0.00,0.00,2.06,0.00,0.00,0.00,84.54
10:07:40,13,7.22,0.00,8.25,0.00,0.00,2.06,0.00,0.00,0.00,82.47
10:07:40,14,8.33,0.00,7.29,0.00,0.00,1.04,0.00,0.00,0.00,83.33
10:07:40,15,5.26,0.00,6.32,0.00,0.00,2.11,0.00,0.00,0.00,86.32
10:07:41,4,16.13,0.00,13.98,0.00,0.00,6.45,0.00,0.00,0.00,63.44
10:07:41,5,18.09,0.00,13.83,0.00,0.00,5.32,0.00,0.00,0.00,62.77
10:07:41,6,17.02,0.00,14.89,0.00,0.00,5.32,0.00,0.00,0.00,62.77
10:07:41,7,14.29,0.00,14.29,0.00,0.00,4.40,0.00,0.00,0.00,67.03
10:07:41,12,13.83,0.00,15.96,2.13,0.00,5.32,0.00,0.00,0.00,62.77
10:07:41,13,15.38,0.00,13.19,1.10,0.00,5.49,0.00,0.00,0.00,64.84
10:07:41,14,16.13,0.00,11.83,0.00,0.00,5.38,0.00,0.00,0.00,66.67
10:07:41,15,14.44,0.00,13.33,0.00,0.00,3.33,0.00,0.00,0.00,68.89
10:07:42,4,15.56,0.00,12.22,0.00,0.00,4.44,0.00,0.00,0.00,67.78
10:07:42,5,18.18,0.00,13.64,0.00,0.00,3.41,0.00,0.00,0.00,64.77
10:07:42,6,15.05,0.00,15.05,0.00,0.00,6.45,0.00,0.00,0.00,63.44
10:07:42,7,16.48,0.00,12.09,0.00,0.00,4.40,0.00,0.00,0.00,67.03
10:07:42,12,14.44,0.00,13.33,0.00,0.00,4.44,0.00,0.00,0.00,67.78
10:07:42,13,16.30,0.00,13.04,0.00,0.00,5.43,0.00,0.00,0.00,65.22
10:07:42,14,16.13,0.00,12.90,0.00,0.00,6.45,0.00,0.00,0.00,64.52
10:07:42,15,17.20,0.00,11.83,0.00,0.00,5.38,0.00,0.00,0.00,65.59
10:07:43,4,19.15,0.00,12.77,0.00,0.00,6.38,0.00,0.00,0.00,61.70
10:07:43,5,15.96,0.00,14.89,0.00,0.00,6.38,0.00,0.00,0.00,62.77
10:07:43,6,14.44,0.00,13.33,0.00,0.00,5.56,0.00,0.00,0.00,66.67
10:07:43,7,15.22,0.00,14.13,0.00,0.00,5.43,0.00,0.00,0.00,65.22
10:07:43,12,19.35,0.00,15.05,0.00,0.00,5.38,0.00,0.00,0.00,60.22
10:07:43,13,18.48,0.00,14.13,0.00,0.00,5.43,0.00,0.00,0.00,61.96
10:07:43,14,17.02,0.00,13.83,0.00,0.00,6.38,0.00,0.00,0.00,62.77
10:07:43,15,15.05,0.00,15.05,0.00,0.00,5.38,0.00,0.00,0.00,64.52
10:07:44,4,17.58,0.00,13.19,0.00,0.00,4.40,0.00,0.00,0.00,64.84
10:07:44,5,15.38,0.00,12.09,0.00,0.00,6.59,0.00,0.00,0.00,65.93
10:07:44,6,15.56,0.00,12.22,0.00,0.00,5.56,0.00,0.00,0.00,66.67
10:07:44,7,14.13,0.00,11.96,0.00,0.00,4.35,0.00,0.00,0.00,69.57
10:07:44,12,15.38,0.00,15.38,0.00,0.00,5.49,0.00,0.00,0.00,63.74
10:07:44,13,15.96,0.00,13.83,0.00,0.00,6.38,0.00,0.00,0.00,63.83
10:07:44,14,18.68,0.00,13.19,0.00,0.00,4.40,0.00,0.00,0.00,63.74
10:07:44,15,15.22,0.00,13.04,0.00,0.00,4.35,0.00,0.00,0.00,67.39
10:07:45,4,15.79,0.00,14.74,0.00,0.00,5.26,0.00,0.00,0.00,64.21
10:07:45,5,18.48,0.00,13.04,0.00,0.00,4.35,0.00,0.00,0.00,64.13
10:07:45,6,16.30,0.00,14.13,0.00,0.00,5.43,0.00,0.00,0.00,64.13
10:07:45,7,16.13,0.00,13.98,0.00,0.00,4.30,0.00,0.00,0.00,65.59
10:07:45,12,15.96,0.00,12.77,0.00,0.00,6.38,0.00,0.00,0.00,64.89
10:07:45,13,16.48,0.00,14.29,0.00,0.00,6.59,0.00,0.00,0.00,62.64
10:07:45,14,16.30,0.00,13.04,0.00,0.00,5.43,0.00,0.00,0.00,65.22
10:07:45,15,14.13,0.00,14.13,0.00,0.00,4.35,0.00,0.00,0.00,67.39
10:07:46,4,16.30,0.00,15.22,0.00,0.00,5.43,0.00,0.00,0.00,63.04
10:07:46,5,15.38,0.00,14.29,0.00,0.00,5.49,0.00,0.00,0.00,64.84
