11:17:12,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
11:17:13,4,76.77,0.00,6.06,0.00,0.00,2.02,0.00,0.00,0.00,15.15
11:17:13,5,74.75,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,14.14
11:17:13,6,75.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,15.00
11:17:13,7,76.77,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,14.14
11:17:13,12,75.76,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,15.15
11:17:13,13,78.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,11.00
11:17:13,14,73.00,0.00,8.00,0.00,0.00,4.00,0.00,0.00,0.00,15.00
11:17:13,15,75.51,0.00,7.14,0.00,0.00,2.04,0.00,0.00,0.00,15.31
11:17:14,4,86.14,0.00,8.91,0.00,0.00,3.96,0.00,0.00,0.00,0.99
11:17:14,5,86.00,0.00,9.00,0.00,0.00,4.00,0.00,0.00,0.00,1.00
11:17:14,6,87.88,0.00,9.09,0.00,0.00,2.02,0.00,0.00,0.00,1.01
11:17:14,7,85.15,0.00,9.90,0.00,0.00,3.96,0.00,0.00,0.00,0.99
11:17:14,12,86.00,0.00,10.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
11:17:14,13,86.00,0.00,9.00,0.00,0.00,4.00,0.00,0.00,0.00,1.00
11:17:14,14,87.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
11:17:14,15,86.00,0.00,9.00,0.00,0.00,4.00,0.00,0.00,0.00,1.00
11:17:15,4,88.89,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,1.01
11:17:15,5,87.88,0.00,10.10,0.00,0.00,2.02,0.00,0.00,0.00,0.00
11:17:15,6,86.14,0.00,9.90,0.00,0.00,2.97,0.00,0.00,0.00,0.99
11:17:15,7,85.86,0.00,10.10,0.00,0.00,3.03,0.00,0.00,0.00,1.01
11:17:15,12,87.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
11:17:15,13,86.87,0.00,10.10,0.00,0.00,2.02,0.00,0.00,0.00,1.01
11:17:15,14,86.00,0.00,10.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
11:17:15,15,86.00,0.00,10.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00
11:17:16,4,87.76,0.00,8.16,0.00,0.00,4.08,0.00,0.00,0.00,0.00
11:17:16,5,84.16,0.00,9.90,0.00,0.00,4.95,0.00,0.00,0.00,0.99
11:17:16,6,86.87,0.00,10.10,0.00,0.00,3.03,0.00,0.00,0.00,0.00
11:17:16,7,87.13,0.00,8.91,0.00,0.00,2.97,0.00,0.00,0.00,0.99
11:17:16,12,86.27,0.00,8.82,0.00,0.00,3.92,0.00,0.00,0.00,0.98
11:17:16,13,84.16,0.00,10.89,0.00,0.00,3.96,0.00,0.00,0.00,0.99
11:17:16,14,87.00,0.00,10.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
11:17:16,15,87.00,0.00,8.00,0.00,0.00,4.00,0.00,0.00,0.00,1.00
11:17:17,4,84.31,0.00,10.78,0.00,0.00,2.94,0.00,0.00,0.00,1.96
11:17:17,5,87.76,0.00,9.18,0.00,0.00,2.04,0.00,0.00,0.00,1.02
11:17:17,6,88.12,0.00,7.92,0.00,0.00,1.98,0.00,0.00,0.00,1.98
11:17:17,7,86.87,0.00,8.08,0.00,0.00,4.04,0.00,0.00,0.00,1.01
11:17:17,12,86.87,0.00,9.09,0.00,0.00,3.03,0.00,0.00,0.00,1.01
11:17:17,13,86.00,0.00,9.00,0.00,0.00,4.00,0.00,0.00,0.00,1.00
11:17:17,14,85.00,0.00,11.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00
11:17:17,15,87.88,0.00,9.09,0.00,0.00,2.02,0.00,0.00,0.00,1.01
11:17:18,4,89.80,0.00,7.14,0.00,0.00,3.06,0.00,0.00,0.00,0.00
11:17:18,5,85.29,0.00,9.80,0.00,0.00,3.92,0.00,0.00,0.00,0.98
11:17:18,6,85.86,0.00,10.10,0.00,0.00,4.04,0.00,0.00,0.00,0.00
11:17:18,7,87.00,0.00,8.00,0.00,0.00,4.00,0.00,0.00,0.00,1.00
11:17:18,12,87.88,0.00,9.09,0.00,0.00,3.03,0.00,0.00,0.00,0.00
11:17:18,13,87.00,0.00,10.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
11:17:18,14,91.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
11:17:18,15,84.16,0.00,9.90,0.00,0.00,4.95,0.00,0.00,0.00,0.99
11:17:19,4,88.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
11:17:19,5,89.00,0.00,6.00,0.00,0.00,4.00,0.00,0.00,0.00,1.00
11:17:19,6,88.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
