11:27:54,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
11:27:55,4,41.41,0.00,5.05,0.00,0.00,2.02,0.00,0.00,0.00,51.52
11:27:55,5,46.94,0.00,6.12,0.00,0.00,1.02,0.00,0.00,0.00,45.92
11:27:55,6,40.40,0.00,4.04,0.00,0.00,1.01,0.00,0.00,0.00,54.55
11:27:55,7,40.00,0.00,6.00,0.00,0.00,1.00,0.00,0.00,0.00,53.00
11:27:55,12,40.82,0.00,5.10,0.00,0.00,0.00,0.00,0.00,0.00,54.08
11:27:55,13,45.45,0.00,8.08,0.00,0.00,1.01,0.00,0.00,0.00,45.45
11:27:55,14,38.38,0.00,4.04,0.00,0.00,2.02,0.00,0.00,0.00,55.56
11:27:55,15,40.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,0.00,55.00
11:27:56,4,85.86,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,4.04
11:27:56,5,86.87,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,4.04
11:27:56,6,85.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,5.00
11:27:56,7,84.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,5.00
11:27:56,12,85.00,0.00,7.00,0.00,0.00,4.00,0.00,0.00,0.00,4.00
11:27:56,13,86.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,4.00
11:27:56,14,85.15,0.00,7.92,0.00,0.00,1.98,0.00,0.00,0.00,4.95
11:27:56,15,85.86,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,4.04
11:27:57,4,88.89,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,1.01
11:27:57,5,89.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00
11:27:57,6,87.88,0.00,9.09,0.00,0.00,3.03,0.00,0.00,0.00,0.00
11:27:57,7,88.00,0.00,9.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00
11:27:57,12,89.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
11:27:57,13,88.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
11:27:57,14,87.00,0.00,10.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
11:27:57,15,89.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00
11:27:58,4,87.13,0.00,8.91,0.00,0.00,2.97,0.00,0.00,0.00,0.99
11:27:58,5,87.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
11:27:58,6,88.89,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,1.01
11:27:58,7,89.90,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,0.00
11:27:58,12,89.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
11:27:58,13,89.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00
11:27:58,14,89.90,0.00,6.06,0.00,0.00,3.03,0.00,0.00,0.00,1.01
11:27:58,15,88.12,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,0.99
11:27:59,4,89.90,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,1.01
11:27:59,5,87.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
11:27:59,6,88.24,0.00,7.84,0.00,0.00,2.94,0.00,0.00,0.00,0.98
11:27:59,7,89.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
11:27:59,12,89.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00
11:27:59,13,88.89,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,0.00
11:27:59,14,88.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
11:27:59,15,88.00,0.00,8.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00
11:28:00,4,89.90,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,0.00
11:28:00,5,88.89,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,1.01
11:28:00,6,88.89,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,1.01
11:28:00,7,87.00,0.00,10.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00
11:28:00,12,87.88,0.00,8.08,0.00,0.00,4.04,0.00,0.00,0.00,0.00
11:28:00,13,88.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
11:28:00,14,87.88,0.00,9.09,0.00,0.00,2.02,0.00,0.00,0.00,1.01
11:28:00,15,88.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00
11:28:01,4,88.12,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,0.99
11:28:01,5,87.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
11:28:01,6,87.13,0.00,9.90,0.00,0.00,1.98,0.00,0.00,0.00,0.99
11:28:01,7,88.12,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,0.99
11:28:01,12,87.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
11:28:01,13,88.12,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,0.99
11:28:01,14,89.11,0.00,6.93,0.00,0.00,2.97,0.00,0.00,0.00,0.99
11:28:01,15,89.80,0.00,6.12,0.00,0.00,4.08,0.00,0.00,0.00,0.00
11:28:02,4,88.00,0.00,9.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00
11:28:02,5,90.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
11:28:02,6,91.84,0.00,6.12,0.00,0.00,2.04,0.00,0.00,0.00,0.00
11:28:02,7,88.89,0.00,10.10,0.00,0.00,1.01,0.00,0.00,0.00,0.00
11:28:02,12,89.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
11:28:02,13,88.78,0.00,9.18,0.00,0.00,2.04,0.00,0.00,0.00,0.00
11:28:02,14,87.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
11:28:02,15,88.12,0.00,8.91,0.00,0.00,1.98,0.00,0.00,0.00,0.99
11:28:03,4,87.88,0.00,9.09,0.00,0.00,2.02,0.00,0.00,0.00,1.01
11:28:03,5,88.00,0.00,7.00,0.00,0.00,4.00,0.00,0.00,0.00,1.00
11:28:03,6,88.12,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,0.99
11:28:03,7,89.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
11:28:03,12,89.90,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,1.01
11:28:03,13,87.00,0.00,10.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00
11:28:03,14,88.89,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,1.01
11:28:03,15,87.88,0.00,9.09,0.00,0.00,2.02,0.00,0.00,0.00,1.01
11:28:04,4,87.13,0.00,8.91,0.00,0.00,2.97,0.00,0.00,0.00,0.99
11:28:04,5,88.89,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,1.01
11:28:04,6,88.89,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,1.01
11:28:04,7,89.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00
11:28:04,12,90.00,0.00,8.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00
11:28:04,13,88.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
11:28:04,14,87.88,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,1.01
11:28:04,15,87.13,0.00,7.92,0.00,0.00,3.96,0.00,0.00,0.00,0.99
11:28:05,4,89.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
11:28:05,5,87.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
11:28:05,6,87.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
11:28:05,7,90.91,0.00,6.06,0.00,0.00,2.02,0.00,0.00,0.00,1.01
11:28:05,12,88.89,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,1.01
11:28:05,13,88.89,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,1.01
11:28:05,14,90.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00
11:28:05,15,88.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
11:28:06,4,89.90,0.00,8.08,0.00,0.00,1.01,0.00,0.00,0.00,1.01
11:28:06,5,86.14,0.00,8.91,0.00,0.00,3.96,0.00,0.00,0.00,0.99
11:28:06,6,85.15,0.00,10.89,0.00,0.00,2.97,0.00,0.00,0.00,0.99
11:28:06,7,87.13,0.00,8.91,0.00,0.00,2.97,0.00,0.00,0.00,0.99
11:28:06,12,87.25,0.00,7.84,0.00,0.00,3.92,0.00,0.00,0.00,0.98
11:28:06,13,88.00,0.00,7.00,0.00,0.00,4.00,0.00,0.00,0.00,1.00
11:28:06,14,88.12,0.00,7.92,0.00,0.00,3.96,0.00,0.00,0.00,0.00
11:28:06,15,88.78,0.00,7.14,0.00,0.00,4.08,0.00,0.00,0.00,0.00
11:28:07,4,89.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
11:28:07,5,89.90,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,1.01
11:28:07,6,87.88,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,1.01
11:28:07,7,89.90,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,0.00
11:28:07,12,88.78,0.00,8.16,0.00,0.00,2.04,0.00,0.00,0.00,1.02
11:28:07,13,88.12,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,0.99
11:28:07,14,88.78,0.00,8.16,0.00,0.00,2.04,0.00,0.00,0.00,1.02
11:28:07,15,88.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00
11:28:08,4,85.00,0.00,11.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
11:28:08,5,87.00,0.00,10.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00
11:28:08,6,90.91,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,0.00
11:28:08,7,88.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
11:28:08,12,89.00,0.00,9.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
11:28:08,13,88.00,0.00,9.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00
11:28:08,14,89.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00
11:28:08,15,89.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
11:28:09,4,89.90,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,0.00
11:28:09,5,88.89,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,0.00
11:28:09,6,88.12,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,0.99
11:28:09,7,88.89,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,1.01
