11:38:11,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
11:38:12,4,45.92,0.00,5.10,0.00,0.00,2.04,0.00,0.00,0.00,46.94
11:38:12,5,55.56,0.00,7.07,0.00,0.00,1.01,0.00,0.00,0.00,36.36
11:38:12,6,45.45,0.00,6.06,0.00,0.00,1.01,0.00,0.00,0.00,47.47
11:38:12,7,46.00,0.00,5.00,0.00,0.00,2.00,0.00,0.00,0.00,47.00
11:38:12,12,45.45,0.00,6.06,0.00,0.00,2.02,0.00,0.00,0.00,46.46
11:38:12,13,51.52,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,38.38
11:38:12,14,46.46,0.00,4.04,0.00,0.00,2.02,0.00,0.00,0.00,47.47
11:38:12,15,46.46,0.00,5.05,0.00,0.00,1.01,0.00,0.00,0.00,47.47
11:38:13,4,89.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00
11:38:13,5,89.11,0.00,7.92,0.00,0.00,1.98,0.00,0.00,0.00,0.99
11:38:13,6,89.80,0.00,7.14,0.00,0.00,3.06,0.00,0.00,0.00,0.00
11:38:13,7,86.73,0.00,9.18,0.00,0.00,3.06,0.00,0.00,0.00,1.02
11:38:13,12,88.12,0.00,7.92,0.00,0.00,1.98,0.00,0.00,0.00,1.98
11:38:13,13,87.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
11:38:13,14,86.00,0.00,10.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
11:38:13,15,89.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00
11:38:14,4,88.00,0.00,9.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00
11:38:14,5,88.00,0.00,9.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00
11:38:14,6,87.13,0.00,8.91,0.00,0.00,2.97,0.00,0.00,0.00,0.99
11:38:14,7,88.12,0.00,8.91,0.00,0.00,1.98,0.00,0.00,0.00,0.99
11:38:14,12,88.89,0.00,9.09,0.00,0.00,2.02,0.00,0.00,0.00,0.00
11:38:14,13,87.88,0.00,8.08,0.00,0.00,4.04,0.00,0.00,0.00,0.00
11:38:14,14,87.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
11:38:14,15,89.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
11:38:15,4,90.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00
11:38:15,5,87.88,0.00,9.09,0.00,0.00,2.02,0.00,0.00,0.00,1.01
11:38:15,6,87.13,0.00,8.91,0.00,0.00,2.97,0.00,0.00,0.00,0.99
11:38:15,7,89.90,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,1.01
11:38:15,12,87.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
11:38:15,13,90.91,0.00,6.06,0.00,0.00,2.02,0.00,0.00,0.00,1.01
11:38:15,14,88.12,0.00,8.91,0.00,0.00,1.98,0.00,0.00,0.00,0.99
11:38:15,15,89.90,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,1.01
11:38:16,4,88.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
11:38:16,5,88.00,0.00,8.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00
11:38:16,6,87.88,0.00,9.09,0.00,0.00,2.02,0.00,0.00,0.00,1.01
11:38:16,7,89.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
11:38:16,12,89.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00
11:38:16,13,88.00,0.00,7.00,0.00,0.00,4.00,0.00,0.00,0.00,1.00
11:38:16,14,89.80,0.00,8.16,0.00,0.00,2.04,0.00,0.00,0.00,0.00
11:38:16,15,87.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
11:38:17,4,89.90,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,1.01
11:38:17,5,87.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
11:38:17,6,89.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
11:38:17,7,87.88,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,1.01
11:38:17,12,88.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
11:38:17,13,86.14,0.00,8.91,0.00,0.00,2.97,0.00,0.00,0.00,1.98
