11:34:48,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
11:34:49,4,44.44,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,45.45
11:34:49,5,51.52,0.00,9.09,0.00,0.00,1.01,0.00,0.00,0.00,38.38
11:34:49,6,40.00,0.00,6.00,0.00,0.00,1.00,0.00,0.00,0.00,53.00
11:34:49,7,41.00,0.00,6.00,0.00,0.00,2.00,0.00,0.00,0.00,51.00
11:34:49,12,39.80,0.00,5.10,0.00,0.00,1.02,0.00,0.00,0.00,54.08
11:34:49,13,42.86,0.00,5.10,0.00,0.00,1.02,0.00,0.00,0.00,51.02
11:34:49,14,39.80,0.00,5.10,0.00,0.00,1.02,0.00,0.00,0.00,54.08
11:34:49,15,40.40,0.00,6.06,0.00,0.00,2.02,0.00,0.00,0.00,51.52
11:34:50,4,85.86,0.00,10.10,0.00,0.00,2.02,0.00,0.00,0.00,2.02
11:34:50,5,85.71,0.00,9.18,0.00,0.00,3.06,0.00,0.00,0.00,2.04
11:34:50,6,86.00,0.00,8.00,0.00,0.00,4.00,0.00,0.00,0.00,2.00
11:34:50,7,83.84,0.00,10.10,0.00,0.00,3.03,0.00,0.00,0.00,3.03
11:34:50,12,86.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,2.00
11:34:50,13,85.86,0.00,8.08,0.00,0.00,4.04,0.00,0.00,0.00,2.02
11:34:50,14,86.00,0.00,8.00,0.00,0.00,4.00,0.00,0.00,0.00,2.00
11:34:50,15,84.00,0.00,9.00,0.00,0.00,4.00,0.00,0.00,0.00,3.00
11:34:51,4,83.00,0.00,10.00,0.00,0.00,5.00,0.00,0.00,0.00,2.00
11:34:51,5,84.16,0.00,10.89,0.00,0.00,2.97,0.00,0.00,0.00,1.98
11:34:51,6,85.86,0.00,9.09,0.00,0.00,3.03,0.00,0.00,0.00,2.02
11:34:51,7,85.00,0.00,9.00,0.00,0.00,4.00,0.00,0.00,0.00,2.00
11:34:51,12,85.15,0.00,9.90,0.00,0.00,2.97,0.00,0.00,0.00,1.98
11:34:51,13,83.00,0.00,12.00,0.00,0.00,3.00,0.00,0.00,0.00,2.00
11:34:51,14,87.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,2.00
11:34:51,15,86.14,0.00,8.91,0.00,0.00,2.97,0.00,0.00,0.00,1.98
11:34:52,4,85.86,0.00,9.09,0.00,0.00,3.03,0.00,0.00,0.00,2.02
11:34:52,5,87.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,2.00
11:34:52,6,85.00,0.00,10.00,0.00,0.00,3.00,0.00,0.00,0.00,2.00
11:34:52,7,86.14,0.00,9.90,0.00,0.00,2.97,0.00,0.00,0.00,0.99
11:34:52,12,86.87,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,2.02
11:34:52,13,87.00,0.00,7.00,0.00,0.00,4.00,0.00,0.00,0.00,2.00
11:34:52,14,84.00,0.00,10.00,0.00,0.00,4.00,0.00,0.00,0.00,2.00
