12:58:57,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
12:58:58,4,49.49,0.00,9.09,0.00,0.00,1.01,0.00,0.00,0.00,40.40
12:58:58,5,53.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,37.00
12:58:58,6,46.94,0.00,5.10,0.00,0.00,1.02,0.00,0.00,0.00,46.94
12:58:58,7,43.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,47.00
12:58:58,12,47.96,0.00,5.10,0.00,0.00,1.02,0.00,0.00,0.00,45.92
12:58:58,13,49.50,0.00,5.94,0.00,0.00,2.97,0.00,0.00,0.00,41.58
12:58:58,14,47.00,0.00,6.00,0.00,0.00,1.00,0.00,0.00,0.00,46.00
12:58:58,15,44.44,0.00,6.06,0.00,0.00,2.02,0.00,0.00,0.00,47.47
12:58:59,4,87.00,0.00,10.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
12:58:59,5,86.00,0.00,10.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
12:58:59,6,88.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
12:58:59,7,86.87,0.00,9.09,0.00,0.00,3.03,0.00,0.00,0.00,1.01
12:58:59,12,87.13,0.00,8.91,0.00,0.00,2.97,0.00,0.00,0.00,0.99
12:58:59,13,86.87,0.00,10.10,0.00,0.00,2.02,0.00,0.00,0.00,1.01
12:58:59,14,85.00,0.00,10.00,0.00,0.00,4.00,0.00,0.00,0.00,1.00
12:58:59,15,86.87,0.00,9.09,0.00,0.00,3.03,0.00,0.00,0.00,1.01
12:59:00,4,85.15,0.00,10.89,0.00,0.00,2.97,0.00,0.00,0.00,0.99
12:59:00,5,88.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
12:59:00,6,87.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
12:59:00,7,86.14,0.00,9.90,0.00,0.00,2.97,0.00,0.00,0.00,0.99
12:59:00,12,87.13,0.00,8.91,0.00,0.00,2.97,0.00,0.00,0.00,0.99
12:59:00,13,88.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
12:59:00,14,86.00,0.00,9.00,0.00,0.00,4.00,0.00,0.00,0.00,1.00
12:59:00,15,87.13,0.00,8.91,0.00,0.00,3.96,0.00,0.00,0.00,0.00
12:59:01,4,88.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
12:59:01,5,86.00,0.00,11.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
12:59:01,6,88.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
12:59:01,7,87.88,0.00,8.08,0.00,0.00,4.04,0.00,0.00,0.00,0.00
12:59:01,12,88.89,0.00,7.07,0.00,0.00,4.04,0.00,0.00,0.00,0.00
12:59:01,13,88.00,0.00,8.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00
12:59:01,14,88.89,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,0.00
12:59:01,15,87.00,0.00,10.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00
12:59:02,4,88.12,0.00,8.91,0.00,0.00,2.97,0.00,0.00,0.00,0.00
12:59:02,5,87.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
12:59:02,6,89.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
12:59:02,7,87.13,0.00,8.91,0.00,0.00,2.97,0.00,0.00,0.00,0.99
12:59:02,12,87.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
12:59:02,13,87.13,0.00,7.92,0.00,0.00,3.96,0.00,0.00,0.00,0.99
12:59:02,14,86.14,0.00,8.91,0.00,0.00,3.96,0.00,0.00,0.00,0.99
12:59:02,15,86.87,0.00,9.09,0.00,0.00,4.04,0.00,0.00,0.00,0.00
