13:19:23,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
13:19:24,4,50.00,0.00,6.12,0.00,0.00,1.02,0.00,0.00,0.00,42.86
13:19:24,5,51.52,0.00,9.09,0.00,0.00,1.01,0.00,0.00,0.00,38.38
13:19:24,6,46.08,0.00,5.88,0.00,0.00,0.98,0.00,0.00,0.00,47.06
13:19:24,7,45.00,0.00,6.00,0.00,0.00,1.00,0.00,0.00,0.00,48.00
13:19:24,12,44.00,0.00,6.00,0.00,0.00,2.00,0.00,0.00,0.00,48.00
13:19:24,13,53.00,0.00,6.00,0.00,0.00,2.00,0.00,0.00,0.00,39.00
13:19:24,14,46.00,0.00,6.00,0.00,0.00,1.00,0.00,0.00,0.00,47.00
13:19:24,15,46.00,0.00,6.00,0.00,0.00,2.00,0.00,0.00,0.00,46.00
13:19:25,4,88.12,0.00,7.92,0.00,0.00,3.96,0.00,0.00,0.00,0.00
13:19:25,5,88.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
13:19:25,6,87.88,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,1.01
13:19:25,7,89.11,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,0.00
13:19:25,12,88.12,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,0.99
13:19:25,13,87.88,0.00,9.09,0.00,0.00,3.03,0.00,0.00,0.00,0.00
13:19:25,14,86.00,0.00,9.00,0.00,0.00,4.00,0.00,0.00,0.00,1.00
13:19:25,15,86.00,0.00,10.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00
13:19:26,4,88.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
13:19:26,5,89.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
13:19:26,6,89.00,0.00,7.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00
13:19:26,7,89.11,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,0.00
13:19:26,12,88.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
13:19:26,13,88.12,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,0.99
13:19:26,14,89.90,0.00,7.07,0.00,0.00,3.03,0.00,0.00,0.00,0.00
13:19:26,15,85.15,0.00,10.89,0.00,0.00,2.97,0.00,0.00,0.00,0.99
13:19:27,4,86.14,0.00,7.92,0.00,0.00,4.95,0.00,0.00,0.00,0.99
13:19:27,5,83.17,0.00,11.88,0.00,0.00,3.96,0.00,0.00,0.00,0.99
13:19:27,6,90.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
13:19:27,7,86.87,0.00,9.09,0.00,0.00,3.03,0.00,0.00,0.00,1.01
13:19:27,12,87.88,0.00,10.10,0.00,0.00,2.02,0.00,0.00,0.00,0.00
13:19:27,13,87.00,0.00,10.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
13:19:27,14,87.13,0.00,8.91,0.00,0.00,3.96,0.00,0.00,0.00,0.00
13:19:27,15,85.86,0.00,9.09,0.00,0.00,5.05,0.00,0.00,0.00,0.00
13:19:28,4,87.76,0.00,10.20,0.00,0.00,2.04,0.00,0.00,0.00,0.00
13:19:28,5,86.87,0.00,10.10,0.00,0.00,3.03,0.00,0.00,0.00,0.00
13:19:28,6,87.13,0.00,7.92,0.00,0.00,3.96,0.00,0.00,0.00,0.99
13:19:28,7,87.00,0.00,10.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
13:19:28,12,87.13,0.00,7.92,0.00,0.00,3.96,0.00,0.00,0.00,0.99
13:19:28,13,88.78,0.00,8.16,0.00,0.00,3.06,0.00,0.00,0.00,0.00
13:19:28,14,88.00,0.00,9.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00
13:19:28,15,88.89,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,0.00
13:19:29,4,87.13,0.00,8.91,0.00,0.00,2.97,0.00,0.00,0.00,0.99
13:19:29,5,87.00,0.00,10.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00
13:19:29,6,88.78,0.00,8.16,0.00,0.00,3.06,0.00,0.00,0.00,0.00
13:19:29,7,88.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
13:19:29,12,86.87,0.00,9.09,0.00,0.00,3.03,0.00,0.00,0.00,1.01
13:19:29,13,87.13,0.00,7.92,0.00,0.00,3.96,0.00,0.00,0.00,0.99
13:19:29,14,85.86,0.00,10.10,0.00,0.00,4.04,0.00,0.00,0.00,0.00
13:19:29,15,86.27,0.00,8.82,0.00,0.00,3.92,0.00,0.00,0.00,0.98
13:19:30,4,89.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
13:19:30,5,88.00,0.00,10.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
