15:45:58,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
15:45:59,4,52.53,0.00,8.08,0.00,0.00,1.01,0.00,0.00,0.00,38.38
15:45:59,5,51.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,37.00
15:45:59,6,45.00,0.00,6.00,0.00,0.00,2.00,0.00,0.00,0.00,47.00
15:45:59,7,45.45,0.00,6.06,0.00,0.00,2.02,0.00,0.00,0.00,46.46
15:45:59,12,48.00,0.00,6.00,0.00,0.00,2.00,0.00,0.00,0.00,44.00
15:45:59,13,44.44,0.00,6.06,0.00,0.00,2.02,0.00,0.00,0.00,47.47
15:45:59,14,46.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,45.00
15:45:59,15,45.45,0.00,5.05,0.00,0.00,2.02,0.00,0.00,0.00,47.47
15:46:00,4,85.00,0.00,11.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00
15:46:00,5,87.76,0.00,9.18,0.00,0.00,3.06,0.00,0.00,0.00,0.00
15:46:00,6,86.00,0.00,10.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00
15:46:00,7,86.14,0.00,9.90,0.00,0.00,2.97,0.00,0.00,0.00,0.99
15:46:00,12,87.00,0.00,11.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
15:46:00,13,89.00,0.00,9.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
15:46:00,14,86.00,0.00,10.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
15:46:00,15,86.87,0.00,10.10,0.00,0.00,3.03,0.00,0.00,0.00,0.00
15:46:01,4,87.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
15:46:01,5,87.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
15:46:01,6,86.14,0.00,7.92,0.00,0.00,4.95,0.00,0.00,0.00,0.99
15:46:01,7,87.00,0.00,9.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00
15:46:01,12,88.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
15:46:01,13,88.00,0.00,9.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00
15:46:01,14,89.90,0.00,9.09,0.00,0.00,1.01,0.00,0.00,0.00,0.00
15:46:01,15,88.12,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,0.99
15:46:02,4,85.00,0.00,8.00,0.00,0.00,4.00,0.00,0.00,0.00,3.00
15:46:02,5,84.16,0.00,8.91,0.00,0.00,3.96,0.00,0.00,0.00,2.97
15:46:02,6,86.87,0.00,9.09,0.00,0.00,2.02,0.00,0.00,0.00,2.02
15:46:02,7,85.86,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,3.03
15:46:02,12,87.00,0.00,7.00,1.00,0.00,3.00,0.00,0.00,0.00,2.00
15:46:02,13,83.17,0.00,9.90,0.00,0.00,3.96,0.00,0.00,0.00,2.97
15:46:02,14,85.15,0.00,7.92,0.00,0.00,3.96,0.00,0.00,0.00,2.97
15:46:02,15,85.00,0.00,8.00,0.00,0.00,4.00,0.00,0.00,0.00,3.00
15:46:03,4,86.87,0.00,10.10,0.00,0.00,3.03,0.00,0.00,0.00,0.00
15:46:03,5,88.89,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,0.00
15:46:03,6,87.13,0.00,8.91,0.00,0.00,2.97,0.00,0.00,0.00,0.99
15:46:03,7,88.12,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,0.99
15:46:03,12,87.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
15:46:03,13,87.88,0.00,9.09,0.00,0.00,2.02,0.00,0.00,0.00,1.01
15:46:03,14,87.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
15:46:03,15,87.00,0.00,10.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
15:46:04,4,87.13,0.00,7.92,0.00,0.00,3.96,0.00,0.00,0.00,0.99
15:46:04,5,85.15,0.00,9.90,0.00,0.00,3.96,0.00,0.00,0.00,0.99
15:46:04,6,85.86,0.00,9.09,0.00,0.00,4.04,0.00,0.00,0.00,1.01
