10:53:06,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
10:53:07,4,15.79,0.00,10.53,0.00,0.00,2.11,0.00,0.00,0.00,71.58
10:53:07,5,17.02,0.00,10.64,0.00,0.00,3.19,0.00,0.00,0.00,69.15
10:53:07,6,10.75,0.00,9.68,0.00,0.00,2.15,0.00,0.00,0.00,77.42
10:53:07,7,10.53,0.00,8.42,0.00,0.00,3.16,0.00,0.00,0.00,77.89
10:53:07,12,14.13,0.00,7.61,0.00,0.00,1.09,0.00,0.00,0.00,77.17
10:53:07,13,13.98,0.00,10.75,0.00,0.00,1.08,0.00,0.00,0.00,74.19
10:53:07,14,10.53,0.00,9.47,0.00,0.00,2.11,0.00,0.00,0.00,77.89
10:53:07,15,12.37,0.00,9.28,0.00,0.00,3.09,0.00,0.00,0.00,75.26
10:53:08,4,23.08,0.00,16.48,0.00,0.00,5.49,0.00,0.00,0.00,54.95
10:53:08,5,19.32,0.00,18.18,0.00,0.00,4.55,0.00,0.00,0.00,57.95
10:53:08,6,21.35,0.00,16.85,0.00,0.00,4.49,0.00,0.00,0.00,57.30
10:53:08,7,20.93,0.00,16.28,0.00,0.00,3.49,0.00,0.00,0.00,59.30
10:53:08,12,22.47,0.00,14.61,0.00,0.00,5.62,0.00,0.00,0.00,57.30
10:53:08,13,20.22,0.00,16.85,0.00,0.00,4.49,0.00,0.00,0.00,58.43
10:53:08,14,21.11,0.00,16.67,0.00,0.00,5.56,0.00,0.00,0.00,56.67
10:53:08,15,20.93,0.00,15.12,0.00,0.00,4.65,0.00,0.00,0.00,59.30
10:53:09,4,21.84,0.00,17.24,0.00,0.00,5.75,0.00,0.00,0.00,55.17
10:53:09,5,21.84,0.00,16.09,0.00,0.00,4.60,0.00,0.00,0.00,57.47
10:53:09,6,21.11,0.00,16.67,0.00,0.00,5.56,0.00,0.00,0.00,56.67
10:53:09,7,18.89,0.00,15.56,0.00,0.00,6.67,0.00,0.00,0.00,58.89
10:53:09,12,22.99,0.00,16.09,0.00,0.00,4.60,0.00,0.00,0.00,56.32
10:53:09,13,24.14,0.00,14.94,0.00,0.00,4.60,0.00,0.00,0.00,56.32
10:53:09,14,24.44,0.00,15.56,0.00,0.00,4.44,0.00,0.00,0.00,55.56
10:53:09,15,20.88,0.00,17.58,0.00,0.00,4.40,0.00,0.00,0.00,57.14
10:53:10,4,21.98,0.00,18.68,0.00,0.00,5.49,0.00,0.00,0.00,53.85
10:53:10,5,20.22,0.00,19.10,0.00,0.00,5.62,0.00,0.00,0.00,55.06
10:53:10,6,21.59,0.00,18.18,0.00,0.00,4.55,0.00,0.00,0.00,55.68
10:53:10,7,23.86,0.00,14.77,0.00,0.00,5.68,0.00,0.00,0.00,55.68
10:53:10,12,23.60,0.00,16.85,0.00,0.00,5.62,0.00,0.00,0.00,53.93
10:53:10,13,21.35,0.00,15.73,0.00,0.00,6.74,0.00,0.00,0.00,56.18
10:53:10,14,20.69,0.00,17.24,0.00,0.00,5.75,0.00,0.00,0.00,56.32
10:53:10,15,22.22,0.00,17.78,0.00,0.00,4.44,0.00,0.00,0.00,55.56
10:53:11,4,20.69,0.00,16.09,0.00,0.00,5.75,0.00,0.00,0.00,57.47
10:53:11,5,21.84,0.00,16.09,0.00,0.00,4.60,0.00,0.00,0.00,57.47
10:53:11,6,20.00,0.00,16.67,1.11,0.00,5.56,0.00,0.00,0.00,56.67
10:53:11,7,20.00,0.00,16.67,0.00,0.00,5.56,0.00,0.00,0.00,57.78
10:53:11,12,21.74,0.00,16.30,1.09,0.00,6.52,0.00,0.00,0.00,54.35
10:53:11,13,21.59,0.00,15.91,0.00,0.00,4.55,0.00,0.00,0.00,57.95
10:53:11,14,24.18,0.00,13.19,1.10,0.00,5.49,0.00,0.00,0.00,56.04
10:53:11,15,20.45,0.00,15.91,0.00,0.00,4.55,0.00,0.00,0.00,59.09
10:53:12,4,20.69,0.00,17.24,0.00,0.00,4.60,0.00,0.00,0.00,57.47
10:53:12,5,21.35,0.00,16.85,0.00,0.00,5.62,0.00,0.00,0.00,56.18
10:53:12,6,23.08,0.00,16.48,0.00,0.00,5.49,0.00,0.00,0.00,54.95
10:53:12,7,18.89,0.00,16.67,0.00,0.00,6.67,0.00,0.00,0.00,57.78
10:53:12,12,19.54,0.00,19.54,0.00,0.00,4.60,0.00,0.00,0.00,56.32
10:53:12,13,18.60,0.00,18.60,0.00,0.00,6.98,0.00,0.00,0.00,55.81
10:53:12,14,21.84,0.00,16.09,0.00,0.00,5.75,0.00,0.00,0.00,56.32
10:53:12,15,21.11,0.00,16.67,0.00,0.00,5.56,0.00,0.00,0.00,56.67
10:53:13,4,20.93,0.00,16.28,0.00,0.00,2.33,0.00,0.00,0.00,60.47
10:53:13,5,21.59,0.00,15.91,0.00,0.00,4.55,0.00,0.00,0.00,57.95
10:53:13,6,22.22,0.00,15.56,0.00,0.00,5.56,0.00,0.00,0.00,56.67
10:53:13,7,19.10,0.00,16.85,0.00,0.00,5.62,0.00,0.00,0.00,58.43
10:53:13,12,18.60,0.00,16.28,0.00,0.00,4.65,0.00,0.00,0.00,60.47
10:53:13,13,21.84,0.00,16.09,0.00,0.00,4.60,0.00,0.00,0.00,57.47
10:53:13,14,23.33,0.00,14.44,0.00,0.00,5.56,0.00,0.00,0.00,56.67
10:53:13,15,22.73,0.00,14.77,0.00,0.00,3.41,0.00,0.00,0.00,59.09
10:53:14,4,21.35,0.00,15.73,0.00,0.00,5.62,0.00,0.00,0.00,57.30
10:53:14,5,21.98,0.00,16.48,0.00,0.00,5.49,0.00,0.00,0.00,56.04
10:53:14,6,19.77,0.00,15.12,0.00,0.00,4.65,0.00,0.00,0.00,60.47
10:53:14,7,20.22,0.00,14.61,0.00,0.00,5.62,0.00,0.00,0.00,59.55
10:53:14,12,23.08,0.00,16.48,0.00,0.00,5.49,0.00,0.00,0.00,54.95
10:53:14,13,20.45,0.00,17.05,0.00,0.00,3.41,0.00,0.00,0.00,59.09
10:53:14,14,22.83,0.00,17.39,0.00,0.00,4.35,0.00,0.00,0.00,55.43
10:53:14,15,21.35,0.00,14.61,0.00,0.00,5.62,0.00,0.00,0.00,58.43
10:53:15,4,20.93,0.00,17.44,0.00,0.00,4.65,0.00,0.00,0.00,56.98
10:53:15,5,20.93,0.00,16.28,0.00,0.00,4.65,0.00,0.00,0.00,58.14
10:53:15,6,23.08,0.00,18.68,0.00,0.00,5.49,0.00,0.00,0.00,52.75
10:53:15,7,20.43,0.00,17.20,0.00,0.00,7.53,0.00,0.00,0.00,54.84
10:53:15,12,20.45,0.00,15.91,0.00,0.00,5.68,0.00,0.00,0.00,57.95
10:53:15,13,23.33,0.00,17.78,0.00,0.00,4.44,0.00,0.00,0.00,54.44
10:53:15,14,22.35,0.00,15.29,0.00,0.00,4.71,0.00,0.00,0.00,57.65
10:53:15,15,22.83,0.00,16.30,0.00,0.00,5.43,0.00,0.00,0.00,55.43
10:53:16,4,23.08,0.00,16.48,0.00,0.00,4.40,0.00,0.00,0.00,56.04
10:53:16,5,20.00,0.00,17.78,0.00,0.00,5.56,0.00,0.00,0.00,56.67
10:53:16,6,21.11,0.00,16.67,0.00,0.00,5.56,0.00,0.00,0.00,56.67
10:53:16,7,20.00,0.00,15.56,0.00,0.00,6.67,0.00,0.00,0.00,57.78
10:53:16,12,21.11,0.00,17.78,0.00,0.00,4.44,0.00,0.00,0.00,56.67
10:53:16,13,20.69,0.00,16.09,0.00,0.00,4.60,0.00,0.00,0.00,58.62
10:53:16,14,21.35,0.00,15.73,0.00,0.00,5.62,0.00,0.00,0.00,57.30
10:53:16,15,19.77,0.00,16.28,0.00,0.00,4.65,0.00,0.00,0.00,59.30
10:53:17,4,23.91,0.00,15.22,0.00,0.00,5.43,0.00,0.00,0.00,55.43
