12:15:56,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
12:15:57,4,12.50,0.00,8.33,0.00,0.00,1.04,0.00,0.00,0.00,78.12
12:15:57,5,8.51,0.00,10.64,0.00,0.00,2.13,0.00,0.00,0.00,78.72
12:15:57,6,8.42,0.00,6.32,0.00,0.00,2.11,0.00,0.00,0.00,83.16
12:15:57,7,7.29,0.00,7.29,0.00,0.00,2.08,0.00,0.00,0.00,83.33
12:15:57,12,8.25,0.00,7.22,0.00,0.00,2.06,0.00,0.00,0.00,82.47
12:15:57,13,14.43,0.00,9.28,0.00,0.00,2.06,0.00,0.00,0.00,74.23
12:15:57,14,8.51,0.00,5.32,0.00,0.00,2.13,0.00,0.00,0.00,84.04
12:15:57,15,8.16,0.00,7.14,0.00,0.00,2.04,0.00,0.00,0.00,82.65
12:15:58,4,14.89,0.00,11.70,0.00,0.00,4.26,0.00,0.00,0.00,69.15
12:15:58,5,14.58,0.00,13.54,0.00,0.00,5.21,0.00,0.00,0.00,66.67
12:15:58,6,12.90,0.00,13.98,0.00,0.00,4.30,0.00,0.00,0.00,68.82
12:15:58,7,13.33,0.00,12.22,0.00,0.00,4.44,0.00,0.00,0.00,70.00
12:15:58,12,14.13,0.00,10.87,0.00,0.00,5.43,0.00,0.00,0.00,69.57
12:15:58,13,15.56,0.00,12.22,0.00,0.00,2.22,0.00,0.00,0.00,70.00
12:15:58,14,14.89,0.00,12.77,0.00,0.00,4.26,0.00,0.00,0.00,68.09
12:15:58,15,14.13,0.00,11.96,0.00,0.00,4.35,0.00,0.00,0.00,69.57
12:15:59,4,13.98,0.00,11.83,0.00,0.00,5.38,0.00,0.00,0.00,68.82
12:15:59,5,14.94,0.00,12.64,0.00,0.00,5.75,0.00,0.00,0.00,66.67
12:15:59,6,13.98,0.00,12.90,0.00,0.00,5.38,0.00,0.00,0.00,67.74
12:15:59,7,12.77,0.00,12.77,0.00,0.00,4.26,0.00,0.00,0.00,70.21
12:15:59,12,15.05,0.00,11.83,0.00,0.00,4.30,0.00,0.00,0.00,68.82
12:15:59,13,14.58,0.00,13.54,0.00,0.00,5.21,0.00,0.00,0.00,66.67
12:15:59,14,15.38,0.00,12.09,0.00,0.00,3.30,0.00,0.00,0.00,69.23
12:15:59,15,12.77,0.00,12.77,0.00,0.00,3.19,0.00,0.00,0.00,71.28
12:16:00,4,13.98,0.00,16.13,0.00,0.00,4.30,0.00,0.00,0.00,65.59
12:16:00,5,15.79,0.00,14.74,1.05,0.00,5.26,0.00,0.00,0.00,63.16
12:16:00,6,16.13,0.00,11.83,0.00,0.00,4.30,0.00,0.00,0.00,67.74
12:16:00,7,12.90,0.00,11.83,0.00,0.00,4.30,0.00,0.00,0.00,70.97
12:16:00,12,14.74,0.00,12.63,0.00,0.00,5.26,0.00,0.00,0.00,67.37
12:16:00,13,14.89,0.00,12.77,1.06,0.00,4.26,0.00,0.00,0.00,67.02
12:16:00,14,15.05,0.00,12.90,0.00,0.00,5.38,0.00,0.00,0.00,66.67
12:16:00,15,11.70,0.00,13.83,0.00,0.00,5.32,0.00,0.00,0.00,69.15
12:16:01,4,15.22,0.00,13.04,0.00,0.00,4.35,0.00,0.00,0.00,67.39
12:16:01,5,15.38,0.00,15.38,0.00,0.00,4.40,0.00,0.00,0.00,64.84
12:16:01,6,12.09,0.00,14.29,0.00,0.00,3.30,0.00,0.00,0.00,70.33
12:16:01,7,13.19,0.00,10.99,0.00,0.00,4.40,0.00,0.00,0.00,71.43
12:16:01,12,14.13,0.00,13.04,0.00,0.00,7.61,0.00,0.00,0.00,65.22
12:16:01,13,16.30,0.00,18.48,0.00,0.00,5.43,0.00,0.00,0.00,59.78
12:16:01,14,13.33,0.00,12.22,0.00,0.00,4.44,0.00,0.00,0.00,70.00
12:16:01,15,13.68,0.00,13.68,0.00,0.00,5.26,0.00,0.00,0.00,67.37
12:16:02,4,14.44,0.00,11.11,0.00,0.00,5.56,0.00,0.00,0.00,68.89
12:16:02,5,12.22,0.00,13.33,0.00,0.00,5.56,0.00,0.00,0.00,68.89
12:16:02,6,14.89,0.00,12.77,0.00,0.00,5.32,0.00,0.00,0.00,67.02
12:16:02,7,13.68,0.00,11.58,0.00,0.00,4.21,0.00,0.00,0.00,70.53
12:16:02,12,13.19,0.00,13.19,0.00,0.00,3.30,0.00,0.00,0.00,70.33
12:16:02,13,15.38,0.00,13.19,0.00,0.00,4.40,0.00,0.00,0.00,67.03
12:16:02,14,14.74,0.00,13.68,0.00,0.00,4.21,0.00,0.00,0.00,67.37
12:16:02,15,11.83,0.00,10.75,0.00,0.00,4.30,0.00,0.00,0.00,73.12
12:16:03,4,11.96,0.00,10.87,0.00,0.00,6.52,0.00,0.00,0.00,70.65
12:16:03,5,14.77,0.00,12.50,0.00,0.00,4.55,0.00,0.00,0.00,68.18
12:16:03,6,13.98,0.00,12.90,0.00,0.00,5.38,0.00,0.00,0.00,67.74
12:16:03,7,13.83,0.00,11.70,0.00,0.00,5.32,0.00,0.00,0.00,69.15
12:16:03,12,13.04,0.00,11.96,0.00,0.00,5.43,0.00,0.00,0.00,69.57
12:16:03,13,13.04,0.00,11.96,0.00,0.00,5.43,0.00,0.00,0.00,69.57
12:16:03,14,14.13,0.00,11.96,0.00,0.00,4.35,0.00,0.00,0.00,69.57
12:16:03,15,14.74,0.00,11.58,0.00,0.00,4.21,0.00,0.00,0.00,69.47
12:16:04,4,13.04,0.00,14.13,0.00,0.00,3.26,0.00,0.00,0.00,69.57
12:16:04,5,14.29,0.00,12.09,0.00,0.00,4.40,0.00,0.00,0.00,69.23
12:16:04,6,11.83,0.00,13.98,0.00,0.00,5.38,0.00,0.00,0.00,68.82
12:16:04,7,13.83,0.00,10.64,0.00,0.00,5.32,0.00,0.00,0.00,70.21
12:16:04,12,13.68,0.00,13.68,0.00,0.00,4.21,0.00,0.00,0.00,68.42
12:16:04,13,15.96,0.00,12.77,0.00,0.00,5.32,0.00,0.00,0.00,65.96
12:16:04,14,14.44,0.00,11.11,0.00,0.00,3.33,0.00,0.00,0.00,71.11
12:16:04,15,13.98,0.00,11.83,0.00,0.00,5.38,0.00,0.00,0.00,68.82
12:16:05,4,15.05,0.00,11.83,0.00,0.00,4.30,0.00,0.00,0.00,68.82
12:16:05,5,14.13,0.00,14.13,0.00,0.00,5.43,0.00,0.00,0.00,66.30
12:16:05,6,13.19,0.00,12.09,0.00,0.00,5.49,0.00,0.00,0.00,69.23
12:16:05,7,14.13,0.00,10.87,0.00,0.00,4.35,0.00,0.00,0.00,70.65
12:16:05,12,13.98,0.00,10.75,0.00,0.00,5.38,0.00,0.00,0.00,69.89
12:16:05,13,13.98,0.00,13.98,0.00,0.00,5.38,0.00,0.00,0.00,66.67
12:16:05,14,14.74,0.00,12.63,0.00,0.00,5.26,0.00,0.00,0.00,67.37
12:16:05,15,12.90,0.00,12.90,0.00,0.00,4.30,0.00,0.00,0.00,69.89
12:16:06,4,13.19,0.00,13.19,0.00,0.00,4.40,0.00,0.00,0.00,69.23
12:16:06,5,16.30,0.00,16.30,0.00,0.00,3.26,0.00,0.00,0.00,64.13
12:16:06,6,16.49,0.00,15.46,0.00,0.00,4.12,0.00,0.00,0.00,63.92
12:16:06,7,13.04,0.00,10.87,0.00,0.00,4.35,0.00,0.00,0.00,71.74
12:16:06,12,14.13,0.00,11.96,0.00,0.00,5.43,0.00,0.00,0.00,68.48
12:16:06,13,19.57,0.00,14.13,0.00,0.00,4.35,0.00,0.00,0.00,61.96
12:16:06,14,15.22,0.00,13.04,0.00,0.00,5.43,0.00,0.00,0.00,66.30
12:16:06,15,13.19,0.00,12.09,0.00,0.00,3.30,0.00,0.00,0.00,71.43
