11:55:53,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
11:55:54,4,16.67,0.00,9.38,0.00,0.00,3.12,0.00,0.00,0.00,70.83
11:55:54,5,16.49,0.00,11.34,0.00,0.00,2.06,0.00,0.00,0.00,70.10
11:55:54,6,7.37,0.00,7.37,0.00,0.00,2.11,0.00,0.00,0.00,83.16
11:55:54,7,7.37,0.00,8.42,0.00,0.00,2.11,0.00,0.00,0.00,82.11
11:55:54,12,8.42,0.00,8.42,0.00,0.00,1.05,0.00,0.00,0.00,82.11
11:55:54,13,8.33,0.00,8.33,1.04,0.00,3.12,0.00,0.00,0.00,79.17
11:55:54,14,7.29,0.00,8.33,0.00,0.00,3.12,0.00,0.00,0.00,81.25
11:55:54,15,7.37,0.00,7.37,0.00,0.00,2.11,0.00,0.00,0.00,83.16
11:55:55,4,15.22,0.00,14.13,0.00,0.00,4.35,0.00,0.00,0.00,66.30
11:55:55,5,16.30,0.00,13.04,0.00,0.00,5.43,0.00,0.00,0.00,65.22
11:55:55,6,15.96,0.00,13.83,0.00,0.00,6.38,0.00,0.00,0.00,63.83
11:55:55,7,13.04,0.00,15.22,0.00,0.00,5.43,0.00,0.00,0.00,66.30
11:55:55,12,14.13,0.00,13.04,0.00,0.00,7.61,0.00,0.00,0.00,65.22
11:55:55,13,15.38,0.00,13.19,0.00,0.00,5.49,0.00,0.00,0.00,65.93
11:55:55,14,15.05,0.00,15.05,0.00,0.00,5.38,0.00,0.00,0.00,64.52
11:55:55,15,13.19,0.00,14.29,0.00,0.00,6.59,0.00,0.00,0.00,65.93
11:55:56,4,16.67,0.00,12.22,0.00,0.00,4.44,0.00,0.00,0.00,66.67
11:55:56,5,19.35,0.00,15.05,0.00,0.00,4.30,0.00,0.00,0.00,61.29
11:55:56,6,16.30,0.00,13.04,0.00,0.00,6.52,0.00,0.00,0.00,64.13
11:55:56,7,15.62,0.00,15.62,0.00,0.00,5.21,0.00,0.00,0.00,63.54
11:55:56,12,18.28,0.00,15.05,0.00,0.00,5.38,0.00,0.00,0.00,61.29
11:55:56,13,19.35,0.00,17.20,0.00,0.00,5.38,0.00,0.00,0.00,58.06
