22:56:27,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
22:56:28,4,47.47,0.00,5.05,0.00,0.00,1.01,0.00,0.00,0.00,46.46
22:56:28,5,52.53,0.00,9.09,0.00,0.00,1.01,0.00,0.00,0.00,37.37
22:56:28,6,46.46,0.00,5.05,0.00,0.00,1.01,0.00,0.00,0.00,47.47
22:56:28,7,43.43,0.00,5.05,0.00,0.00,1.01,0.00,0.00,0.00,50.51
22:56:28,12,45.92,0.00,5.10,0.00,0.00,1.02,0.00,0.00,0.00,47.96
22:56:28,13,50.51,0.00,6.06,0.00,0.00,0.00,0.00,0.00,0.00,43.43
22:56:28,14,45.45,0.00,4.04,0.00,0.00,1.01,0.00,0.00,0.00,49.49
22:56:28,15,44.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,47.00
22:56:29,4,90.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
22:56:29,5,88.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
22:56:29,6,89.11,0.00,6.93,0.00,0.00,3.96,0.00,0.00,0.00,0.00
22:56:29,7,90.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
22:56:29,12,87.13,0.00,9.90,0.00,0.00,1.98,0.00,0.00,0.00,0.99
22:56:29,13,87.00,0.00,9.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00
22:56:29,14,89.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
22:56:29,15,88.89,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,0.00
22:56:30,4,89.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
22:56:30,5,87.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
22:56:30,6,88.89,0.00,9.09,0.00,0.00,2.02,0.00,0.00,0.00,0.00
22:56:30,7,88.00,0.00,8.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00
22:56:30,12,89.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
22:56:30,13,90.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
22:56:30,14,89.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
22:56:30,15,89.00,0.00,9.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
22:56:31,4,91.00,0.00,6.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
22:56:31,5,90.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
22:56:31,6,88.12,0.00,8.91,0.00,0.00,2.97,0.00,0.00,0.00,0.00
22:56:31,7,90.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
22:56:31,12,91.09,0.00,6.93,0.00,0.00,1.98,0.00,0.00,0.00,0.00
22:56:31,13,88.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
22:56:31,14,90.91,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,0.00
22:56:31,15,86.14,0.00,8.91,0.00,0.00,3.96,0.00,0.00,0.00,0.99
22:56:32,4,89.00,0.00,9.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
22:56:32,5,89.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
22:56:32,6,87.88,0.00,10.10,0.00,0.00,2.02,0.00,0.00,0.00,0.00
22:56:32,7,89.00,0.00,9.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
22:56:32,12,86.87,0.00,10.10,0.00,0.00,3.03,0.00,0.00,0.00,0.00
22:56:32,13,87.13,0.00,9.90,0.00,0.00,2.97,0.00,0.00,0.00,0.00
22:56:32,14,88.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
22:56:32,15,88.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
22:56:33,4,88.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
22:56:33,5,89.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
22:56:33,6,87.13,0.00,9.90,0.00,0.00,1.98,0.00,0.00,0.00,0.99
22:56:33,7,89.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
22:56:33,12,89.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
22:56:33,13,88.89,0.00,9.09,0.00,0.00,2.02,0.00,0.00,0.00,0.00
22:56:33,14,90.00,0.00,6.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00
22:56:33,15,88.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
22:56:34,4,87.13,0.00,8.91,0.00,0.00,3.96,0.00,0.00,0.00,0.00
22:56:34,5,90.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
22:56:34,6,87.00,0.00,9.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00
22:56:34,7,89.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
22:56:34,12,88.89,0.00,7.07,0.00,0.00,4.04,0.00,0.00,0.00,0.00
22:56:34,13,90.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
22:56:34,14,87.13,0.00,7.92,0.00,0.00,3.96,0.00,0.00,0.00,0.99
22:56:34,15,88.89,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,0.00
22:56:35,4,90.91,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,0.00
22:56:35,5,89.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
22:56:35,6,89.00,0.00,9.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
22:56:35,7,88.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
22:56:35,12,90.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
22:56:35,13,89.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
22:56:35,14,89.90,0.00,8.08,0.00,0.00,2.02,0.00,0.00,0.00,0.00
22:56:35,15,90.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
22:56:36,4,89.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
22:56:36,5,91.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
22:56:36,6,86.14,0.00,9.90,0.00,0.00,3.96,0.00,0.00,0.00,0.00
22:56:36,7,90.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
22:56:36,12,86.14,0.00,9.90,0.00,0.00,3.96,0.00,0.00,0.00,0.00
22:56:36,13,90.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
22:56:36,14,90.10,0.00,7.92,0.00,0.00,1.98,0.00,0.00,0.00,0.00
22:56:36,15,89.11,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,0.00
22:56:37,4,91.09,0.00,6.93,0.00,0.00,1.98,0.00,0.00,0.00,0.00
22:56:37,5,87.88,0.00,9.09,0.00,0.00,3.03,0.00,0.00,0.00,0.00
22:56:37,6,90.91,0.00,7.07,0.00,0.00,2.02,0.00,0.00,0.00,0.00
22:56:37,7,89.00,0.00,9.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
22:56:37,12,90.91,0.00,6.06,0.00,0.00,3.03,0.00,0.00,0.00,0.00
