01:00:35,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
01:00:36,4,44.44,0.00,7.07,0.00,0.00,0.00,0.00,0.00,0.00,48.48
01:00:36,5,41.84,0.00,10.20,0.00,0.00,1.02,0.00,0.00,0.00,46.94
01:00:36,6,37.37,0.00,6.06,0.00,0.00,1.01,0.00,0.00,0.00,55.56
01:00:36,7,38.00,0.00,6.00,0.00,0.00,1.00,0.00,0.00,0.00,55.00
01:00:36,12,38.00,0.00,6.00,0.00,0.00,1.00,0.00,0.00,0.00,55.00
01:00:36,13,42.42,0.00,6.06,0.00,0.00,1.01,0.00,0.00,0.00,50.51
01:00:36,14,39.18,0.00,4.12,0.00,0.00,0.00,0.00,0.00,0.00,56.70
01:00:36,15,37.00,0.00,4.00,0.00,0.00,2.00,0.00,0.00,0.00,57.00
01:00:37,4,82.00,0.00,11.00,0.00,0.00,3.00,0.00,0.00,0.00,4.00
01:00:37,5,81.37,0.00,10.78,0.00,0.00,2.94,0.00,0.00,0.00,4.90
01:00:37,6,83.84,0.00,9.09,0.00,0.00,2.02,0.00,0.00,0.00,5.05
01:00:37,7,82.00,0.00,9.00,0.00,0.00,4.00,0.00,0.00,0.00,5.00
01:00:37,12,83.84,0.00,9.09,0.00,0.00,3.03,0.00,0.00,0.00,4.04
01:00:37,13,84.16,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,4.95
01:00:37,14,83.00,0.00,9.00,0.00,0.00,4.00,0.00,0.00,0.00,4.00
01:00:37,15,85.86,0.00,8.08,0.00,0.00,1.01,0.00,0.00,0.00,5.05
01:00:38,4,83.00,0.00,8.00,0.00,0.00,4.00,0.00,0.00,0.00,5.00
01:00:38,5,84.85,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,4.04
01:00:38,6,83.84,0.00,9.09,0.00,0.00,2.02,0.00,0.00,0.00,5.05
01:00:38,7,83.84,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,5.05
01:00:38,12,84.00,0.00,9.00,0.00,0.00,2.00,0.00,0.00,0.00,5.00
01:00:38,13,82.83,0.00,9.09,0.00,0.00,3.03,0.00,0.00,0.00,5.05
01:00:38,14,83.84,0.00,9.09,0.00,0.00,2.02,0.00,0.00,0.00,5.05
