02:24:07,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
02:24:08,4,47.52,0.00,6.93,0.00,0.00,1.98,0.00,0.00,0.00,43.56
02:24:08,5,52.04,0.00,9.18,0.00,0.00,2.04,0.00,0.00,0.00,36.73
02:24:08,6,45.00,0.00,7.00,0.00,0.00,1.00,0.00,0.00,0.00,47.00
02:24:08,7,44.00,0.00,7.00,0.00,0.00,1.00,0.00,0.00,0.00,48.00
02:24:08,12,44.90,0.00,6.12,0.00,0.00,1.02,0.00,0.00,0.00,47.96
02:24:08,13,46.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,45.00
02:24:08,14,43.00,0.00,6.00,0.00,0.00,2.00,0.00,0.00,0.00,49.00
02:24:08,15,42.57,0.00,6.93,0.00,0.00,1.98,0.00,0.00,0.00,48.51
02:24:09,4,89.00,0.00,8.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00
02:24:09,5,87.00,0.00,8.00,0.00,0.00,4.00,0.00,0.00,0.00,1.00
02:24:09,6,86.14,0.00,8.91,0.00,0.00,3.96,0.00,0.00,0.00,0.99
02:24:09,7,88.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
02:24:09,12,86.00,0.00,10.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00
02:24:09,13,86.00,0.00,11.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00
02:24:09,14,88.12,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,0.99
02:24:09,15,86.00,0.00,10.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
02:24:10,4,88.89,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,0.00
02:24:10,5,85.15,0.00,9.90,0.00,0.00,3.96,0.00,0.00,0.00,0.99
02:24:10,6,87.00,0.00,8.00,0.00,0.00,4.00,0.00,0.00,0.00,1.00
02:24:10,7,86.14,0.00,9.90,0.00,0.00,2.97,0.00,0.00,0.00,0.99
02:24:10,12,89.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
02:24:10,13,87.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
02:24:10,14,86.00,0.00,10.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
02:24:10,15,86.73,0.00,10.20,0.00,0.00,3.06,0.00,0.00,0.00,0.00
02:24:11,4,88.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
02:24:11,5,87.88,0.00,9.09,0.00,0.00,3.03,0.00,0.00,0.00,0.00
02:24:11,6,88.89,0.00,8.08,0.00,0.00,3.03,0.00,0.00,0.00,0.00
02:24:11,7,87.88,0.00,8.08,0.00,0.00,4.04,0.00,0.00,0.00,0.00
02:24:11,12,88.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
02:24:11,13,87.88,0.00,9.09,0.00,0.00,3.03,0.00,0.00,0.00,0.00
02:24:11,14,87.88,0.00,9.09,0.00,0.00,3.03,0.00,0.00,0.00,0.00
02:24:11,15,87.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
02:24:12,4,89.11,0.00,7.92,0.00,0.00,2.97,0.00,0.00,0.00,0.00
02:24:12,5,90.00,0.00,7.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
02:24:12,6,87.00,0.00,9.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00
02:24:12,7,85.86,0.00,10.10,0.00,0.00,4.04,0.00,0.00,0.00,0.00
02:24:12,12,87.13,0.00,9.90,0.00,0.00,1.98,0.00,0.00,0.00,0.99
02:24:12,13,88.00,0.00,8.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00
02:24:12,14,89.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
02:24:12,15,88.00,0.00,9.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
02:24:13,4,88.00,0.00,8.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00
02:24:13,5,86.14,0.00,9.90,0.00,0.00,2.97,0.00,0.00,0.00,0.99
