19:47:21,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
19:47:22,4,17.02,0.00,9.57,0.00,0.00,1.06,0.00,0.00,0.00,72.34
19:47:22,5,14.13,0.00,14.13,0.00,0.00,1.09,0.00,0.00,0.00,70.65
19:47:22,6,12.63,0.00,10.53,0.00,0.00,2.11,0.00,0.00,0.00,74.74
19:47:22,7,10.31,0.00,9.28,0.00,0.00,3.09,0.00,0.00,0.00,77.32
19:47:22,12,12.77,0.00,6.38,0.00,0.00,2.13,0.00,0.00,0.00,78.72
19:47:22,13,11.70,0.00,8.51,0.00,0.00,2.13,0.00,0.00,0.00,77.66
19:47:22,14,11.70,0.00,9.57,0.00,0.00,1.06,0.00,0.00,0.00,77.66
19:47:22,15,11.83,0.00,8.60,0.00,0.00,2.15,0.00,0.00,0.00,77.42
19:47:23,4,20.45,0.00,17.05,0.00,0.00,5.68,0.00,0.00,0.00,56.82
19:47:23,5,20.45,0.00,18.18,0.00,0.00,4.55,0.00,0.00,0.00,56.82
19:47:23,6,21.28,0.00,18.09,0.00,0.00,6.38,0.00,0.00,0.00,54.26
19:47:23,7,20.65,0.00,16.30,0.00,0.00,6.52,0.00,0.00,0.00,56.52
19:47:23,12,19.10,0.00,17.98,0.00,0.00,5.62,0.00,0.00,0.00,57.30
19:47:23,13,19.32,0.00,17.05,0.00,0.00,5.68,0.00,0.00,0.00,57.95
19:47:23,14,19.54,0.00,17.24,0.00,0.00,4.60,0.00,0.00,0.00,58.62
19:47:23,15,20.45,0.00,15.91,0.00,0.00,4.55,0.00,0.00,0.00,59.09
19:47:24,4,22.73,0.00,15.91,0.00,0.00,5.68,0.00,0.00,0.00,55.68
19:47:24,5,19.54,0.00,18.39,0.00,0.00,5.75,0.00,0.00,0.00,56.32
19:47:24,6,22.73,0.00,15.91,0.00,0.00,4.55,0.00,0.00,0.00,56.82
19:47:24,7,22.47,0.00,15.73,0.00,0.00,5.62,0.00,0.00,0.00,56.18
19:47:24,12,21.11,0.00,16.67,0.00,0.00,5.56,0.00,0.00,0.00,56.67
19:47:24,13,25.27,0.00,17.58,0.00,0.00,4.40,0.00,0.00,0.00,52.75
19:47:24,14,21.98,0.00,16.48,0.00,0.00,5.49,0.00,0.00,0.00,56.04
19:47:24,15,20.93,0.00,15.12,0.00,0.00,4.65,0.00,0.00,0.00,59.30
19:47:25,4,20.93,0.00,16.28,0.00,0.00,4.65,0.00,0.00,0.00,58.14
19:47:25,5,24.18,0.00,16.48,0.00,0.00,4.40,0.00,0.00,0.00,54.95
19:47:25,6,21.35,0.00,15.73,0.00,0.00,5.62,0.00,0.00,0.00,57.30
19:47:25,7,19.32,0.00,18.18,1.14,0.00,3.41,0.00,0.00,0.00,57.95
19:47:25,12,19.32,0.00,15.91,0.00,0.00,6.82,0.00,0.00,0.00,57.95
19:47:25,13,21.59,0.00,15.91,0.00,0.00,5.68,0.00,0.00,0.00,56.82
19:47:25,14,20.93,0.00,17.44,0.00,0.00,3.49,0.00,0.00,0.00,58.14
19:47:25,15,19.32,0.00,15.91,0.00,0.00,5.68,0.00,0.00,0.00,59.09
19:47:26,4,18.89,0.00,18.89,0.00,0.00,5.56,0.00,0.00,0.00,56.67
19:47:26,5,21.59,0.00,15.91,0.00,0.00,4.55,0.00,0.00,0.00,57.95
19:47:26,6,22.22,0.00,16.67,0.00,0.00,3.33,0.00,0.00,0.00,57.78
19:47:26,7,18.39,0.00,14.94,0.00,0.00,5.75,0.00,0.00,0.00,60.92
19:47:26,12,21.59,0.00,17.05,0.00,0.00,3.41,0.00,0.00,0.00,57.95
19:47:26,13,23.08,0.00,16.48,0.00,0.00,5.49,0.00,0.00,0.00,54.95
19:47:26,14,20.69,0.00,14.94,0.00,0.00,4.60,0.00,0.00,0.00,59.77
19:47:26,15,17.05,0.00,18.18,0.00,0.00,4.55,0.00,0.00,0.00,60.23
19:47:27,4,20.00,0.00,17.78,0.00,0.00,5.56,0.00,0.00,0.00,56.67
19:47:27,5,22.22,0.00,15.56,0.00,0.00,5.56,0.00,0.00,0.00,56.67
