19:27:17,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle
19:27:18,4,12.63,0.00,7.37,0.00,0.00,3.16,0.00,0.00,0.00,76.84
19:27:18,5,13.40,0.00,10.31,0.00,0.00,2.06,0.00,0.00,0.00,74.23
19:27:18,6,9.38,0.00,10.42,0.00,0.00,2.08,0.00,0.00,0.00,78.12
19:27:18,7,6.25,0.00,9.38,0.00,0.00,2.08,0.00,0.00,0.00,82.29
19:27:18,12,9.38,0.00,8.33,2.08,0.00,2.08,0.00,0.00,0.00,78.12
19:27:18,13,13.40,0.00,7.22,0.00,0.00,2.06,0.00,0.00,0.00,77.32
19:27:18,14,8.51,0.00,7.45,2.13,0.00,3.19,0.00,0.00,0.00,78.72
19:27:18,15,7.37,0.00,9.47,0.00,0.00,2.11,0.00,0.00,0.00,81.05
19:27:19,4,16.67,0.00,14.44,0.00,0.00,5.56,0.00,0.00,0.00,63.33
19:27:19,5,17.78,0.00,13.33,0.00,0.00,5.56,0.00,0.00,0.00,63.33
19:27:19,6,15.22,0.00,15.22,0.00,0.00,5.43,0.00,0.00,0.00,64.13
19:27:19,7,15.73,0.00,12.36,0.00,0.00,4.49,0.00,0.00,0.00,67.42
19:27:19,12,17.20,0.00,12.90,0.00,0.00,5.38,0.00,0.00,0.00,64.52
19:27:19,13,17.39,0.00,16.30,0.00,0.00,5.43,0.00,0.00,0.00,60.87
19:27:19,14,17.20,0.00,15.05,0.00,0.00,4.30,0.00,0.00,0.00,63.44
19:27:19,15,16.48,0.00,12.09,0.00,0.00,5.49,0.00,0.00,0.00,65.93
19:27:20,4,18.48,0.00,13.04,0.00,0.00,4.35,0.00,0.00,0.00,64.13
19:27:20,5,14.89,0.00,15.96,0.00,0.00,5.32,0.00,0.00,0.00,63.83
19:27:20,6,16.48,0.00,15.38,0.00,0.00,5.49,0.00,0.00,0.00,62.64
19:27:20,7,13.68,0.00,13.68,0.00,0.00,6.32,0.00,0.00,0.00,66.32
19:27:20,12,17.39,0.00,15.22,0.00,0.00,5.43,0.00,0.00,0.00,61.96
19:27:20,13,16.30,0.00,17.39,0.00,0.00,4.35,0.00,0.00,0.00,61.96
19:27:20,14,17.58,0.00,14.29,0.00,0.00,4.40,0.00,0.00,0.00,63.74
19:27:20,15,14.61,0.00,11.24,0.00,0.00,5.62,0.00,0.00,0.00,68.54
19:27:21,4,17.89,0.00,13.68,0.00,0.00,6.32,0.00,0.00,0.00,62.11
19:27:21,5,18.28,0.00,13.98,0.00,0.00,5.38,0.00,0.00,0.00,62.37
19:27:21,6,16.30,0.00,15.22,0.00,0.00,5.43,0.00,0.00,0.00,63.04
19:27:21,7,16.30,0.00,13.04,0.00,0.00,4.35,0.00,0.00,0.00,66.30
19:27:21,12,15.73,0.00,12.36,0.00,0.00,4.49,0.00,0.00,0.00,67.42
